browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,111.0.0.0,Windows,en-US,2023-03-17_00:20:00,2023-03-16_17:20:00,2023-03-14_19:02:32,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=7At7zYqE7N2zTq3,478.484

rowNo,type,stim1,stimFormat,key,label,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"4",test,C,word,"",2p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",50807,timeout,1990,""
"5",test,E,word,"",2p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.66",53605,timeout,1994,""
"6",test,D,word,"",2p3,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",56403,timeout,1994,""
"7",test,E,word,m,2p4,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",57519,m,310,"1"
"8",test,G,word,"",2p5,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",61601,timeout,1993,""
"9",test,F,word,"",2p6,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",64398,timeout,1993,""
"10",test,H,word,"",2p7,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",67201,timeout,1997,""
"11",test,J,word,"",2p8,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",69996,timeout,1994,""
"12",test,I,word,"",2p9,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",72795,timeout,1995,""
"13",test,K,word,"",2p10,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.64",75593,timeout,1994,""
"14",test,I,word,m,2p11,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",76813,m,415,"1"
"15",test,K,word,m,2p12,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",82323,timeout,1994,"0"
"16",test,G,word,"",2p13,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",85121,timeout,1994,""
"17",test,F,word,"",2p14,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",87919,timeout,1994,""
"18",test,E,word,"",2p15,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",90718,timeout,1993,""
"19",test,F,word,m,2p16,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",92029,m,507,"1"
"20",test,G,word,"",2p17,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",95649,timeout,1992,""
"21",test,A,word,"",2p18,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.66",98447,timeout,1993,""
"22",test,G,word,m,2p19,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",100162,m,911,"1"
"23",test,Z,word,"",2p20,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",103845,timeout,1994,""
"24",test,R,word,"",2p21,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",106642,timeout,1993,""
"25",test,Z,word,m,2p22,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",108290,m,844,"1"
"27",test,D,word,"",3p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",146554,timeout,1995,""
"28",test,S,word,"",3p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",149352,timeout,1997,""
"29",test,F,word,"",3p3,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.66",152151,timeout,1995,""
"30",test,D,word,m,3p4,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",153772,m,817,"1"
"31",test,I,word,"",3p5,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",157765,timeout,1995,""
"32",test,G,word,"",3p6,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",160563,timeout,1994,""
"33",test,J,word,"",3p7,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",163361,timeout,1994,""
"34",test,I,word,m,3p8,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",165265,m,1101,"1"
"35",test,G,word,m,3p9,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",168775,timeout,1994,"0"
"36",test,K,word,"",3p10,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",171573,timeout,1994,""
"37",test,Q,word,"",3p11,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.64",174372,timeout,1993,""
"38",test,G,word,m,3p12,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",177171,timeout,1995,"0"
"39",test,Y,word,"",3p13,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",179968,timeout,1993,""
"40",test,A,word,"",3p14,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",801,48,"16.68",182767,timeout,1994,""
"41",test,T,word,"",3p15,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",185566,timeout,1995,""
"42",test,L,word,"",3p16,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",188364,timeout,1994,""
"43",test,J,word,"",3p17,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",189796,m,629,""
"44",test,O,word,"",3p18,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",193978,timeout,1994,""
"45",test,X,word,"",3p19,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",196776,timeout,1994,""
"46",test,J,word,m,3p20,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",199575,timeout,1995,"0"
"47",test,J,word,"",3p21,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",202373,timeout,1994,""
"48",test,X,word,m,3p22,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",204103,m,926,"1"
"49",test,A,word,"",3p23,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.66",207654,timeout,1995,""
"51",test,Z,word,"",2t1-1,"800",m,"","2000",800,48,"16.66",225578,timeout,1995,""
"52",test,A,word,"",2t2-1,"800",m,"","2000",799,48,"16.65",228374,timeout,1995,""
"53",test,Q,word,"",2t3-1,"800",m,"","2000",799,48,"16.66",231174,timeout,1998,""
"54",test,A,word,m,2t4-1,"800",m,"","2000",799,48,"16.65",233972,timeout,1994,"0"
"55",test,Q,word,m,2t5-1,"800",m,"","2000",799,48,"16.65",236771,timeout,1995,"0"
"56",test,B,word,"",2t6-1,"800",m,"","2000",799,48,"16.65",239569,timeout,1994,""
"57",test,C,word,"",2t7-1,"800",m,"","2000",799,48,"16.65",242368,timeout,1993,""
"58",test,I,word,"",2t8-1,"800",m,"","2000",800,48,"16.66",245166,timeout,1994,""
"59",test,C,word,m,2t9-1,"800",m,"","2000",800,48,"16.66",246650,m,680,"1"
"60",test,J,word,"",2t10-1,"800",m,"","2000",799,48,"16.65",249447,timeout,1995,""
"61",test,C,word,m,2t11-1,"800",m,"","2000",799,48,"16.65",252246,timeout,1995,"0"
"62",test,T,word,"",2t12-1,"800",m,"","2000",800,48,"16.66",255044,timeout,1995,""
"63",test,T,word,"",2t13-1,"800",m,"","2000",799,48,"16.66",257842,timeout,1995,""
"64",test,A,word,"",2t14-1,"800",m,"","2000",800,48,"16.66",260644,timeout,1998,""
"65",test,Z,word,"",2t15-1,"800",m,"","2000",800,48,"16.67",263440,timeout,1994,""
"66",test,U,word,"",2t16-1,"800",m,"","2000",800,48,"16.67",266238,timeout,1994,""
"67",test,I,word,"",2t17-1,"800",m,"","2000",800,48,"16.67",269036,timeout,1995,""
"68",test,P,word,"",2t18-1,"800",m,"","2000",799,48,"16.64",271835,timeout,1989,""
"69",test,I,word,m,2t19-1,"800",m,"","2000",800,48,"16.67",273623,m,983,"1"
"70",test,Q,word,"",2t20-1,"800",m,"","2000",799,48,"16.65",276416,timeout,1995,""
"71",test,H,word,"",2t21-1,"800",m,"","2000",800,48,"16.66",279213,timeout,1994,""
"72",test,Q,word,m,2t22-1,"800",m,"","2000",800,48,"16.67",282013,timeout,1995,"0"
"74",test,D,word,"",2t1-2,"800",m,"","2000",800,48,"16.67",295605,timeout,1994,""
"75",test,S,word,"",2t2-2,"800",m,"","2000",800,48,"16.66",298404,timeout,1995,""
"76",test,C,word,"",2t3-2,"800",m,"","2000",799,48,"16.64",301202,timeout,1995,""
"77",test,S,word,m,2t4-2,"800",m,"","2000",799,48,"16.65",302649,m,642,"1"
"78",test,E,word,"",2t5-2,"800",m,"","2000",800,48,"16.66",305432,timeout,1993,""
"79",test,F,word,"",2t6-2,"800",m,"","2000",800,48,"16.67",308231,timeout,1994,""
"80",test,G,word,"",2t7-2,"800",m,"","2000",799,48,"16.66",311030,timeout,1995,""
"81",test,H,word,"",2t8-2,"800",m,"","2000",800,48,"16.66",313828,timeout,1995,""
"82",test,I,word,"",2t9-2,"800",m,"","2000",799,48,"16.65",316627,timeout,1994,""
"83",test,H,word,m,2t10-2,"800",m,"","2000",799,48,"16.65",317750,m,318,"1"
"84",test,K,word,"",2t11-2,"800",m,"","2000",799,48,"16.65",320542,timeout,1989,""
"85",test,H,word,m,2t12-2,"800",m,"","2000",800,48,"16.66",323340,timeout,1994,"0"
"86",test,K,word,m,2t13-2,"800",m,"","2000",800,48,"16.67",325008,m,866,"1"
"87",test,N,word,"",2t14-2,"800",m,"","2000",799,48,"16.65",327804,timeout,1995,""
"88",test,O,word,"",2t15-2,"800",m,"","2000",799,48,"16.65",330602,timeout,1993,""
"89",test,N,word,m,2t16-2,"800",m,"","2000",799,48,"16.65",331978,m,570,"1"
"90",test,Q,word,"",2t17-2,"800",m,"","2000",800,48,"16.66",334767,timeout,1994,""
"91",test,R,word,"",2t18-2,"800",m,"","2000",800,48,"16.66",337566,timeout,1994,""
"92",test,S,word,"",2t19-2,"800",m,"","2000",800,48,"16.66",340364,timeout,1994,""
"93",test,T,word,"",2t20-2,"800",m,"","2000",800,48,"16.67",343163,timeout,1995,""
"94",test,U,word,"",2t21-2,"800",m,"","2000",799,48,"16.66",345961,timeout,1995,""
"95",test,T,word,m,2t22-2,"800",m,"","2000",799,48,"16.65",347356,m,590,"1"
"97",test,C,word,"",3t1-1,"800",m,"","2000",801,48,"16.68",354057,timeout,1994,""
"98",test,W,word,"",3t2-1,"800",m,"","2000",799,48,"16.66",356855,timeout,1994,""
"99",test,J,word,"",3t3-1,"800",m,"","2000",799,48,"16.66",359653,timeout,1995,""
"100",test,D,word,"",3t4-1,"800",m,"","2000",799,48,"16.65",362452,timeout,1998,""
"101",test,E,word,"",3t5-1,"800",m,"","2000",799,48,"16.65",365250,timeout,1995,""
"102",test,J,word,m,3t6-1,"800",m,"","2000",799,48,"16.65",366791,m,730,"1"
"103",test,D,word,m,3t7-1,"800",m,"","2000",800,48,"16.66",369581,timeout,1995,"0"
