browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,111.0.0.0,Windows,en-US,2023-03-17_00:45:39,2023-03-16_17:45:39,2023-03-14_19:02:32,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=KwGKfa7fb97T2Vl,444.305

rowNo,type,stim1,stimFormat,key,label,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"4",test,C,word,"",2p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",41415,timeout,1994,""
"5",test,E,word,"",2p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",44213,timeout,1994,""
"6",test,D,word,"",2p3,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",47011,timeout,1994,""
"7",test,E,word,m,2p4,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",48168,m,353,"1"
"8",test,G,word,"",2p5,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",51992,timeout,1997,""
"9",test,F,word,"",2p6,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.64",54791,timeout,1998,""
"10",test,H,word,"",2p7,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",57589,timeout,1994,""
"11",test,J,word,"",2p8,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",60386,timeout,1993,""
"12",test,I,word,"",2p9,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",63186,timeout,1993,""
"13",test,K,word,"",2p10,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",65984,timeout,1993,""
"14",test,I,word,m,2p11,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",67361,m,572,"1"
"15",test,K,word,m,2p12,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",70949,timeout,1993,"0"
"16",test,G,word,"",2p13,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",73747,timeout,1995,""
"17",test,F,word,"",2p14,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",76544,timeout,1992,""
"18",test,E,word,"",2p15,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",79342,timeout,1996,""
"19",test,F,word,m,2p16,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",80577,m,433,"1"
"20",test,G,word,"",2p17,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",84191,timeout,1998,""
"21",test,A,word,"",2p18,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",86989,timeout,1993,""
"22",test,G,word,m,2p19,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",88908,m,1114,"1"
"23",test,Z,word,"",2p20,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",92553,timeout,1994,""
"24",test,R,word,"",2p21,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",95351,timeout,1994,""
"25",test,Z,word,m,2p22,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",96873,m,717,"1"
"27",test,D,word,"",3p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",799,48,"16.65",116440,timeout,1997,""
"28",test,S,word,"",3p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",119238,timeout,1994,""
