browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,110.0.1587.69,Windows,en-US,2023-03-21_15:49:05,2023-03-21_09:49:05,2023-03-14_19:02:32,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=6ozqXrFroR2sElC,476.753

rowNo,type,stim1,stimFormat,key,label,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"4",test,C,word,"",2p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",46026,timeout,1996,""
"5",test,E,word,"",2p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",48826,timeout,1997,""
"6",test,D,word,"",2p3,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",51626,timeout,1996,""
"7",test,E,word,m,2p4,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",54425,timeout,1998,"0"
"8",test,G,word,"",2p5,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",55821,m,593,""
"9",test,F,word,"",2p6,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",64591,timeout,1996,""
"10",test,H,word,"",2p7,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",67391,timeout,1995,""
"11",test,J,word,"",2p8,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",70190,timeout,1998,""
"12",test,I,word,"",2p9,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",72990,timeout,1998,""
"13",test,K,word,"",2p10,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",75790,timeout,1995,""
"14",test,I,word,m,2p11,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",77472,m,879,"1"
"15",test,K,word,m,2p12,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",83256,timeout,1994,"0"
"16",test,G,word,"",2p13,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",86055,timeout,1995,""
"17",test,F,word,"",2p14,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",88261,m,1402,""
"18",test,E,word,"",2p15,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",92754,timeout,1998,""
"19",test,F,word,m,2p16,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",95554,timeout,1995,"0"
"20",test,G,word,"",2p17,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",98353,timeout,1997,""
"21",test,A,word,"",2p18,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",101153,timeout,1996,""
"22",test,G,word,m,2p19,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",103953,timeout,1995,"0"
"23",test,Z,word,"",2p20,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",106753,timeout,1996,""
"24",test,R,word,"",2p21,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",109551,timeout,1996,""
"25",test,Z,word,m,2p22,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",112352,timeout,1994,"0"
"27",test,D,word,"",3p1,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",136815,timeout,1996,""
"28",test,S,word,"",3p2,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",139614,timeout,1997,""
"29",test,F,word,"",3p3,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",142415,timeout,1996,""
"30",test,D,word,m,3p4,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",144994,m,1774,"1"
"31",test,I,word,"",3p5,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",153763,timeout,1995,""
"32",test,G,word,"",3p6,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",156563,timeout,1996,""
"33",test,J,word,"",3p7,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",159362,timeout,1998,""
"34",test,I,word,m,3p8,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",161074,m,909,"1"
"35",test,G,word,m,3p9,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.66",165795,timeout,1998,"0"
"36",test,K,word,"",3p10,"800",m,correct: This is correct!; incorrect: This is incorrect!,"2000",800,48,"16.67",168399,m,1801,""
