browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",Windows,en-US,2023-03-30_17:21:04,2023-03-30_19:21:04,2023-03-28_21:34:45,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=0TGQkoV4p3DZKgJ,4566.533

rowNo,type,stim1,stimFormat,key,label,presTime,keyboard,feedback,responseWindow,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,C,word,"",2p1-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3826658,timeout,2981,""
"5",test,E,word,"",2p2-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3829657,timeout,2991,""
"6",test,D,word,"",2p3-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3832656,timeout,2992,""
"7",test,E,word,m,2p4-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3835629,m,2964,"1"
"8",test,G,word,"",2p5-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","31","16.13",3850087,timeout,2994,""
"9",test,F,word,"",2p6-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3853086,timeout,2986,""
"10",test,H,word,"",2p7-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3856085,timeout,2990,""
"11",test,J,word,"",2p8-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3859085,timeout,2992,""
"12",test,I,word,"",2p9-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3862085,timeout,2991,""
"13",test,K,word,"",2p10-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3865083,timeout,2986,""
"14",test,I,word,m,2p11-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3865660,m,568,"1"
"15",test,K,word,m,2p12-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3872167,timeout,2990,"0"
"16",test,G,word,"",2p13-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3875165,timeout,2985,""
"17",test,F,word,"",2p14-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3878165,timeout,2989,""
"18",test,E,word,"",2p15-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3881164,timeout,2986,""
"19",test,F,word,m,2p16-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3882734,m,1563,"1"
"20",test,G,word,"",2p17-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3886757,m,1123,""
"21",test,A,word,"",2p18-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3895246,timeout,2986,""
"22",test,G,word,m,2p19-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3898244,timeout,2988,"0"
"23",test,Z,word,"",2p20-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3901244,timeout,2994,""
"24",test,R,word,"",2p21-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3904243,timeout,2992,""
"25",test,Z,word,m,2p22-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",3907242,timeout,2983,"0"
"27",test,R,word,"",2p1-2,"500",m,"","3000","500","31","16.13",4017657,timeout,2990,""
"28",test,E,word,"",2p2-2,"500",m,"","3000","500","30","16.66",4020656,timeout,2989,""
"29",test,C,word,"",2p3-2,"500",m,"","3000","500","30","16.66",4023656,timeout,2995,""
"30",test,D,word,"",2p4-2,"500",m,"","3000","500","30","16.66",4026655,timeout,2994,""
"31",test,E,word,"",2p5-2,"500",m,"","3000","500","30","16.66",4029655,timeout,2995,""
"32",test,F,word,"",2p6-2,"500",m,"","3000","500","30","16.66",4032654,timeout,2996,""
"33",test,G,word,"",2p7-2,"500",m,"","3000","500","30","16.66",4035653,timeout,2995,""
"34",test,F,word,m,2p8-2,"500",m,"","3000","500","30","16.66",4037821,m,2164,"1"
"35",test,G,word,m,2p9-2,"500",m,"","3000","500","30","16.66",4040820,timeout,2983,"0"
"36",test,J,word,"",2p10-2,"500",m,"","3000","500","30","16.66",4043819,timeout,2986,""
"37",test,G,word,m,2p11-2,"500",m,"","3000","500","30","16.66",4046818,timeout,2995,"0"
"38",test,J,word,m,2p12-2,"500",m,"","3000","500","30","16.66",4049818,timeout,2990,"0"
"39",test,M,word,"",2p13-2,"500",m,"","3000","500","30","16.66",4052817,timeout,2995,""
"40",test,N,word,"",2p14-2,"500",m,"","3000","500","30","16.66",4055817,timeout,2996,""
"41",test,O,word,"",2p15-2,"500",m,"","3000","500","30","16.66",4058816,timeout,2996,""
"42",test,P,word,"",2p16-2,"500",m,"","3000","500","30","16.66",4061815,timeout,2995,""
"43",test,Q,word,"",2p17-2,"500",m,"","3000","500","30","16.66",4064815,timeout,2997,""
"44",test,P,word,m,2p18-2,"500",m,"","3000","500","30","16.66",4065777,m,959,"1"
"45",test,S,word,"",2p19-2,"500",m,"","3000","500","30","16.66",4068765,timeout,2986,""
"46",test,P,word,m,2p20-2,"500",m,"","3000","500","30","16.66",4069744,m,973,"1"
"47",test,U,word,"",2p21-2,"500",m,"","3000","500","30","16.66",4072730,timeout,2981,""
"48",test,V,word,"",2p22-2,"500",m,"","3000","500","30","16.66",4075730,timeout,2995,""
"50",test,D,word,"",3p1-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4200258,timeout,2985,""
"51",test,S,word,"",3p2-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4203257,timeout,2985,""
"52",test,F,word,"",3p3-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4206258,timeout,2994,""
"53",test,D,word,m,3p4-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4209257,timeout,2993,"0"
"54",test,I,word,"",3p5-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4212257,timeout,2990,""
