browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",MacOS,en-CA,2023-04-04_18:07:08,2023-04-04_14:07:08,2023-04-03_20:03:39,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=SV9Qg48GzOkBraI,925.41

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",89864,timeout,1478,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","999","120","8.33",93863,timeout,2994,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.34","1000","120","8.33",97866,timeout,2997,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","719","86","8.34",99584,m,712,"1"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1004,120,"8.37","1004","121","8.30",105142,timeout,2995,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","1002","120","8.35",109138,timeout,2991,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,120,"8.33","565","67","8.39",110702,m,560,"1"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,119,"8.41","913","110","8.28",113839,m,900,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",998,120,"8.32","999","120","8.33",119006,timeout,2993,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","1002","120","8.35",123006,timeout,2995,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.34","1002","120","8.35",127008,timeout,2997,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,120,"8.32","1000","120","8.33",129133,m,1120,"1"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,121,"8.28","999","120","8.32",134185,timeout,2995,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,112,"8.92","996","119","8.37",138185,timeout,2996,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","731","87","8.36",139915,m,725,"1"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",997,120,"8.31","1004","121","8.30",144966,timeout,2997,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",998,120,"8.32","642","75","8.46",146605,m,636,"1"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,121,"8.28","1000","120","8.33",151321,timeout,2999,""
"22",test,S,word,"",2p18-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,120,"8.34","996","120","8.30",155322,timeout,2996,""
"23",test,I,word,"",2p19-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",997,120,"8.30","996","120","8.30",159321,timeout,2997,""
"24",test,S,word,m,2p20-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.33","680","81","8.37",161001,m,675,"1"
"25",test,U,word,"",2p21-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",998,120,"8.32","999","120","8.33",165695,timeout,2996,""
"26",test,X,word,"",2p22-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,120,"8.34","1002","120","8.35",169695,timeout,2994,""
"28",test,"",word,"",placeholder2,"","",m,"","1500","",0,0,"","","",215384,timeout,1491,""
"29",test,R,word,"",2p1-2,"1000","1000",m,"","3000",1000,120,"8.33","997","120","8.31",219388,timeout,2999,""
"30",test,E,word,"",2p2-2,"1000","1000",m,"","3000",1000,120,"8.33","997","120","8.31",223390,timeout,2998,""
"31",test,C,word,"",2p3-2,"1000","1000",m,"","3000",999,120,"8.33","1003","120","8.36",227393,timeout,2998,""
"32",test,D,word,"",2p4-2,"1000","1000",m,"","3000",1003,131,"7.66","997","125","7.98",231398,timeout,2998,""
"33",test,E,word,"",2p5-2,"1000","1000",m,"","3000",1010,121,"8.34","943","112","8.36",233349,m,931,""
"34",test,F,word,"",2p6-2,"1000","1000",m,"","3000",1000,120,"8.33","996","120","8.30",237344,timeout,2997,""
"35",test,G,word,"",2p7-2,"1000","1000",m,"","3000",1000,120,"8.33","1004","120","8.37",241339,timeout,2990,""
"36",test,F,word,m,2p8-2,"1000","1000",m,"","3000",999,120,"8.33","641","75","8.43",242977,m,633,"1"
"37",test,G,word,m,2p9-2,"1000","1000",m,"","3000",1000,121,"8.26","695","83","8.36",244665,m,690,"1"
"38",test,J,word,"",2p10-2,"1000","1000",m,"","3000",1003,121,"8.29","1000","120","8.33",248664,timeout,2993,""
"39",test,G,word,m,2p11-2,"1000","1000",m,"","3000",999,120,"8.33","689","81","8.40",250351,m,683,"1"
"40",test,J,word,m,2p12-2,"1000","1000",m,"","3000",1000,121,"8.27","766","91","8.36",252109,m,759,"1"
"41",test,R,word,"",2p13-2,"1000","1000",m,"","3000",1002,121,"8.28","999","120","8.33",256110,timeout,2997,""
"42",test,N,word,"",2p14-2,"1000","1000",m,"","3000",999,120,"8.33","1000","120","8.33",260112,timeout,3000,""
"43",test,E,word,"",2p15-2,"1000","1000",m,"","3000",999,120,"8.32","1002","120","8.35",262137,m,1020,""
"44",test,P,word,"",2p16-2,"1000","1000",m,"","3000",998,117,"8.53","996","119","8.37",266128,timeout,2998,""
"45",test,Q,word,"",2p17-2,"1000","1000",m,"","3000",999,120,"8.33","997","119","8.37",270130,timeout,2998,""
"46",test,P,word,m,2p18-2,"1000","1000",m,"","3000",1000,120,"8.33","732","86","8.41",271860,m,726,"1"
"47",test,S,word,"",2p19-2,"1000","1000",m,"","3000",1000,121,"8.26","1003","121","8.29",275850,timeout,2993,""
"48",test,P,word,m,2p20-2,"1000","1000",m,"","3000",999,120,"8.33","578","67","8.50",277427,m,573,"1"
"49",test,U,word,"",2p21-2,"1000","1000",m,"","3000",1002,121,"8.28","1001","120","8.34",281418,timeout,2992,""
