browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,111.0.0.0,Windows,en-US,2023-04-06_03:10:39,2023-04-05_20:10:39,2023-04-04_19:12:59,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=wzcgEBogLGoDLLC,1136.021

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",286825,timeout,1470,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","999","60","16.66",290823,timeout,2994,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",294821,timeout,2994,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.65",298818,timeout,2993,"0"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","999","60","16.65",302821,timeout,2998,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.65",306815,timeout,2994,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.65","999","60","16.66",310812,timeout,2995,"0"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.66","999","60","16.66",314810,timeout,2995,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.66","1000","60","16.66",318807,timeout,2994,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.66","1000","60","16.67",322805,timeout,2997,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","999","60","16.65",326803,timeout,2994,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.65","1000","60","16.66",330801,timeout,2994,"0"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.66",334799,timeout,2994,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.65",338797,timeout,2994,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.66","999","60","16.65",342795,timeout,2994,"0"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",999,60,"16.66","999","60","16.66",346792,timeout,2993,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.66",350790,timeout,2994,"0"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","999","60","16.65",354788,timeout,2994,""
