browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,110.0.1587.69,Windows,en-US,2023-04-06_19:04:00,2023-04-06_13:04:00,2023-04-04_19:12:59,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=upsRfhIaMrMSCRu,911.727

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",69577,timeout,1483,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",73577,timeout,2999,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",77576,timeout,2998,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","852","50","16.67",79428,m,849,"1"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",89258,timeout,2998,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",93258,timeout,2998,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",97257,timeout,2994,"0"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.67",101257,timeout,2995,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",105256,timeout,2993,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",109255,timeout,2997,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",113255,timeout,2998,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",115314,m,1057,"1"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",122254,timeout,2998,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",126253,timeout,2998,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","900","53","16.67",128152,m,897,"1"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",133503,timeout,2999,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",137502,timeout,2995,"0"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.66",141501,timeout,2997,""
"22",test,S,word,"",2p18-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",145500,timeout,2997,""
"23",test,I,word,"",2p19-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.67",149501,timeout,2995,""
"24",test,S,word,m,2p20-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",151553,m,1051,"1"
"25",test,U,word,"",2p21-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",159066,timeout,2999,""
"26",test,X,word,"",2p22-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",163066,timeout,2998,""
"28",test,"",word,"",placeholder2,"","",m,"","1500","",0,0,"","","",191096,timeout,1478,""
