browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Safari,"15.1",MacOS,en,2023-04-12_19:39:41,2023-04-12_12:39:41,2023-04-12_18:24:01,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=6szydkZGdWCIi29,948.715

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",110850,timeout,1483,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1004,60,"16.73","1001","60","16.68",114861,timeout,3003,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",118871,timeout,3003,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1004,60,"16.73","1003","60","16.72",122882,timeout,3003,"0"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1002","60","16.70",126893,timeout,3003,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",130887,timeout,2985,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1002","60","16.70",134881,timeout,2986,"0"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",138875,timeout,2986,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",142885,timeout,3003,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1003","60","16.72",146896,timeout,3003,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1002","60","16.70",150906,timeout,3002,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1003","60","16.72",154901,timeout,2987,"0"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",158895,timeout,2986,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",162889,timeout,2986,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",166883,timeout,2986,"0"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",170877,timeout,2987,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1002","60","16.70",174888,timeout,3004,"0"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",178898,timeout,3003,""
"22",test,S,word,"",2p18-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1004,60,"16.73","1003","60","16.72",182909,timeout,3003,""
"23",test,I,word,"",2p19-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1002","60","16.70",186919,timeout,3003,""
"24",test,S,word,m,2p20-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1003","60","16.72",190914,timeout,2987,"0"
"25",test,U,word,"",2p21-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1002,60,"16.70","1003","60","16.72",194925,timeout,3004,""
"26",test,X,word,"",2p22-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.72","1002","60","16.70",198935,timeout,3003,""
"28",test,Y,word,"",placeholder2,"","",m,"","1500","",0,0,"","","",247816,timeout,1489,""
"29",test,H,word,"",2p1-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",251810,timeout,2987,""
"30",test,X,word,"",2p2-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",255804,timeout,2987,""
"31",test,V,word,"",2p3-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",259798,timeout,2987,""
"32",test,Y,word,"",2p4-2,"1000","1000",m,"","3000",1001,60,"16.68","1004","60","16.73",262230,m,1426,""
"33",test,E,word,"",2p5-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",266215,timeout,2987,""
"34",test,P,word,"",2p6-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",270209,timeout,2986,""
"35",test,C,word,"",2p7-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",274219,timeout,3003,""
"36",test,O,word,"",2p8-2,"1000","1000",m,"","3000",1003,60,"16.72","1003","60","16.72",278214,timeout,2987,""
"37",test,C,word,m,2p9-2,"1000","1000",m,"","3000",1002,60,"16.70","1003","60","16.72",280502,m,1281,"1"
