browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,111.0.0.0,Windows,en-US,2023-04-13_01:19:28,2023-04-12_19:19:28,2023-04-12_20:12:40,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=2kU6OT597a2eqzf,894.565

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",88278,timeout,1475,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",92280,timeout,2996,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1000","60","16.67",96283,timeout,2998,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",100286,timeout,3000,"0"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1000","60","16.67",104289,timeout,2997,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1001","60","16.68",108292,timeout,2997,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1001","60","16.68",112295,timeout,2999,"0"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1001","60","16.68",116297,timeout,2998,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",120300,timeout,2998,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",124303,timeout,2997,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",128305,timeout,2997,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",132309,timeout,2998,"0"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1001","60","16.68",136310,timeout,2998,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.69","1000","60","16.67",140314,timeout,2996,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",144317,timeout,2999,"0"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1001","60","16.68",148319,timeout,2995,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1000","60","16.67",152322,timeout,2998,"0"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",156325,timeout,2997,""
"22",test,S,word,"",2p18-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1001,60,"16.68","1001","60","16.68",160327,timeout,2999,""
