browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,107.0.0.0,MacOS,en-US,2023-04-13_04:23:17,2023-04-12_21:23:17,2023-04-12_20:12:40,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=dzSVoqEZU2I3coF,1012.985

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",124900,timeout,1479,""
"5",test,D,word,"",2p1-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",128910,timeout,3004,""
"6",test,S,word,"",2p2-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",132921,timeout,3004,""
"7",test,D,word,m,2p3-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",136932,timeout,3005,"0"
"8",test,Y,word,"",2p4-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",140942,timeout,3005,""
"9",test,W,word,"",2p5-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",144953,timeout,3005,""
"10",test,Y,word,m,2p6-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",148964,timeout,3005,"0"
"11",test,S,word,"",2p7-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",152974,timeout,3005,""
"12",test,F,word,"",2p8-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",156985,timeout,3005,""
"13",test,Z,word,"",2p9-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",160996,timeout,3004,""
"14",test,V,word,"",2p10-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",165007,timeout,3005,""
"15",test,Z,word,m,2p11-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",169017,timeout,3004,"0"
"16",test,W,word,"",2p12-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","711","42","16.71",170729,m,705,""
"17",test,L,word,"",2p13-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","59","17.00",176437,timeout,3005,""
"18",test,W,word,m,2p14-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",180447,timeout,3005,"0"
"19",test,M,word,"",2p15-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",184459,timeout,3005,""
"20",test,W,word,m,2p16-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",188469,timeout,3005,"0"
"21",test,C,word,"",2p17-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",192480,timeout,3004,""
"22",test,S,word,"",2p18-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","697","41","16.71",194178,m,692,""
"23",test,I,word,"",2p19-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",199750,timeout,3005,""
"24",test,S,word,m,2p20-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",203760,timeout,3005,"0"
"25",test,U,word,"",2p21-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",207771,timeout,3005,""
"26",test,X,word,"",2p22-1,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1003,60,"16.71","1003","60","16.71",211781,timeout,3004,""
"28",test,Y,word,"",placeholder2,"","",m,"","1500","",0,0,"","","",276154,timeout,1482,""
"29",test,H,word,"",2p1-2,"1000","1000",m,"","3000",1003,60,"16.71","1003","60","16.71",280164,timeout,3005,""
"30",test,X,word,"",2p2-2,"1000","1000",m,"","3000",1003,60,"16.71","1003","60","16.71",282803,m,1633,""
