browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,112.0.1722.48,Windows,en-US,2023-04-21_15:54:18,2023-04-21_09:54:18,2023-04-20_01:38:58,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=fiwjLKKbkDbaK6U,1144.9

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",138630,timeout,1485,""
"5",test,D,word,m,2p1_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",142629,timeout,2998,"0"
"6",test,S,word,m,2p2_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",146629,timeout,2999,"0"
"7",test,D,word,m,2p3_1C,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.67",150162,m,2530,"1"
"8",test,Y,word,m,2p4_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",159144,timeout,2999,"0"
"9",test,W,word,m,2p5_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.67",163144,timeout,2995,"0"
"10",test,Y,word,m,2p6_1C,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.67","960","57","16.66",165100,m,952,"1"
"11",test,S,word,m,2p7_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.67",172892,timeout,2999,"0"
"12",test,F,word,m,2p8_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",176891,timeout,2998,"0"
"13",test,Z,word,m,2p9_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.67","1000","60","16.67",180891,timeout,2999,"0"
