browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"112.0",Windows,en-US,2023-04-21_18:08:18,2023-04-21_20:08:18,2023-04-20_01:38:58,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=VBEt61SOjTjwLDn,1382.341

rowNo,type,stim1,stimFormat,key,label,presTime,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","",m,"","1500","",0,0,"","","",125151,timeout,1481,""
"5",test,D,word,m,2p1_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",129150,timeout,2999,"0"
"6",test,S,word,m,2p2_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",133149,timeout,2995,"0"
"7",test,D,word,m,2p3_1C,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",135260,m,1110,"1"
"8",test,Y,word,m,2p4_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",141747,timeout,2997,"0"
"9",test,W,word,m,2p5_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",145746,timeout,2997,"0"
"10",test,Y,word,m,2p6_1C,"1000","1000",m,correct: This is correct!; incorrect: This is incorrect!,"3000",1000,60,"16.66","868","51","16.66",147613,m,865,"1"
"11",test,S,word,m,2p7_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,61,"16.39","642","38","16.66",150737,m,637,"1"
"12",test,F,word,m,2p8_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,61,"16.39","1000","60","16.66",156577,timeout,2991,"0"
"13",test,Z,word,m,2p9_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",160577,timeout,2995,"0"
"14",test,V,word,m,2p10_1,"1000","1000",m,correct: This is incorrect!,"3000",1000,60,"16.66","1000","60","16.66",164576,timeout,2989,"0"
