browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",MacOS,en-CA,2023-04-27_01:27:46,2023-04-26_21:27:46,2023-04-27_01:27:19,https://www.testable.org/experiment/11502/795217/start,672.069

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",47749,timeout,1493,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",50749,timeout,2989,"0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1003","121","8.29",53745,timeout,2987,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",56746,timeout,2990,"0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,876;1000,"105","8.33",57621,m,868,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999",120;120,"8.33",62750,timeout,2991,"0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","119","8.40",65749,timeout,2987,"0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","119","8.40",68750,timeout,2993,"0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",71749,timeout,2989,"0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,800;1001,"95","8.34",72548,m,788,"1"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000",120;119,"8.37",77750,timeout,2989,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",80750,timeout,2990,"0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",83750,timeout,2990,"0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,746;1000,"89","8.33",84495,m,736,"1"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,843;1000,120;101,"8.33",87591,m,832,"1"
"20",test,"",word,"",placeholder2,"1000",waitResponseWindow,"3000",m,"","1001",120;119,"8.37",100016,timeout,2981,""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","999","117","8.54",103016,timeout,2990,"0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",106021,timeout,2994,"0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",109020,timeout,2990,"0"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"",556;1000,"66","8.33",109575,m,545,"1"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"",599;999,120;71,"8.33",112619,m,589,"1"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"",728;996,120;87,"8.30",115748,m,720,"1"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","1000",120;120,"8.32",121024,timeout,2992,"0"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",122031,m,996,"1"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",127024,timeout,2991,"0"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",130025,timeout,2990,"0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",132381,m,2344,"1"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",136025,timeout,2991,"0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",139024,timeout,2991,"0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",142023,timeout,2988,"0"
"36",test,"",word,m,placeholder3,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",190200,timeout,2993,"0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","120","8.33",193199,timeout,2992,"0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1004","121","8.30",196204,timeout,3001,"0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","120","8.33",199203,timeout,2988,"0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","120","8.33",202204,timeout,2989,"0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,801;1000,"95","8.33",203004,m,791,"1"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000",120;120,"8.33",208204,timeout,2990,"0"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"996","120","8.30",211200,timeout,2987,"0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,996;1000,"119","8.33",212195,m,983,"1"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000",120;119,"8.37",217204,timeout,2995,"0"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","120","8.33",220204,timeout,2990,"0"
"47",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","119","8.40",223203,timeout,2984,"0"
"48",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","119","8.40",226204,timeout,2992,"0"
"49",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1004","121","8.30",229209,timeout,2996,"0"
"50",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","120","8.34",232208,timeout,2991,"0"
"51",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","120","8.33",235210,timeout,2993,"0"
"53",test,"",word,"",placeholder4,"1000",waitResponseWindow,"3000",m,"","996","119","8.37",250012,timeout,2983,""
"54",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","999","119","8.40",253012,timeout,2991,"0"
"55",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",256012,timeout,2989,"0"
"56",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"",428;1000,"51","8.33",256438,m,417,"1"
"57",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","1000",119;120,"8.37",260374,m,1353,"1"
"58",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","996","120","8.30",265008,timeout,2992,"0"
"59",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",268008,timeout,2991,"0"
"60",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",271008,timeout,2988,"0"
"61",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",272041,m,1018,"1"
"62",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.34",277008,timeout,2991,"0"
"63",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",280007,timeout,2990,"0"
"64",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","996","119","8.37",283004,timeout,2987,"0"
"65",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",286004,timeout,2992,"0"
"66",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",287293,m,1285,"1"
"67",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","1000","118","8.47",292008,timeout,2996,"0"
"68",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","1001","120","8.35",295008,timeout,2995,"0"
"70",test,"",word,"",placeholder5,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",318750,timeout,2990,""
"71",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","1000","118","8.48",321750,timeout,2984,"0"
"72",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",324753,timeout,2994,"0"
"73",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",327754,timeout,2991,"0"
"74",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",330757,timeout,2993,"0"
"75",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"",606;1001,"72","8.34",331363,m,592,"1"
"76",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","1000",120;120,"8.34",336757,timeout,2990,"0"
"77",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"",734;1003,"87","8.29",337491,m,724,"1"
"78",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"",410;1000,121;48,"8.30",340163,m,402,"1"
"79",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","1001",118;120,"8.41",345754,timeout,2994,"0"
"80",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",348757,timeout,2994,"0"
"81",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","999","120","8.33",351753,timeout,2989,"0"
"82",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",353072,m,1310,"1"
"83",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",357749,timeout,2989,"0"
"84",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","996","119","8.37",360748,timeout,2987,"0"
"85",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","999","120","8.33",363745,timeout,2988,"0"
"86",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"",603;1000,"72","8.34",364348,m,592,"1"
"87",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","1000",120;119,"8.37",368160,m,1406,"1"
"88",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",372745,timeout,2989,"0"
"89",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",375744,timeout,2990,"0"
"90",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",378745,timeout,2989,"0"
"91",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","997","120","8.31",381742,timeout,2989,"0"
"92",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",382993,m,1243,"1"
"94",test,"",word,"",placeholder6,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",394866,timeout,2992,""
"95",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",397867,timeout,2991,"0"
"96",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",400866,timeout,2992,"0"
"97",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",402239,m,1364,"1"
"98",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",406864,timeout,2990,"0"
"99",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","1004","119","8.44",409873,timeout,3002,"0"
"100",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",412866,timeout,2985,"0"
"101",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"",340;1002,"39","8.36",413205,m,329,"1"
"102",test,T,word,m,2t8_2,"1000",waitResponseWindow,"3000",m,"","1000",119;1,"504.22",418876,timeout,2996,"0"
"103",test,D,word,m,2t9_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",420123,m,1234,"1"
"104",test,B,word,m,2t10_2,"1000",waitResponseWindow,"3000",m,"",957;1000,"114","8.33",422831,m,949,"1"
"105",test,I,word,m,2t11_2,"1000",waitResponseWindow,"3000",m,"","1000",120;118,"8.41",427875,timeout,2993,"0"
"106",test,R,word,m,2t12_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",430874,timeout,2991,"0"
"107",test,C,word,m,2t13_2,"1000",waitResponseWindow,"3000",m,"","999","120","8.33",431968,m,1087,"1"
"108",test,E,word,m,2t14_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",436875,timeout,2991,"0"
"109",test,C,word,m,2t15_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",439874,timeout,2990,"0"
"110",test,A,word,m,2t16_2,"1000",waitResponseWindow,"3000",m,"","997","120","8.31",442871,timeout,2989,"0"
"111",test,O,word,m,2t17_2,"1000",waitResponseWindow,"3000",m,"",574;1000,"68","8.33",443444,m,565,"1"
"112",test,C,word,m,2t18_2,"1000",waitResponseWindow,"3000",m,"","1004",119;121,"8.35",448875,timeout,2996,"0"
"113",test,M,word,m,2t19_2,"1000",waitResponseWindow,"3000",m,"",687;1004,"81","8.38",449561,m,671,"1"
"114",test,E,word,m,2t20_2,"1000",waitResponseWindow,"3000",m,"","1000",120;119,"8.38",454879,timeout,2991,"0"
"115",test,R,word,m,2t21_2,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",457874,timeout,2985,"0"
"116",test,E,word,m,2t22_2C,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",460874,timeout,2988,"0"
"118",test,"",word,"",placeholder7,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",518157,timeout,2989,""
"119",test,C,word,m,3t1_1,"1000",waitResponseWindow,"3000",m,"","1001","119","8.41",521158,timeout,2980,"0"
"120",test,P,word,m,3t2_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",524159,timeout,2991,"0"
"121",test,R,word,m,3t3_1,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",526129,m,1961,"1"
"122",test,L,word,m,3t4_1,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",530154,timeout,2987,"0"
"123",test,H,word,m,3t5_1,"1000",waitResponseWindow,"3000",m,"","1004","121","8.30",533158,timeout,2995,"0"
"124",test,R,word,m,3t6_1C,"1000",waitResponseWindow,"3000",m,"",489;1000,"58","8.33",533646,m,479,"1"
"125",test,L,word,m,3t7_1C,"1000",waitResponseWindow,"3000",m,"",953;1000,120;114,"8.33",537110,m,938,"1"
"126",test,H,word,m,3t8_1C,"1000",waitResponseWindow,"3000",m,"",856;1000,120;102,"8.33",540013,m,844,"1"
"127",test,M,word,m,3t9_1,"1000",waitResponseWindow,"3000",m,"","1000",120;120,"8.33",545158,timeout,2990,"0"
