browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"112.0",MacOS,en-CA,2023-05-04_21:40:41,2023-05-04_17:40:41,2023-05-03_21:18:57,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=l4AF1PNezPm8gzK,603.768

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",50215,timeout,1487,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,387;1000,"46","8.34",50602,m,375,"1"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1001",120;119,"8.37",56217,timeout,2990,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1001","120","8.34",59215,timeout,2988,"0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,673;1001,"79","8.45",59888,m,667,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000",119;119,"8.41",65216,timeout,2992,"0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","121","8.26",68216,timeout,2989,"0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"996","120","8.30",71212,timeout,2991,"0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1004","120","8.37",74213,timeout,2991,"0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,744;1002,"88","8.42",74950,m,723,"1"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000",119;120,"8.38",80214,timeout,2992,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1004","121","8.30",83217,timeout,2993,"0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",86217,timeout,2989,"0"
