browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Safari,13.1.2,MacOS,en-ca,2023-05-21_16:37:16,2023-05-21_09:37:16,2023-05-19_18:00:09,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=aaJ554urpO6DXqX,837.1

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,RTkeys,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",131334,timeout,1484,"",""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1003","60","16.72",134325,timeout,2980,"","0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",137333,timeout,2998,"","0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1003","60","16.72",140341,timeout,2999,"","0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",143349,timeout,2999,"","0"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1003","60","16.72",146341,timeout,2983,"","0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",149349,timeout,2999,"","0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",152356,timeout,2998,"","0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1004","60","16.73",155348,timeout,2983,"","0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",158340,timeout,2983,"","0"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",161348,m;timeout,2999,66;2999,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1003","60","16.72",164356,timeout,2999,"","0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",167364,timeout,2999,"","0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",170356,timeout,2983,"","0"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1002","60","16.70",173364,timeout,3000,"","0"
"20",test,"",word,"",placeholder2,"",waitResponseWindow;min:100,"1500",m,"","","","",233259,timeout,1484,"",""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",236267,timeout,2998,"","0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",239275,timeout,2999,"","0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",242284,timeout,2999,"","0"
