browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,113.0.0.0,Windows,en-US,2023-05-30_15:59:48,2023-05-30_09:59:48,2023-05-19_18:00:09,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=kx1njZofn8aqrWT,667.188

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,RTkeys,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",99403,timeout,1477,"",""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",102406,timeout,2999,"","0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",105408,timeout,2995,"","0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",108410,timeout,2996,"","0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",111412,m;timeout,2996,452;2996,"0"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",114414,timeout,2995,"","0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",117416,timeout,2996,"","0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",120419,timeout,2997,"","0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",123421,timeout,2995,"","0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",126423,m;timeout,2999,671;2999,"0"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",129426,timeout,2996,"","0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",132428,timeout,2995,"","0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",135430,timeout,2996,"","0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",138432,m;timeout,2996,627;2996,"0"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!,"1001","60","16.68",141435,timeout,2996,"","0"
"20",test,"",word,"",placeholder2,"",waitResponseWindow;min:100,"1500",m,"","","","",157029,timeout,1482,"",""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",160032,timeout,3000,"","0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",163034,timeout,2995,"","0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",166036,timeout,2996,"","0"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",169038,timeout,2996,"","0"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",172041,timeout,2996,"","0"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",175043,m;timeout,2998,762;2998,"0"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",178045,timeout,2996,"","0"
