browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,113.0.0.0,Windows,en-US,2023-05-30_17:51:30,2023-05-30_10:51:30,2023-05-30_16:29:51,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=gGXRqBFrx2kraPj,741.281

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",88765,timeout,1480,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",91762,timeout,2994,"0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",94761,timeout,2991,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",97760,timeout,2996,"0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"999","60","16.65",98868,m,1102,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",103756,timeout,2995,"0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",106754,timeout,2994,"0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",109753,timeout,2995,"0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",112751,timeout,2995,"0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,704;999,"42","16.66",113453,m,696,"1"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999",60;60,"16.66",118748,timeout,2995,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",121746,timeout,2995,"0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999","60","16.66",124744,timeout,2992,"0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,392;1000,"23","16.66",125135,m,388,"1"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"999",60;60,"16.66",130741,timeout,2991,"0"
"20",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","",145549,timeout,1478,""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",148548,timeout,2995,"0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",151546,timeout,2995,"0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",154545,timeout,2994,"0"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",157543,timeout,2996,"0"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",160541,timeout,2994,"0"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"",351;999,"20","16.66",160891,m,346,"1"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","999",60;60,"16.66",166538,timeout,2994,"0"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",169536,timeout,2995,"0"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"",687;999,"41","16.66",170222,m,683,"1"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","999",60;60,"16.66",175535,timeout,2996,"0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.67",178531,timeout,2994,"0"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",181530,timeout,2994,"0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",184528,timeout,2995,"0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"",420;1000,"25","16.66",184947,m,416,"1"
"36",test,"",word,m,placeholder3,"",waitResponseWindow,"1500",m,"","","","",240431,timeout,1479,"0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999",60;60,"16.66",243429,timeout,2995,"0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",246427,timeout,2995,"0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",249426,timeout,2995,"0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",252424,timeout,2995,"0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,943;999,"56","16.66",253366,m,939,"1"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999",60;60,"16.66",258421,timeout,2993,"0"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",261419,timeout,2995,"0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",264418,timeout,2996,"0"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"999","60","16.66",266090,m,1669,"1"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.65",270414,timeout,2994,"0"
"47",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",273412,timeout,2995,"0"
"48",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",276411,timeout,2996,"0"
"49",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",279409,timeout,2995,"0"
"50",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"999","60","16.66",282407,timeout,2992,"0"
"51",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,516;1000,"30","16.66",282923,m,512,"1"
"53",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","",331830,timeout,1477,""
"54",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","999",60;60,"16.66",334829,timeout,2995,"0"
"55",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",337827,timeout,2994,"0"
"56",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",340825,timeout,2994,"0"
"57",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"",443;999,"26","16.65",341268,m,440,"1"
"58",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","999",60;60,"16.66",346822,timeout,2995,"0"
"59",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",349820,timeout,2995,"0"
"60",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",352819,timeout,2995,"0"
"61",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"",695;999,"41","16.66",353514,m,692,"1"
"62",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","999",60;60,"16.66",358816,timeout,2994,"0"
"63",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",361814,timeout,2995,"0"
"64",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",364812,timeout,2991,"0"
"65",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",367811,timeout,2996,"0"
"66",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",370809,timeout,2994,"0"
"67",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"",660;999,"39","16.69",371468,m,655,"1"
"68",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","1000",60;60,"16.66",376806,timeout,2994,"0"
"70",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","",407172,timeout,1488,""
"71",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",410170,timeout,2995,"0"
"72",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",413169,timeout,2996,"0"
"73",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",416167,timeout,2995,"0"
"74",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","999","60","16.66",419166,timeout,2995,"0"
