browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"113.0",Windows,en-US,2023-05-30_16:59:31,2023-05-30_18:59:31,2023-05-30_16:29:51,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=U1mHxVn0sLpjXI6,5074.455

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",131366,timeout,1479,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",134365,timeout,2992,"0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",137366,timeout,2995,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",140365,timeout,2993,"0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",142312,m,1943,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",146363,timeout,2993,"0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",149363,timeout,2991,"0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",152362,timeout,2994,"0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",155361,timeout,2992,"0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,939;1000,"56","16.66",156300,m,933,"1"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000",60;60,"16.66",161361,timeout,2994,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",162748,m,1381,"1"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",167360,timeout,2996,"0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",170359,timeout,2995,"0"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,710;1000,"42","16.66",171069,m,703,"1"
"20",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","",205019,timeout,1491,""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","1000",60;60,"16.66",208019,timeout,2992,"0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",211019,timeout,2995,"0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",214018,timeout,2984,"0"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",217017,timeout,2977,"0"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",218572,m,1550,"1"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",221325,m,1293,"1"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",226016,timeout,2982,"0"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",227486,m,1466,"1"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"",976;1000,"58","16.66",229991,m,970,"1"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","1000",60;60,"16.66",235014,timeout,2993,"0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",238014,timeout,2993,"0"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",241014,timeout,2994,"0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",244013,timeout,2988,"0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"",733;1000,"43","16.66",244745,m,727,"1"
"36",test,"",word,m,placeholder3,"",waitResponseWindow,"1500",m,"","","","",401536,timeout,1412,"0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000",60;60,"16.66",404535,timeout,2975,"0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",407534,timeout,2992,"0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",410534,timeout,2992,"0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",413533,timeout,2991,"0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",416532,timeout,2991,"0"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",418315,m,1775,"1"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",422531,timeout,2992,"0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",423573,m,1032,"1"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",428531,timeout,2992,"0"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",429748,m,1209,"1"
