browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,113.0.1774.50,Windows,en-US,2023-05-30_18:39:38,2023-05-30_12:39:38,2023-05-30_16:29:51,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=StVfufq1Su0KCr3,684.8

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"","","1500",m,"","","","",62087,timeout,1486,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.67",65087,timeout,2995,"0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",68087,timeout,2995,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",71087,timeout,2995,"0"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,930;1000,"55","16.67",72016,m,915,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000",60;60,"16.66",77085,timeout,2992,"0"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",80086,timeout,2997,"0"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",83085,timeout,2992,"0"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",86085,timeout,2993,"0"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",89084,timeout,2988,"0"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.67",92084,timeout,2994,"0"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",95083,timeout,2996,"0"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",98083,timeout,2995,"0"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.67",101083,timeout,2989,"0"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","60","16.66",104083,timeout,2993,"0"
"20",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","",116014,timeout,1489,""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",119014,timeout,2987,"0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",122013,timeout,2991,"0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",125013,timeout,2997,"0"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",128013,timeout,2995,"0"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",129279,m,1260,"1"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"",980;1000,"58","16.66",131991,m,976,"1"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","1000",60;60,"16.66",137011,timeout,2990,"0"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.67",140010,timeout,2997,"0"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"",627;1000,"37","16.67",140637,m,624,"1"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","1000",60;60,"16.66",146011,timeout,2998,"0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.67",149009,timeout,2995,"0"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.67",152009,timeout,2996,"0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","1000","60","16.66",155009,timeout,2993,"0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"",708;1000,"42","16.66",155716,m,704,"1"
"36",test,"",word,m,placeholder3,"",waitResponseWindow,"1500",m,"","","","",173606,timeout,1486,"0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000",60;60,"16.66",176605,timeout,2993,"0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.67",179605,timeout,2995,"0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.67",182605,timeout,2997,"0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","59","16.95",185605,timeout,2989,"0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,659;1000,"39","16.66",186263,m,652,"1"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000",60;60,"16.66",191604,timeout,2997,"0"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",194603,timeout,2997,"0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","60","16.66",197604,timeout,2997,"0"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1000","60","16.66",200603,timeout,2993,"0"
