browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"113.0",MacOS,en-CA,2023-06-05_18:40:17,2023-06-05_14:40:17,2023-06-02_21:11:59,https://www.testable.org/experiment/11502/795217/start?token=keyboard_test,521.793

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1,"",waitResponseWindow,"1500",m,"","","","",15281,timeout,1489,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","119","8.40",18286,timeout,2995,"0"
"6",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,"1000","120","8.33",21278,timeout,2985,"0"
"7",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,286;1003,"34","8.17",21562,m,277,"1"
"8",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,436;999,120;50,"8.34",24716,m,425,"1"
"9",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,742;1000,118;88,"8.40",28022,m,732,"1"
"10",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,396;1000,120;47,"8.33",30676,m,380,"1"
"11",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,262;1000,120;30,"8.47",33542,m,248,"1"
"12",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,281;1000,118;33,"8.39",36561,m,269,"1"
"13",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,277;1000,118;32,"8.40",39558,m,267,"1"
"14",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,320;1000,118;37,"8.40",42600,m,306,"1"
"15",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,370;1004,119;44,"8.36",45650,m,357,"1"
"16",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,306;1000,120;35,"8.47",48582,m,294,"1"
"17",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,330;1000,118;39,"8.40",51606,m,321,"1"
"18",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!,275;1000,120;32,"8.33",54551,m,258,"1"
"20",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","",62972,timeout,1492,""
"21",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","1000",118;120,"8.41",65973,timeout,2989,"0"
"22",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",68973,timeout,2987,"0"
"23",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"",325;996,"38","8.37",69297,m,311,"1"
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"",28;1000,117;3,"8.42",71996,m,19,"1"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"",284;1000,119;33,"8.37",75252,m,275,"1"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"",256;999,120;30,"8.32",78224,m,247,"1"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"",308;1001,120;35,"8.34",81275,m,299,"1"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"",284;1000,119;34,"8.36",84252,m,274,"1"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"",325;1000,116;38,"8.46",87293,m,315,"1"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"",255;1001,119;29,"8.38",90222,m,246,"1"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"",295;1000,118;35,"8.41",93263,m,287,"1"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"",359;1000,120;43,"8.32",96327,m,349,"1"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"",262;1000,117;31,"8.44",99230,m,253,"1"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"",276;1000,120;32,"8.34",102244,m,262,"1"
"36",test,"",word,m,placeholder3,"",waitResponseWindow,"1500",m,"","","","",109406,timeout,1491,"0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000",120;118,"8.40",112406,timeout,2990,"0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,"1000","117","8.55",115406,timeout,2988,"0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,299;1000,"34","8.58",115704,m,276,"1"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,340;1000,117;38,"8.66",118745,m,329,"1"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,279;1000,118;33,"8.41",121684,m,268,"1"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,279;1000,120;32,"8.33",124684,m,267,"1"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,360;1000,119;42,"8.37",127765,m,350,"1"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,365;1000,120;43,"8.32",130771,m,350,"1"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct: This is correct!; incorrect: This is incorrect!,308;1000,120;36,"8.33",133713,m,297,"1"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,338;1001,120;40,"8.34",136742,m,327,"1"
"47",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,334;1000,120;40,"8.34",139740,m,324,"1"
"48",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct: This is incorrect!;,346;1001,120;41,"8.34",142751,m,336,"1"
