browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,114.0.0.0,Windows,en-US,2023-06-09_01:41:37,2023-06-08_18:41:37,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=julia1,1285.877

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",734565,timeout,1484,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",737562,timeout,2990,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",740561,timeout,2991,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,535;999,"32","16.66",741096,m,530,"1"
"13",test,"",word,m,placeholder1-4,"",waitResponseWindow,"1500",m,"","","","","",746924,timeout,1486,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",749922,timeout,2992,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",752921,timeout,2991,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,326;999,"19","16.65",753246,m,319,"1"
"22",test,"",word,m,placeholder1-7,"",waitResponseWindow,"1500",m,"","","","","",758235,timeout,1488,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",761233,timeout,2995,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",764231,timeout,2995,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,401;999,"24","16.65",764631,m,394,"1"
"31",test,"",word,m,placeholder1-10,"",waitResponseWindow,"1500",m,"","","","","",770178,timeout,1484,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",773176,timeout,2993,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",776174,timeout,2995,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,367;999,"21","16.66",776541,m,363,"1"
"40",test,"",word,m,placeholder1-13,"",waitResponseWindow,"1500",m,"","","","","",782421,timeout,1480,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",785420,timeout,2994,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"999","60","16.66",788418,timeout,2993,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",797313,timeout,1493,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",800311,timeout,2995,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",803310,timeout,2995,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","",378;999,"22","16.66",803688,m,375,"1"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","",236;999,60;14,"16.66",806543,m,232,"1"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","",206;999,60;12,"16.66",809512,m,203,"1"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","",268;999,60;16,"16.66",812572,m,263,"1"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","",234;999,60;14,"16.66",815537,m,230,"1"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","",247;999,60;14,"16.66",818548,m,244,"1"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","",210;1000,60;12,"16.66",821510,m,207,"1"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","",248;999,60;14,"16.66",824546,m,244,"1"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","",239;999,60;14,"16.66",827535,m,234,"1"
