browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",Windows,en-US,2023-06-09_16:31:18,2023-06-09_18:31:18,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=sabine1,797.256

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",33988,timeout,1487,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",35937,m,1931,"1"
"7",test,"",word,m,placeholder1-2,"",waitResponseWindow,"1500",m,"","","","","",45685,timeout,1478,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",48686,timeout,2995,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",50165,m,1462,"1"
"13",test,"",word,m,placeholder1-4,"",waitResponseWindow,"1500",m,"","","","","",62399,timeout,1478,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,960;1000,"57","16.66",63358,m,952,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",69148,timeout,1475,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",72149,timeout,2992,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",75147,timeout,2985,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",78146,timeout,2978,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,497;1000,"29","16.66",78643,m,492,"1"
"28",test,"",word,m,placeholder1-9,"",waitResponseWindow,"1500",m,"","","","","",85078,timeout,1487,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",88078,timeout,2990,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",91077,timeout,2985,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",92899,m,1814,"1"
"37",test,"",word,m,placeholder1-12,"",waitResponseWindow,"1500",m,"","","","","",97043,timeout,1493,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",100043,timeout,2978,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",103042,timeout,2990,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","60","16.66",106042,timeout,2996,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",125455,timeout,1475,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",128454,timeout,2992,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",131454,timeout,2992,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","",572;1000,"34","16.66",132025,m,563,"1"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","",422;1000,60;25,"16.66",134874,m,417,"1"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","",541;1000,60;32,"16.66",137993,m,536,"1"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","",759;1000,60;45,"16.66",141210,m,752,"1"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","",369;1000,60;22,"16.66",143820,m,360,"1"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",147498,m,1042,"1"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","",538;1000,"32","16.66",149988,m,533,"1"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",153707,m,1251,"1"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",157366,m,1912,"1"
"59",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","",468;1000,"28","16.66",158916,m,461,"1"
"60",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","",459;1000,60;27,"16.66",161907,m,454,"1"
"61",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"","",928;1000,60;55,"16.66",165375,m,923,"1"
"63",test,"",word,m,placeholder3-1,"",waitResponseWindow,"1500",m,"","","","","",201458,timeout,1475,"0"
"64",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000",60;60,"16.66",204458,timeout,2993,"0"
"67",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",206635,m,2164,"1"
"69",test,"",word,m,placeholder3-3,"",waitResponseWindow,"1500",m,"","","","","",213856,timeout,1492,"0"
"70",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,423;1000,"25","16.66",214278,m,417,"1"
"72",test,"",word,m,placeholder3-4,"",waitResponseWindow,"1500",m,"","","","","",219705,timeout,1492,"0"
"73",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",222705,timeout,2994,"0"
"76",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","59","16.95",224894,m,2183,"1"
"78",test,"",word,m,placeholder3-6,"",waitResponseWindow,"1500",m,"","","","","",229204,timeout,1487,"0"
"79",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,428;1000,"25","16.66",229631,m,407,"1"
"81",test,"",word,m,placeholder3-7,"",waitResponseWindow,"1500",m,"","","","","",235269,timeout,1475,"0"
"82",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",238269,timeout,2996,"0"
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",241269,timeout,2986,"0"
"88",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",244267,timeout,2985,"0"
"91",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",247267,timeout,2996,"0"
"94",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",248954,m,1682,"1"
"96",test,"",word,m,placeholder3-12,"",waitResponseWindow,"1500",m,"","","","","",252616,timeout,1488,"0"
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",255615,timeout,2995,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",258615,timeout,2993,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",261615,timeout,2996,"0"
