browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,113.0.1774.50,Windows,en-US,2023-06-09_18:30:19,2023-06-09_12:30:19,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=bob1,905.65

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",193186,timeout,1486,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",196186,timeout,2995,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",199185,timeout,2989,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",202184,timeout,2994,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,990;1000,"58","16.67",203174,m,981,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",209535,timeout,1494,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",212533,timeout,2994,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",215532,timeout,2997,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",217622,m,2086,"1"
"25",test,"",word,m,placeholder1-8,"",waitResponseWindow,"1500",m,"","","","","",222233,timeout,1483,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",225231,timeout,2985,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",228232,timeout,2995,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",231231,timeout,2992,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",234231,timeout,2995,"0"
