browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",MacOS,en-CA,2023-06-23_16:27:02,2023-06-23_12:27:02,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=VdTmXOii4jww5Fv,569.231

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",37593,timeout,1491,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",40592,timeout,2993,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.34",43596,timeout,2994,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"998","120","8.32",46593,timeout,2993,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,549;1000,"64","8.47",47142,m,540,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",52189,timeout,1489,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",55189,timeout,2988,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",58189,timeout,2990,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",61190,timeout,2995,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.30",64193,timeout,2996,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,746;1004,"89","8.33",64939,m,738,"1"
"31",test,"",word,m,placeholder1-10,"",waitResponseWindow,"1500",m,"","","","","",69398,timeout,1492,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","119","8.40",72398,timeout,2993,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",75398,timeout,2986,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",78397,timeout,2992,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,900;1000,"107","8.34",79297,m,890,"1"
"43",test,"",word,m,placeholder1-14,"",waitResponseWindow,"1500",m,"","","","","",83927,timeout,1492,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"999","120","8.33",86927,timeout,2995,"0"
