browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,114.0.1823.51,Windows,en-US,2023-06-29_15:54:42,2023-06-29_09:54:42,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=EU3j1uxmTSTwXE9,535.201

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",14963,timeout,1469,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",17962,timeout,2985,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",20961,timeout,2985,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",23960,timeout,2997,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",26960,timeout,2994,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",29960,timeout,2996,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",32959,timeout,2996,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",35959,timeout,2995,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",38205,m,2242,"1"
"28",test,"",word,m,placeholder1-9,"",waitResponseWindow,"1500",m,"","","","","",42641,timeout,1484,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",45641,timeout,2996,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",48641,timeout,2997,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",51641,timeout,2993,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",54640,timeout,2993,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",57640,timeout,2995,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","60","16.67",60640,timeout,2993,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",66972,timeout,1480,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",69972,timeout,2996,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","",770;1000,"46","16.66",70739,m,761,"1"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","",283;1000,60;16,"16.66",73253,m,279,"1"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",78970,timeout,2996,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",81969,timeout,2995,"0"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",84969,timeout,2997,"0"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",87969,timeout,2997,"0"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",90968,timeout,2997,"0"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",93969,timeout,2995,"0"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",96968,timeout,2987,"0"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",99968,timeout,2997,"0"
"59",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",102967,timeout,2990,"0"
"60",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",105967,timeout,2996,"0"
"61",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",108966,timeout,2992,"0"
"63",test,"",word,m,placeholder3-1,"",waitResponseWindow,"1500",m,"","","","","",125931,timeout,1487,"0"
"64",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",128930,timeout,2989,"0"
"67",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",131930,timeout,2997,"0"
"70",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",134929,timeout,2996,"0"
"73",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",137929,timeout,2997,"0"
"76",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",140928,timeout,2997,"0"
"79",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",143928,timeout,2997,"0"
"82",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",146928,timeout,2996,"0"
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",149928,timeout,2997,"0"
