browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"102.0",Windows,en-US,2023-07-05_17:52:02,2023-07-05_11:52:02,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=3icrc9AU0IEEOYQ,499.417

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",10421,timeout,1487,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",13421,timeout,2986,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",16421,timeout,2995,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",19421,timeout,2994,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",22421,timeout,2995,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",25421,timeout,2979,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",28422,timeout,2995,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",31421,timeout,2988,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",34421,timeout,2993,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",37421,timeout,2987,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",40422,timeout,2997,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",43420,timeout,2985,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",46421,timeout,2995,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",49424,timeout,2995,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"997","60","16.62",52421,timeout,2992,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",58905,timeout,1486,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",61904,timeout,2989,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",64905,timeout,2996,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",67904,timeout,2996,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",70904,timeout,2996,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",73904,timeout,2986,"0"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",76904,timeout,2993,"0"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",79904,timeout,2995,"0"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",82904,timeout,2994,"0"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",85904,timeout,2992,"0"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",88904,timeout,2990,"0"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",91905,timeout,2991,"0"
"59",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",94905,timeout,2990,"0"
"60",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",97904,timeout,2995,"0"
"61",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",100904,timeout,2987,"0"
"63",test,"",word,m,placeholder3-1,"",waitResponseWindow,"1500",m,"","","","","",108821,timeout,1480,"0"
"64",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",111822,timeout,2988,"0"
"67",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",114821,timeout,2989,"0"
"70",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",117821,timeout,2996,"0"
"73",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",120820,timeout,2984,"0"
"76",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",123822,timeout,2996,"0"
"79",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",126821,timeout,2986,"0"
"82",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",129821,timeout,2989,"0"
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",132821,timeout,2986,"0"
"88",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",135822,timeout,2997,"0"
"91",test,A,word,m,3p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",138820,timeout,2991,"0"
"94",test,C,word,m,3p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",141821,timeout,2996,"0"
"97",test,P,word,m,3p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",144821,timeout,2997,"0"
"100",test,L,word,m,3p13_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",147821,timeout,2997,"0"
"103",test,I,word,m,3p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",150821,timeout,2986,"0"
"106",test,P,word,m,3p15_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","60","16.67",153821,timeout,2995,"0"
"109",test,"",word,"",placeholder4,"",waitResponseWindow,"1500",m,"","","","","",158338,timeout,1480,""
"110",test,K,word,m,3p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",161338,timeout,2987,"0"
"111",test,O,word,m,3p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",164337,timeout,2986,"0"
"112",test,S,word,m,3p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",167338,timeout,2995,"0"
"113",test,K,word,m,3p4_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",170337,timeout,2986,"0"
"114",test,C,word,m,3p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",173338,timeout,2996,"0"
"115",test,A,word,m,3p6_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",176337,timeout,2996,"0"
"116",test,P,word,m,3p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",179337,timeout,2992,"0"
"117",test,C,word,m,3p8_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",182338,timeout,2989,"0"
"118",test,O,word,m,3p9_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",185337,timeout,2996,"0"
"119",test,K,word,m,3p10_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",188337,timeout,2996,"0"
"120",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",191338,timeout,2998,"0"
"121",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",194337,timeout,2989,"0"
"122",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",197338,timeout,2995,"0"
"123",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",200337,timeout,2996,"0"
"124",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",203338,timeout,2996,"0"
"126",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","","",207038,timeout,1479,""
"127",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",210037,timeout,2996,"0"
"128",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",213038,timeout,2997,"0"
"129",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",216037,timeout,2995,"0"
"130",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",219037,timeout,2995,"0"
"131",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",222037,timeout,2994,"0"
"132",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",225038,timeout,2994,"0"
"133",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",228037,timeout,2988,"0"
"134",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",231037,timeout,2994,"0"
"135",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",234038,timeout,2996,"0"
"136",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",237038,timeout,2995,"0"
"137",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",240037,timeout,2996,"0"
"138",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",243037,timeout,2996,"0"
"139",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",246037,timeout,2996,"0"
"140",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",249038,timeout,2996,"0"
"141",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",252038,timeout,2997,"0"
"142",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",255037,timeout,2996,"0"
"143",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",258038,timeout,2998,"0"
"144",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",261038,timeout,2991,"0"
"145",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",264038,timeout,2997,"0"
"146",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",267038,timeout,2991,"0"
"147",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",270038,timeout,2996,"0"
"148",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",273038,timeout,2989,"0"
"150",test,"",word,"",placeholder6,"",waitResponseWindow,"1500",m,"","","","","",276704,timeout,1490,""
"151",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",279704,timeout,2988,"0"
"152",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",282705,timeout,2995,"0"
"153",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",285704,timeout,2986,"0"
"154",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",288703,timeout,2996,"0"
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",291705,timeout,2997,"0"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",294705,timeout,2997,"0"
"157",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",297704,timeout,2987,"0"
