browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"102.0",Windows,en-US,2023-07-07_19:30:54,2023-07-07_13:30:54,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=Rhv33vFqrmJaoXn,540.103

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",53860,timeout,1488,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",56859,timeout,2992,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",59859,timeout,2994,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",62859,timeout,2995,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",65859,timeout,2983,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",68859,timeout,2995,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",71859,timeout,2983,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",74859,timeout,2990,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",77860,timeout,2995,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",80859,timeout,2980,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",83859,timeout,2981,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",84990,m,1127,"1"
"37",test,"",word,m,placeholder1-12,"",waitResponseWindow,"1500",m,"","","","","",89976,timeout,1488,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",92977,timeout,2994,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",95976,timeout,2991,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","60","16.67",98976,timeout,2996,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",102527,timeout,1495,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",105527,timeout,2982,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",108526,timeout,2991,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",111526,timeout,2985,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",114526,timeout,2994,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",117525,timeout,2995,"0"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",120526,timeout,2988,"0"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",123525,timeout,2992,"0"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",126526,timeout,2996,"0"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",128715,m,2182,"1"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","",881;1000,"52","16.67",130406,m,874,"1"
