browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"115.0",MacOS,en-CA,2023-07-13_18:57:35,2023-07-13_14:57:35,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=4TzLMZENzkrdTyb,642.745

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",10809,timeout,1487,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.30",13813,timeout,2992,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","120","8.33",16812,timeout,2988,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",19813,timeout,2989,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,753;1004,"90","8.33",20565,m,742,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",26208,timeout,1489,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","120","8.33",29208,timeout,2989,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","121","8.26",32208,timeout,2987,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",35208,timeout,2988,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",38208,timeout,2990,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,718;1000,"87","8.23",38926,m,707,"1"
"31",test,"",word,m,placeholder1-10,"",waitResponseWindow,"1500",m,"","","","","",43562,timeout,1494,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.30",46567,timeout,2995,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.30",49562,timeout,2985,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.29",52566,timeout,2994,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","121","8.30",55565,timeout,2991,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","120","8.33",58566,timeout,2990,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",71216,timeout,1494,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",74218,timeout,2996,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",77217,timeout,2980,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",80217,timeout,2991,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",83221,timeout,2998,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",84354,m,1117,"1"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",89225,timeout,2988,"0"
