browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,115.0.0.0,Windows,en-US,2023-07-20_02:02:59,2023-07-19_19:02:59,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=1n7nwXsaQrqbqIa,635.512

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",73462,timeout,1481,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.65",76460,timeout,2987,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",79458,timeout,2989,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",82456,timeout,2989,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,810;1000,"48","16.67",83265,m,800,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",89852,timeout,1479,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",92851,timeout,2988,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",95849,timeout,2989,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",98847,timeout,2990,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",101846,timeout,2990,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,332;999,"19","16.63",102178,m,323,"1"
"31",test,"",word,m,placeholder1-10,"",waitResponseWindow,"1500",m,"","","","","",111191,timeout,1483,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",114189,timeout,2991,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.65",117187,timeout,2989,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",120185,timeout,2989,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,772;1000,"46","16.67",120956,m,768,"1"
"43",test,"",word,m,placeholder1-14,"",waitResponseWindow,"1500",m,"","","","","",126832,timeout,1489,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"999","60","16.66",129830,timeout,2990,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",141524,timeout,1486,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",144523,timeout,2990,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",147521,timeout,2989,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",150519,timeout,2990,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",153517,timeout,2991,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",156515,timeout,2990,"0"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","",575;1000,"34","16.65",157090,m,566,"1"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","","999",60;60,"16.66",162513,timeout,2990,"0"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",165511,timeout,2990,"0"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","",472;1000,"28","16.65",165981,m,463,"1"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","","999",60;60,"16.66",171507,timeout,2991,"0"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",174506,timeout,2991,"0"
"59",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",177505,timeout,2989,"0"
