browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,,,,,,,,,,
Firefox,116,MacOS,en-CA,2023-08-16_19:11:08,2023-08-16_15:11:08,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av20,554.024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
4,test,,word,,placeholder1-1,,waitResponseWindow,1500,m,,,,,,10572,timeout,1482,
5,test,A,word,m,2p1_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,13572,timeout,2989,0
8,test,L,word,m,2p2_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,16572,timeout,2988,0
11,test,T,word,m,2p3_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1001,60,16.68,19573,timeout,2990,0
14,test,L,word,m,2p4_1C,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,22573,timeout,2991,0
17,test,O,word,m,2p5_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,25574,timeout,2988,0
20,test,C,word,m,2p6_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,28573,timeout,2987,0
23,test,H,word,m,2p7_1,1000,waitResponseWindow,3000,m,correct,+1;+3,999,60,16.65,31574,timeout,2990,0
26,test,M,word,m,2p8_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,34574,timeout,2991,0
29,test,H,word,m,2p9_1C,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,37575,timeout,2989,0
32,test,E,word,m,2p10_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,40574,timeout,2990,0
35,test,K,word,m,2p11_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.66,43574,timeout,2991,0
38,test,P,word,m,2p12_1,1000,waitResponseWindow,3000,m,correct,+1;+3,1000,60,16.67,46574,timeout,2990,0
41,test,K,word,m,2p13_1C,1000,waitResponseWindow,3000,m,correct,+1;+3,513;1000,30,16.67,47087,m,504,1
43,test,,word,m,placeholder1-14,,waitResponseWindow,1500,m,,,,,,52942,timeout,1476,0
44,test,B,word,m,2p14_1,1000,waitResponseWindow,3000,m,correct,+1;+2,1000,60,16.67,55942,timeout,2991,0
47,test,,word,,placeholder2,,waitResponseWindow,1500,m,,,,,,69229,timeout,1493,
48,test,D,word,m,2p1_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,72226,timeout,2987,0
49,test,R,word,m,2p2_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,75226,timeout,2991,0
50,test,H,word,m,2p3_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,78226,timeout,2990,0
51,test,B,word,m,2p4_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,81226,timeout,2990,0
52,test,R,word,m,2p5_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,84226,timeout,2991,0
53,test,B,word,m,2p6_2C,1000,waitResponseWindow,3000,m,,,462;1001,27,16.67,84687,m,452,1
54,test,D,word,m,2p7_2,1000,waitResponseWindow,3000,m,,,1000,60;60,16.68,90226,timeout,2991,0
