browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"116.0",MacOS,en-CA,2023-08-22_01:18:10,2023-08-21_21:18:10,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av21,578.285

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",30082,timeout,1485,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",33082,timeout,2991,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.66",36082,timeout,2987,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",39082,timeout,2991,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,387;1000,"23","16.67",39468,m,375,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",45015,timeout,1492,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",48015,timeout,2987,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","60","16.65",51016,timeout,2991,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",54016,timeout,2990,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",57016,timeout,2988,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",60016,timeout,2990,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",63016,timeout,2988,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.66",66016,timeout,2990,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1001","60","16.68",69018,timeout,2994,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",72017,timeout,2982,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1000","60","16.67",75017,timeout,2992,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",83017,timeout,1476,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",86017,timeout,2989,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",89017,timeout,2991,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",92018,timeout,2986,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",95019,timeout,2992,"0"
"52",test,R,word,m,2p5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",98018,timeout,2982,"0"
"53",test,B,word,m,2p6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",101019,timeout,2983,"0"
"54",test,D,word,m,2p7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",104018,timeout,2987,"0"
"55",test,K,word,m,2p8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",107018,timeout,2986,"0"
"56",test,D,word,m,2p9_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",110019,timeout,2984,"0"
"57",test,T,word,m,2p10_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",113019,timeout,2986,"0"
"58",test,A,word,m,2p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",116020,timeout,2987,"0"
"59",test,I,word,m,2p12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",119020,timeout,2988,"0"
"60",test,E,word,m,2p13_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",122019,timeout,2987,"0"
"61",test,I,word,m,2p14_2C,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",125019,timeout,2986,"0"
"63",test,"",word,m,placeholder3-1,"",waitResponseWindow,"1500",m,"","","","","",145188,timeout,1488,"0"
"64",test,D,word,m,3p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",148187,timeout,2991,"0"
"67",test,K,word,m,3p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",151188,timeout,2990,"0"
"70",test,A,word,m,3p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",154188,timeout,2992,"0"
"73",test,R,word,m,3p4_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",157189,timeout,2993,"0"
"76",test,K,word,m,3p5_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,401;999,"24","16.67",157589,m,388,"1"
"78",test,"",word,m,placeholder3-6,"",waitResponseWindow,"1500",m,"","","","","",164272,timeout,1474,"0"
"79",test,T,word,m,3p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",167272,timeout,2993,"0"
"82",test,O,word,m,3p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",170272,timeout,2991,"0"
"85",test,K,word,m,3p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","60","16.67",173272,timeout,2990,"0"
"88",test,T,word,m,3p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,404;1000,"24","16.67",173676,m,394,"1"
"90",test,"",word,m,placeholder3-10,"",waitResponseWindow,"1500",m,"","","","","",179606,timeout,1489,"0"
