"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4300","3_14_7","3_14_7","0:3_3:2_1:3","3","3","0TGQkoV4p3DZKgJ","spatial-span-recall-demo","8","140024","1680196277005","0.0-2.0-1.0","","",""
"3808","2_1_12_8","2_1_12_8","0:2_0:1_3:0_2:0","4","4","","spatial-span-recall-demo","18","150066","1680196287047","0.0-2.0-1.1","","",""
"10789","12_13_14_15_11_10_9_8_4_5_6_7_3_2_1_0","9_2_13_4","2:1_0:2_3:1_1:0","0","4","","spatial-span-recall-demo","28","167634","1680196304615","0.0-2.0-1.2","","",""
"2600","","","","","","","symmetry-judgement-task-demo","31","209704","1680196346685","0.0-4.0-0.0","1","",""
"2014","","","","","","","symmetry-judgement-task-demo","33","212823","1680196349804","0.0-4.0-0.1","1","",""
"2280","","","","","","","symmetry-judgement-task-demo","35","216232","1680196353213","0.0-4.0-0.2","1","",""
"1880","","","","","","","symmetry-judgement-task-demo","37","219208","1680196356189","0.0-4.0-0.3","1","",""
"2002","","","","","","","symmetry-judgement-task-demo","39","222311","1680196359291","0.0-4.0-0.4","1","",""
"42225","","","","","","","symmetry-judgement-task-demo","43","317829","1680196454810","0.0-6.0-0.0-1.0","1","",""
"1243","","","","","","","symmetry-judgement-task-demo","46","320201","1680196457182","0.0-6.0-0.0-1.1","1","",""
"3149","8_4","8_4","2:0_1:0","2","2","","spatial-span-recall-demo","48","323354","1680196460335","0.0-6.0-1.0","","",""
"3597","","","","","","","symmetry-judgement-task-demo","51","332113","1680196469094","0.0-6.0-0.1-1.2","1","",""
"4199","","","","","","","symmetry-judgement-task-demo","54","337413","1680196474394","0.0-6.0-0.1-1.3","1","",""
"1923","","","","","","","symmetry-judgement-task-demo","57","340460","1680196477441","0.0-6.0-0.1-1.4","0","",""
"4538","8_0_9","8_0_9","2:0_0:0_2:1","3","3","","spatial-span-recall-demo","59","345003","1680196481984","0.0-6.0-1.1","","",""
"4927","","","","","","","symmetry-judgement-task-demo","62","355866","1680196492847","0.0-6.0-0.2-1.5","1","",""
"1524","","","","","","","symmetry-judgement-task-demo","65","358506","1680196495487","0.0-6.0-0.2-1.6","1","",""
"1285","","","","","","","symmetry-judgement-task-demo","68","360895","1680196497876","0.0-6.0-0.2-1.7","1","",""
"10874","","","","","","","symmetry-judgement-task-demo","71","372896","1680196509877","0.0-6.0-0.2-1.8","1","",""
"11821","12_9_6_3_0_5_10_15_11_7_2_1_4_8_13_14","3_11_12_14","0:3_2:3_3:0_3:2","0","4","","spatial-span-recall-demo","73","384723","1680196521704","0.0-6.0-1.2","","",""
"2632","","","","","","","symmetry-judgement-task-demo","76","391380","1680196528361","0.0-6.0-0.3-1.9","1","",""
"2083","","","","","","","symmetry-judgement-task-demo","79","394590","1680196531571","0.0-6.0-0.3-1.10","1","",""
"416","","","","","","","symmetry-judgement-task-demo","82","396115","1680196533096","0.0-6.0-0.3-1.11","0","",""
"765","","","","","","","symmetry-judgement-task-demo","85","397984","1680196534965","0.0-6.0-0.3-1.12","0","",""
"766","","","","","","","symmetry-judgement-task-demo","88","399861","1680196536842","0.0-6.0-0.3-1.13","1","",""
"3817","12_8_4_0","0_5_2_11_12","0:0_1:1_0:2_2:3_3:0","0","5","","spatial-span-recall-demo","90","403682","1680196540663","0.0-6.0-1.3","","",""
"null","","","","","","","symmetry-judgement-task","94","469722","1680196606703","0.0-8.0-0.0-1.0","","",""
"null","","","","","","","symmetry-judgement-task","97","476867","1680196613848","0.0-8.0-0.0-1.1","","",""
"1358","","","","","","","symmetry-judgement-task","100","479375","1680196616356","0.0-8.0-0.0-1.2","","1",""
"16415","12_13_14","1_5_8","0:1_1:1_2:0","","3","","spatial-span-recall","102","495798","1680196632779","0.0-8.0-1.0","","","0"
"null","","","","","","","symmetry-judgement-task","105","509742","1680196646723","0.0-8.0-0.1-1.3","","",""
"2244","","","","","","","symmetry-judgement-task","108","513102","1680196650083","0.0-8.0-0.1-1.4","","1",""
"5788","12_8","7_12","1:3_3:0","","2","","spatial-span-recall","110","518896","1680196655877","0.0-8.0-1.1","","","0"
"1900","","","","","","","symmetry-judgement-task","113","527032","1680196664013","0.0-8.0-0.2-1.5","","1",""
"1279","","","","","","","symmetry-judgement-task","116","529419","1680196666400","0.0-8.0-0.2-1.6","","1",""
"5691","10_8","10_8","2:2_2:0","","2","","spatial-span-recall","118","535113","1680196672094","0.0-8.0-1.2","","","2"
"1830","","","","","","","symmetry-judgement-task","121","542213","1680196679194","0.0-8.0-0.3-1.7","","1",""
"1174","","","","","","","symmetry-judgement-task","124","544499","1680196681480","0.0-8.0-0.3-1.8","","1",""
"959","","","","","","","symmetry-judgement-task","127","546561","1680196683542","0.0-8.0-0.3-1.9","","1",""
"3573","8_11_13","8_15_13","2:0_3:3_3:1","","3","","spatial-span-recall","129","550138","1680196687119","0.0-8.0-1.3","","","2"
"2751","","","","","","","symmetry-judgement-task","132","558732","1680196695713","0.0-8.0-0.4-1.10","","1",""
"1636","","","","","","","symmetry-judgement-task","135","561480","1680196698461","0.0-8.0-0.4-1.11","","1",""
"1486","","","","","","","symmetry-judgement-task","138","564069","1680196701050","0.0-8.0-0.4-1.12","","1",""
"3732","13_9_5_1","8_0_12","2:0_0:0_3:0","","3","","spatial-span-recall","140","567805","1680196704786","0.0-8.0-1.4","","","0"
"2690","","","","","","","symmetry-judgement-task","143","574857","1680196711838","0.0-8.0-0.5-1.13","","1",""
"3715","","","","","","","symmetry-judgement-task","146","579669","1680196716650","0.0-8.0-0.5-1.14","","1",""
"1653","","","","","","","symmetry-judgement-task","149","582432","1680196719413","0.0-8.0-0.5-1.15","","1",""
"1534","","","","","","","symmetry-judgement-task","152","585091","1680196722072","0.0-8.0-0.5-1.16","","1",""
"4006","12_8_4_0","7_5_8_15","1:3_1:1_2:0_3:3","","4","","spatial-span-recall","154","589101","1680196726082","0.0-8.0-1.5","","","0"
"1196","","","","","","","symmetry-judgement-task","157","595311","1680196732292","0.0-8.0-0.6-1.17","","1",""
"1373","","","","","","","symmetry-judgement-task","160","597796","1680196734777","0.0-8.0-0.6-1.18","","1",""
"1467","","","","","","","symmetry-judgement-task","163","600369","1680196737350","0.0-8.0-0.6-1.19","","1",""
"1811","","","","","","","symmetry-judgement-task","166","603299","1680196740280","0.0-8.0-0.6-1.20","","1",""
"2118","","","","","","","symmetry-judgement-task","169","606522","1680196743503","0.0-8.0-0.6-1.21","","1",""
"6370","11_15_4_12_9","11_15_4_12_8","2:3_3:3_1:0_3:0_2:0","","5","","spatial-span-recall","171","612896","1680196749877","0.0-8.0-1.6","","","4"
"1189","","","","","","","symmetry-judgement-task","174","623282","1680196760263","0.0-8.0-0.7-1.22","","1",""
"1776","","","","","","","symmetry-judgement-task","177","626177","1680196763158","0.0-8.0-0.7-1.23","","1",""
"1158","","","","","","","symmetry-judgement-task","180","628451","1680196765432","0.0-8.0-0.7-1.24","","1",""
"1185","","","","","","","symmetry-judgement-task","183","630741","1680196767722","0.0-8.0-0.7-1.25","","1",""
"8430","0_14_8_10","0_14_8_10","0:0_3:2_2:0_2:2","","4","","spatial-span-recall","185","639175","1680196776156","0.0-8.0-1.7","","","4"
"1875","","","","","","","symmetry-judgement-task","188","652812","1680196789793","0.0-8.0-0.8-1.26","","1",""
"1265","","","","","","","symmetry-judgement-task","191","655183","1680196792164","0.0-8.0-0.8-1.27","","1",""
"2503","15_0","15_0","3:3_0:0","","2","","spatial-span-recall","193","657692","1680196794673","0.0-8.0-1.8","","","2"
"1434","","","","","","","symmetry-judgement-task","196","663005","1680196799986","0.0-8.0-0.9-1.28","","1",""
"766","","","","","","","symmetry-judgement-task","199","664882","1680196801863","0.0-8.0-0.9-1.29","","1",""
"1239","","","","","","","symmetry-judgement-task","202","667229","1680196804210","0.0-8.0-0.9-1.30","","1",""
"834","","","","","","","symmetry-judgement-task","205","669159","1680196806140","0.0-8.0-0.9-1.31","","1",""
"1246","","","","","","","symmetry-judgement-task","208","671525","1680196808506","0.0-8.0-0.9-1.32","","1",""
"3733","5_6_1_10_12","5_6_8_1_12","1:1_1:2_2:0_0:1_3:0","","5","","spatial-span-recall","210","675263","1680196812244","0.0-8.0-1.9","","","3"
"1949","","","","","","","symmetry-judgement-task","213","682395","1680196819376","0.0-8.0-0.10-1.33","","1",""
"2024","","","","","","","symmetry-judgement-task","216","685523","1680196822504","0.0-8.0-0.10-1.34","","1",""
"1466","","","","","","","symmetry-judgement-task","219","688099","1680196825080","0.0-8.0-0.10-1.35","","1",""
"1364","","","","","","","symmetry-judgement-task","222","690566","1680196827547","0.0-8.0-0.10-1.36","","1",""
