"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"5903","12_5_15","12_5_15","3:0_1:1_3:3","3","3","2kU6OT597a2eqzf","Chrome version 111.0.0.0","spatial-span-recall-demo","8","84478","1681348225712","0.0-2.0-1.0","","",""
"12704","6_14_15_5","6_15_10_4","1:2_3:3_2:2_1:0","1","4","","","spatial-span-recall-demo","18","103246","1681348244480","0.0-2.0-1.1","","",""
"5143","5_6_9_3","5_6_9_3","1:1_1:2_2:1_0:3","4","4","","","spatial-span-recall-demo","28","115173","1681348256407","0.0-2.0-1.2","","",""
"2075","","","","","","","","symmetry-judgement-task-demo","31","137660","1681348278894","0.0-4.0-0.0","1","",""
"1447","","","","","","","","symmetry-judgement-task-demo","33","140362","1681348281596","0.0-4.0-0.1","1","",""
"1633","","","","","","","","symmetry-judgement-task-demo","35","143284","1681348284518","0.0-4.0-0.2","1","",""
"2282","","","","","","","","symmetry-judgement-task-demo","37","146822","1681348288056","0.0-4.0-0.3","0","",""
"1901","","","","","","","","symmetry-judgement-task-demo","39","149984","1681348291218","0.0-4.0-0.4","1","",""
"5408","","","","","","","","symmetry-judgement-task-demo","43","170545","1681348311779","0.0-6.0-0.0-1.0","1","",""
"3091","","","","","","","","symmetry-judgement-task-demo","46","174898","1681348316132","0.0-6.0-0.0-1.1","1","",""
"4786","7","7_2","1:3_0:2","1","2","","","spatial-span-recall-demo","48","179694","1681348320928","0.0-6.0-1.0","","",""
"2607","","","","","","","","symmetry-judgement-task-demo","51","187806","1681348329040","0.0-6.0-0.1-1.2","1","",""
"1962","","","","","","","","symmetry-judgement-task-demo","54","191033","1681348332267","0.0-6.0-0.1-1.3","1","",""
"1693","","","","","","","","symmetry-judgement-task-demo","57","193988","1681348335222","0.0-6.0-0.1-1.4","1","",""
"7852","12_4_15","13_0_6","3:1_0:0_1:2","0","3","","","spatial-span-recall-demo","59","201851","1681348343085","0.0-6.0-1.1","","",""
"3063","","","","","","","","symmetry-judgement-task-demo","62","210110","1681348351344","0.0-6.0-0.2-1.5","1","",""
"1992","","","","","","","","symmetry-judgement-task-demo","65","213372","1681348354606","0.0-6.0-0.2-1.6","1","",""
"2097","","","","","","","","symmetry-judgement-task-demo","68","216741","1681348357975","0.0-6.0-0.2-1.7","1","",""
"1464","","","","","","","","symmetry-judgement-task-demo","71","219476","1681348360710","0.0-6.0-0.2-1.8","1","",""
"8026","11_8_15_0","11_8_1_0","2:3_2:0_0:1_0:0","3","4","","","spatial-span-recall-demo","73","227512","1681348368746","0.0-6.0-1.2","","",""
"3534","","","","","","","","symmetry-judgement-task-demo","76","234834","1681348376068","0.0-6.0-0.3-1.9","1","",""
"1898","","","","","","","","symmetry-judgement-task-demo","79","238004","1681348379238","0.0-6.0-0.3-1.10","1","",""
"1392","","","","","","","","symmetry-judgement-task-demo","82","240658","1681348381892","0.0-6.0-0.3-1.11","1","",""
"2176","","","","","","","","symmetry-judgement-task-demo","85","244104","1681348385338","0.0-6.0-0.3-1.12","1","",""
"1804","","","","","","","","symmetry-judgement-task-demo","88","247227","1681348388461","0.0-6.0-0.3-1.13","1","",""
"8373","8_15_1_11","8_15_1_7_11","2:0_3:3_0:1_1:3_2:3","3","5","","","spatial-span-recall-demo","90","255613","1681348396847","0.0-6.0-1.3","","",""
"3345","","","","","","","","symmetry-judgement-task","94","275749","1681348416983","0.0-8.0-0.0-1.0","","1",""
"2058","","","","","","","","symmetry-judgement-task","97","279148","1681348420382","0.0-8.0-0.0-1.1","","1",""
"2145","","","","","","","","symmetry-judgement-task","100","282551","1681348423785","0.0-8.0-0.0-1.2","","1",""
"8859","0_7_11","1_3_7","0:1_0:3_1:3","","3","","","spatial-span-recall","102","291421","1681348432655","0.0-8.0-1.0","","","0"
"2503","","","","","","","","symmetry-judgement-task","105","298774","1681348440008","0.0-8.0-0.1-1.3","","1",""
"2618","","","","","","","","symmetry-judgement-task","108","302689","1681348443923","0.0-8.0-0.1-1.4","","1",""
