"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"2788","9_3_6","14_3_9","3:2_0:3_2:1","1","3","5rXxOePCOFNcGI1","spatial-span-recall-demo","8","16719","1678815542149","0.0-2.0-1.0","","",""
"2195","12_1_8_9","12_1_8_5","3:0_0:1_2:0_1:1","3","4","","spatial-span-recall-demo","18","23486","1678815548916","0.0-2.0-1.1","","",""
"2980","2_6_8_1_5","6_8_1_5","1:2_2:0_0:1_1:1","0","4","","spatial-span-recall-demo","28","31103","1678815556533","0.0-2.0-1.2","","",""
"951","","","","","","","symmetry-judgement-task-demo","31","34439","1678815559869","0.0-4.0-0.0","1","",""
"1007","","","","","","","symmetry-judgement-task-demo","33","36502","1678815561932","0.0-4.0-0.1","1","",""
"987","","","","","","","symmetry-judgement-task-demo","35","38551","1678815563981","0.0-4.0-0.2","1","",""
"917","","","","","","","symmetry-judgement-task-demo","37","40527","1678815565957","0.0-4.0-0.3","1","",""
"867","","","","","","","symmetry-judgement-task-demo","39","42455","1678815567885","0.0-4.0-0.4","1","",""
"948","","","","","","","symmetry-judgement-task-demo","43","46296","1678815571726","0.0-6.0-0.0-1.0","1","",""
"866","","","","","","","symmetry-judgement-task-demo","46","48223","1678815573653","0.0-6.0-0.0-1.1","1","",""
"1801","5_15","5_15","1:1_3:3","2","2","","spatial-span-recall-demo","48","50029","1678815575459","0.0-6.0-1.0","","",""
"709","","","","","","","symmetry-judgement-task-demo","51","53496","1678815578926","0.0-6.0-0.1-1.2","1","",""
"890","","","","","","","symmetry-judgement-task-demo","54","55456","1678815580886","0.0-6.0-0.1-1.3","1","",""
"777","","","","","","","symmetry-judgement-task-demo","57","57298","1678815582728","0.0-6.0-0.1-1.4","1","",""
"2323","1_14_11","1_14_11","0:1_3:2_2:3","3","3","","spatial-span-recall-demo","59","59626","1678815585056","0.0-6.0-1.1","","",""
"722","","","","","","","symmetry-judgement-task-demo","62","62127","1678815587557","0.0-6.0-0.2-1.5","1","",""
"648","","","","","","","symmetry-judgement-task-demo","65","63838","1678815589268","0.0-6.0-0.2-1.6","1","",""
"537","","","","","","","symmetry-judgement-task-demo","68","65439","1678815590869","0.0-6.0-0.2-1.7","1","",""
"673","","","","","","","symmetry-judgement-task-demo","71","67175","1678815592605","0.0-6.0-0.2-1.8","1","",""
"1891","9_14_5_11","9_14_5_11","2:1_3:2_1:1_2:3","4","4","","spatial-span-recall-demo","73","69072","1678815594502","0.0-6.0-1.2","","",""
"911","","","","","","","symmetry-judgement-task-demo","76","71494","1678815596924","0.0-6.0-0.3-1.9","1","",""
"613","","","","","","","symmetry-judgement-task-demo","79","73174","1678815598604","0.0-6.0-0.3-1.10","1","",""
"795","","","","","","","symmetry-judgement-task-demo","82","75031","1678815600461","0.0-6.0-0.3-1.11","1","",""
"1265","","","","","","","symmetry-judgement-task-demo","85","77359","1678815602789","0.0-6.0-0.3-1.12","1","",""
"731","","","","","","","symmetry-judgement-task-demo","88","79154","1678815604584","0.0-6.0-0.3-1.13","1","",""
"2656","10_9_13_3_2","6_9_13_3_2","1:2_2:1_3:1_0:3_0:2","4","5","","spatial-span-recall-demo","90","81816","1678815607246","0.0-6.0-1.3","","",""
"822","","","","","","","symmetry-judgement-task","94","84823","1678815610253","0.0-8.0-0.0-1.0","","1",""
"661","","","","","","","symmetry-judgement-task","97","86549","1678815611979","0.0-8.0-0.0-1.1","","1",""
"652","","","","","","","symmetry-judgement-task","100","88262","1678815613692","0.0-8.0-0.0-1.2","","1",""
"3286","0_9_10","0_9_10","0:0_2:1_2:2","","3","","spatial-span-recall","102","91555","1678815616985","0.0-8.0-1.0","","","3"
"3757","","","","","","","symmetry-judgement-task","105","96905","1678815622335","0.0-8.0-0.1-1.3","","1",""
"1117","","","","","","","symmetry-judgement-task","108","99086","1678815624516","0.0-8.0-0.1-1.4","","1",""
"1515","9_14","8_14","2:0_3:2","","2","","spatial-span-recall","110","100607","1678815626037","0.0-8.0-1.1","","","1"
"1327","","","","","","","symmetry-judgement-task","113","103486","1678815628916","0.0-8.0-0.2-1.5","","1",""
"766","","","","","","","symmetry-judgement-task","116","105321","1678815630751","0.0-8.0-0.2-1.6","","1",""
"1665","12_1","12_1","3:0_0:1","","2","","spatial-span-recall","118","106991","1678815632421","0.0-8.0-1.2","","","2"
"750","","","","","","","symmetry-judgement-task","121","109217","1678815634647","0.0-8.0-0.3-1.7","","1",""
"1088","","","","","","","symmetry-judgement-task","124","111368","1678815636798","0.0-8.0-0.3-1.8","","1",""
"784","","","","","","","symmetry-judgement-task","127","113213","1678815638643","0.0-8.0-0.3-1.9","","1",""
"2029","4_10_6","4_10_6","1:0_2:2_1:2","","3","","spatial-span-recall","129","115245","1678815640675","0.0-8.0-1.3","","","3"
"1098","","","","","","","symmetry-judgement-task","132","118007","1678815643437","0.0-8.0-0.4-1.10","","1",""
"1176","","","","","","","symmetry-judgement-task","135","120245","1678815645675","0.0-8.0-0.4-1.11","","1",""
"1039","","","","","","","symmetry-judgement-task","138","122351","1678815647781","0.0-8.0-0.4-1.12","","1",""
"2059","6_7_1","6_7_1","1:2_1:3_0:1","","3","","spatial-span-recall","140","124414","1678815649844","0.0-8.0-1.4","","","3"
"1030","","","","","","","symmetry-judgement-task","143","127368","1678815652798","0.0-8.0-0.5-1.13","","1",""
"644","","","","","","","symmetry-judgement-task","146","129073","1678815654503","0.0-8.0-0.5-1.14","","1",""
"815","","","","","","","symmetry-judgement-task","149","130951","1678815656381","0.0-8.0-0.5-1.15","","1",""
"1408","","","","","","","symmetry-judgement-task","152","133423","1678815658853","0.0-8.0-0.5-1.16","","1",""
"3257","10_6_9_12","10_6_9_12","2:2_1:2_2:1_3:0","","4","","spatial-span-recall","154","136685","1678815662115","0.0-8.0-1.5","","","4"
"747","","","","","","","symmetry-judgement-task","157","138936","1678815664366","0.0-8.0-0.6-1.17","","1",""
"975","","","","","","","symmetry-judgement-task","160","140974","1678815666404","0.0-8.0-0.6-1.18","","1",""
"582","","","","","","","symmetry-judgement-task","163","142623","1678815668053","0.0-8.0-0.6-1.19","","1",""
"742","","","","","","","symmetry-judgement-task","166","144430","1678815669860","0.0-8.0-0.6-1.20","","1",""
"801","","","","","","","symmetry-judgement-task","169","146294","1678815671724","0.0-8.0-0.6-1.21","","1",""
"4843","6_5_4_3_15","6_4_1_15_3","1:2_1:0_0:1_3:3_0:3","","5","","spatial-span-recall","171","151143","1678815676573","0.0-8.0-1.6","","","1"
"914","","","","","","","symmetry-judgement-task","174","153919","1678815679349","0.0-8.0-0.7-1.22","","1",""
"783","","","","","","","symmetry-judgement-task","177","155760","1678815681190","0.0-8.0-0.7-1.23","","1",""
"734","","","","","","","symmetry-judgement-task","180","157557","1678815682987","0.0-8.0-0.7-1.24","","1",""
"1049","","","","","","","symmetry-judgement-task","183","159671","1678815685101","0.0-8.0-0.7-1.25","","1",""
"3010","6_2_0_13","6_0_4_14","1:2_0:0_1:0_3:2","","4","","spatial-span-recall","185","162686","1678815688116","0.0-8.0-1.7","","","1"
