"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4790","4_6_14","4_6_14","1:0_1:2_3:2","3","3","6ozqXrFroR2sElC","spatial-span-recall-demo","8","66377","1679413312721","0.0-2.0-1.0","","",""
"5418","10_9_2_14","10_9_2_14","2:2_2:1_0:2_3:2","4","4","","spatial-span-recall-demo","18","96450","1679413342794","0.0-2.0-1.1","","",""
"5596","7_6_5_15","6_7_5_15","1:2_1:3_1:1_3:3","2","4","","spatial-span-recall-demo","28","108421","1679413354765","0.0-2.0-1.2","","",""
"3001","","","","","","","symmetry-judgement-task-demo","31","122486","1679413368830","0.0-4.0-0.0","1","",""
"1888","","","","","","","symmetry-judgement-task-demo","33","125583","1679413371927","0.0-4.0-0.1","1","",""
"1295","","","","","","","symmetry-judgement-task-demo","35","128101","1679413374445","0.0-4.0-0.2","1","",""
"1387","","","","","","","symmetry-judgement-task-demo","37","130691","1679413377035","0.0-4.0-0.3","1","",""
"1306","","","","","","","symmetry-judgement-task-demo","39","133216","1679413379560","0.0-4.0-0.4","1","",""
"1554","","","","","","","symmetry-judgement-task-demo","43","158821","1679413405165","0.0-6.0-0.0-1.0","1","",""
"1770","","","","","","","symmetry-judgement-task-demo","46","161806","1679413408150","0.0-6.0-0.0-1.1","1","",""
"4071","6_10","6_10","1:2_2:2","2","2","","spatial-span-recall-demo","48","165885","1679413412229","0.0-6.0-1.0","","",""
"2170","","","","","","","symmetry-judgement-task-demo","51","171795","1679413418139","0.0-6.0-0.1-1.2","1","",""
"2652","","","","","","","symmetry-judgement-task-demo","54","175662","1679413422006","0.0-6.0-0.1-1.3","1","",""
"2155","","","","","","","symmetry-judgement-task-demo","57","179040","1679413425384","0.0-6.0-0.1-1.4","1","",""
"7011","0_1_5","4_0_5","1:0_0:0_1:1","1","3","","spatial-span-recall-demo","59","186064","1679413432408","0.0-6.0-1.1","","",""
"2303","","","","","","","symmetry-judgement-task-demo","62","194978","1679413441322","0.0-6.0-0.2-1.5","1","",""
"1344","","","","","","","symmetry-judgement-task-demo","65","197535","1679413443879","0.0-6.0-0.2-1.6","1","",""
"2114","","","","","","","symmetry-judgement-task-demo","68","200859","1679413447203","0.0-6.0-0.2-1.7","1","",""
"1945","","","","","","","symmetry-judgement-task-demo","71","204067","1679413450411","0.0-6.0-0.2-1.8","1","",""
"3922","7_5_13_15","7_13_5_15","1:3_3:1_1:1_3:3","2","4","","spatial-span-recall-demo","73","208002","1679413454346","0.0-6.0-1.2","","",""
"2616","","","","","","","symmetry-judgement-task-demo","76","213881","1679413460225","0.0-6.0-0.3-1.9","1","",""
"2191","","","","","","","symmetry-judgement-task-demo","79","217277","1679413463621","0.0-6.0-0.3-1.10","1","",""
"2697","","","","","","","symmetry-judgement-task-demo","82","221190","1679413467534","0.0-6.0-0.3-1.11","1","",""
"1975","","","","","","","symmetry-judgement-task-demo","85","224394","1679413470738","0.0-6.0-0.3-1.12","1","",""
"3812","","","","","","","symmetry-judgement-task-demo","88","229415","1679413475759","0.0-6.0-0.3-1.13","1","",""
"6614","3_1_4_9_15","0_2_10_3_4","0:0_0:2_2:2_0:3_1:0","0","5","","spatial-span-recall-demo","90","236040","1679413482384","0.0-6.0-1.3","","",""
"1743","","","","","","","symmetry-judgement-task","94","258940","1679413505284","0.0-8.0-0.0-1.0","","0",""
"4287","","","","","","","symmetry-judgement-task","97","264487","1679413510831","0.0-8.0-0.0-1.1","","1",""
"3941","","","","","","","symmetry-judgement-task","100","269680","1679413516024","0.0-8.0-0.0-1.2","","1",""
"4515","3_15_6","15_2_6","3:3_0:2_1:2","","3","","spatial-span-recall","102","274200","1679413520544","0.0-8.0-1.0","","","1"
"1671","","","","","","","symmetry-judgement-task","105","289225","1679413535569","0.0-8.0-0.1-1.3","","1",""
"1988","","","","","","","symmetry-judgement-task","108","292420","1679413538764","0.0-8.0-0.1-1.4","","1",""
"3539","3_0","3_0","0:3_0:0","","2","","spatial-span-recall","110","295967","1679413542311","0.0-8.0-1.1","","","2"
"1405","","","","","","","symmetry-judgement-task","113","300078","1679413546422","0.0-8.0-0.2-1.5","","1",""
"1614","","","","","","","symmetry-judgement-task","116","302907","1679413549251","0.0-8.0-0.2-1.6","","1",""
"3260","15_1","15_1","3:3_0:1","","2","","spatial-span-recall","118","306171","1679413552515","0.0-8.0-1.2","","","2"
"3443","","","","","","","symmetry-judgement-task","121","312457","1679413558801","0.0-8.0-0.3-1.7","","1",""
"1607","","","","","","","symmetry-judgement-task","124","315260","1679413561604","0.0-8.0-0.3-1.8","","1",""
"1394","","","","","","","symmetry-judgement-task","127","317875","1679413564219","0.0-8.0-0.3-1.9","","1",""
"3810","11_12_15","11_12_15","2:3_3:0_3:3","","3","","spatial-span-recall","129","321688","1679413568032","0.0-8.0-1.3","","","3"
"1810","","","","","","","symmetry-judgement-task","132","326476","1679413572820","0.0-8.0-0.4-1.10","","1",""
"1502","","","","","","","symmetry-judgement-task","135","329186","1679413575530","0.0-8.0-0.4-1.11","","1",""
"1747","","","","","","","symmetry-judgement-task","138","332148","1679413578492","0.0-8.0-0.4-1.12","","1",""
"3801","8_3_6","8_3_1","2:0_0:3_0:1","","3","","spatial-span-recall","140","335957","1679413582301","0.0-8.0-1.4","","","2"
"1581","","","","","","","symmetry-judgement-task","143","341293","1679413587637","0.0-8.0-0.5-1.13","","1",""
"1599","","","","","","","symmetry-judgement-task","146","344111","1679413590455","0.0-8.0-0.5-1.14","","1",""
"1595","","","","","","","symmetry-judgement-task","149","346930","1679413593274","0.0-8.0-0.5-1.15","","1",""
"1702","","","","","","","symmetry-judgement-task","152","349833","1679413596177","0.0-8.0-0.5-1.16","","1",""
"6785","11_0_15_6","11_0_15_6","2:3_0:0_3:3_1:2","","4","","spatial-span-recall","154","356623","1679413602967","0.0-8.0-1.5","","","4"
"1527","","","","","","","symmetry-judgement-task","157","362329","1679413608673","0.0-8.0-0.6-1.17","","1",""
"1527","","","","","","","symmetry-judgement-task","160","365083","1679413611427","0.0-8.0-0.6-1.18","","1",""
"1529","","","","","","","symmetry-judgement-task","163","367817","1679413614161","0.0-8.0-0.6-1.19","","1",""
"1843","","","","","","","symmetry-judgement-task","166","370863","1679413617207","0.0-8.0-0.6-1.20","","1",""
"2594","","","","","","","symmetry-judgement-task","169","374657","1679413621001","0.0-8.0-0.6-1.21","","1",""
"7533","10_6_15_7_3","14_3_6_15_7","3:2_0:3_1:2_3:3_1:3","","5","","spatial-span-recall","171","382197","1679413628541","0.0-8.0-1.6","","","0"
"2344","","","","","","","symmetry-judgement-task","174","389042","1679413635386","0.0-8.0-0.7-1.22","","1",""
"2886","","","","","","","symmetry-judgement-task","177","393151","1679413639495","0.0-8.0-0.7-1.23","","1",""
"2857","","","","","","","symmetry-judgement-task","180","397249","1679413643593","0.0-8.0-0.7-1.24","","1",""
"1837","","","","","","","symmetry-judgement-task","183","400301","1679413646645","0.0-8.0-0.7-1.25","","1",""
"4568","11_10_9_2","11_10_8_2","2:3_2:2_2:0_0:2","","4","","spatial-span-recall","185","404873","1679413651217","0.0-8.0-1.7","","","3"
"2100","","","","","","","symmetry-judgement-task","188","412641","1679413658985","0.0-8.0-0.8-1.26","","1",""
"1509","","","","","","","symmetry-judgement-task","191","415388","1679413661732","0.0-8.0-0.8-1.27","","1",""
"2858","5_14","5_14","1:1_3:2","","2","","spatial-span-recall","193","418254","1679413664598","0.0-8.0-1.8","","","2"
"2398","","","","","","","symmetry-judgement-task","196","424327","1679413670671","0.0-8.0-0.9-1.28","","1",""
