"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"3645","4_2_7","4_2_11","1:0_0:2_2:3","2","3","6szydkZGdWCIi29","Safari version 605.1.15","spatial-span-recall-demo","8","51427","1681329387448","0.0-2.0-1.0","","",""
"4567","0_14_12_1","0_14_12_1","0:0_3:2_3:0_0:1","4","4","","","spatial-span-recall-demo","18","61644","1681329397665","0.0-2.0-1.1","","",""
"3275","13_15_5_11","13_15_5_11","3:1_3:3_1:1_2:3","4","4","","","spatial-span-recall-demo","28","70069","1681329406090","0.0-2.0-1.2","","",""
"2102","","","","","","","","symmetry-judgement-task-demo","31","83605","1681329419626","0.0-4.0-0.0","1","",""
"1134","","","","","","","","symmetry-judgement-task-demo","33","85853","1681329421874","0.0-4.0-0.1","1","",""
"924","","","","","","","","symmetry-judgement-task-demo","35","87897","1681329423918","0.0-4.0-0.2","1","",""
"2034","","","","","","","","symmetry-judgement-task-demo","37","91044","1681329427065","0.0-4.0-0.3","1","",""
"1329","","","","","","","","symmetry-judgement-task-demo","39","93485","1681329429506","0.0-4.0-0.4","1","",""
"2536","","","","","","","","symmetry-judgement-task-demo","43","101085","1681329437106","0.0-6.0-0.0-1.0","1","",""
"1781","","","","","","","","symmetry-judgement-task-demo","46","103995","1681329440016","0.0-6.0-0.0-1.1","1","",""
"2073","8","5_8","1:1_2:0","0","2","","","spatial-span-recall-demo","48","106075","1681329442096","0.0-6.0-1.0","","",""
"1937","","","","","","","","symmetry-judgement-task-demo","51","113225","1681329449246","0.0-6.0-0.1-1.2","1","",""
"1207","","","","","","","","symmetry-judgement-task-demo","54","115550","1681329451571","0.0-6.0-0.1-1.3","1","",""
"2140","","","","","","","","symmetry-judgement-task-demo","57","118809","1681329454830","0.0-6.0-0.1-1.4","1","",""
"6886","7_15_11","7_15_11","1:3_3:3_2:3","3","3","","","spatial-span-recall-demo","59","125702","1681329461723","0.0-6.0-1.1","","",""
"1496","","","","","","","","symmetry-judgement-task-demo","62","130478","1681329466499","0.0-6.0-0.2-1.5","1","",""
"1113","","","","","","","","symmetry-judgement-task-demo","65","132714","1681329468735","0.0-6.0-0.2-1.6","1","",""
"1018","","","","","","","","symmetry-judgement-task-demo","68","134852","1681329470873","0.0-6.0-0.2-1.7","1","",""
