"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"1855","0_2_6","0_2_6","0:0_0:2_1:2","3","3","7At7zYqE7N2zTq3","spatial-span-recall-demo","8","54601","1679012941074","0.0-2.0-1.0","","",""
"1726","3_5_2_8","3_5_2_8","0:3_1:1_0:2_2:0","4","4","","spatial-span-recall-demo","18","61381","1679012947854","0.0-2.0-1.1","","",""
"2524","8_7_0_12","8_7_0_12","2:0_1:3_0:0_3:0","4","4","","spatial-span-recall-demo","28","68788","1679012955261","0.0-2.0-1.2","","",""
"2541","","","","","","","symmetry-judgement-task-demo","31","79786","1679012966259","0.0-4.0-0.0","1","",""
"1362","","","","","","","symmetry-judgement-task-demo","33","82326","1679012968799","0.0-4.0-0.1","1","",""
"1429","","","","","","","symmetry-judgement-task-demo","35","84930","1679012971403","0.0-4.0-0.2","1","",""
"1235","","","","","","","symmetry-judgement-task-demo","37","87332","1679012973805","0.0-4.0-0.3","1","",""
"1262","","","","","","","symmetry-judgement-task-demo","39","89789","1679012976262","0.0-4.0-0.4","1","",""
"1420","","","","","","","symmetry-judgement-task-demo","43","115810","1679013002283","0.0-6.0-0.0-1.0","1","",""
"957","","","","","","","symmetry-judgement-task-demo","46","117946","1679013004419","0.0-6.0-0.0-1.1","1","",""
"2319","6_10","6_10","1:2_2:2","2","2","","spatial-span-recall-demo","48","120273","1679013006746","0.0-6.0-1.0","","",""
"1288","","","","","","","symmetry-judgement-task-demo","51","136029","1679013022502","0.0-6.0-0.1-1.2","1","",""
"953","","","","","","","symmetry-judgement-task-demo","54","138159","1679013024632","0.0-6.0-0.1-1.3","1","",""
"750","","","","","","","symmetry-judgement-task-demo","57","140071","1679013026544","0.0-6.0-0.1-1.4","1","",""
"2975","4_11_13","4_11_13","1:0_2:3_3:1","3","3","","spatial-span-recall-demo","59","143053","1679013029526","0.0-6.0-1.1","","",""
"965","","","","","","","symmetry-judgement-task-demo","62","147897","1679013034370","0.0-6.0-0.2-1.5","1","",""
"866","","","","","","","symmetry-judgement-task-demo","65","149942","1679013036415","0.0-6.0-0.2-1.6","1","",""
"724","","","","","","","symmetry-judgement-task-demo","68","151840","1679013038313","0.0-6.0-0.2-1.7","1","",""
"899","","","","","","","symmetry-judgement-task-demo","71","153915","1679013040388","0.0-6.0-0.2-1.8","1","",""
"5125","6_15_3_1","6_15_3_1","1:2_3:3_0:3_0:1","4","4","","spatial-span-recall-demo","73","159050","1679013045523","0.0-6.0-1.2","","",""
"989","","","","","","","symmetry-judgement-task-demo","76","161928","1679013048401","0.0-6.0-0.3-1.9","1","",""
"941","","","","","","","symmetry-judgement-task-demo","79","164030","1679013050503","0.0-6.0-0.3-1.10","1","",""
"743","","","","","","","symmetry-judgement-task-demo","82","165947","1679013052420","0.0-6.0-0.3-1.11","1","",""
"928","","","","","","","symmetry-judgement-task-demo","85","168048","1679013054521","0.0-6.0-0.3-1.12","1","",""
"2086","","","","","","","symmetry-judgement-task-demo","88","171317","1679013057790","0.0-6.0-0.3-1.13","1","",""
"2838","13_11_8_6_0","13_11_4_6_0","3:1_2:3_1:0_1:2_0:0","4","5","","spatial-span-recall-demo","90","174166","1679013060639","0.0-6.0-1.3","","",""
"993","","","","","","","symmetry-judgement-task","94","181306","1679013067779","0.0-8.0-0.0-1.0","","1",""
"763","","","","","","","symmetry-judgement-task","97","183292","1679013069765","0.0-8.0-0.0-1.1","","1",""
"864","","","","","","","symmetry-judgement-task","100","185341","1679013071814","0.0-8.0-0.0-1.2","","1",""
"1867","3_11_2","3_11_2","0:3_2:3_0:2","","3","","spatial-span-recall","102","187217","1679013073690","0.0-8.0-1.0","","","3"
"1069","","","","","","","symmetry-judgement-task","105","190106","1679013076579","0.0-8.0-0.1-1.3","","1",""
"1050","","","","","","","symmetry-judgement-task","108","192333","1679013078806","0.0-8.0-0.1-1.4","","1",""
"1783","0_7","0_7","0:0_1:3","","2","","spatial-span-recall","110","194125","1679013080598","0.0-8.0-1.1","","","2"
"1112","","","","","","","symmetry-judgement-task","113","197349","1679013083822","0.0-8.0-0.2-1.5","","1",""
"760","","","","","","","symmetry-judgement-task","116","199284","1679013085757","0.0-8.0-0.2-1.6","","1",""
"1413","15_5","15_5","3:3_1:1","","2","","spatial-span-recall","118","200707","1679013087180","0.0-8.0-1.2","","","2"
"930","","","","","","","symmetry-judgement-task","121","203497","1679013089970","0.0-8.0-0.3-1.7","","1",""
