"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4545","6_11_1","6_11_1","1:2_2:3_0:1","3","3","EgzjcmzC6BLoKRK","Firefox version 112.0","spatial-span-recall-demo","8","20822","1683148846882","0.0-2.0-1.0","","",""
"33462","15_14","13_10_0_15","3:1_2:2_0:0_3:3","0","4","","","spatial-span-recall-demo","18","59332","1683148885392","0.0-2.0-1.1","","",""
"7579","7_6_4_3_2","5_7_4_2","1:1_1:3_1:0_0:2","1","4","","","spatial-span-recall-demo","28","72128","1683148898188","0.0-2.0-1.2","","",""
"23670","","","","","","","","symmetry-judgement-task-demo","31","98126","1683148924186","0.0-4.0-0.0","1","",""
"4","","","","","","","","symmetry-judgement-task-demo","33","99189","1683148925249","0.0-4.0-0.1","0","",""
"617","","","","","","","","symmetry-judgement-task-demo","35","100870","1683148926930","0.0-4.0-0.2","1","",""
"997","","","","","","","","symmetry-judgement-task-demo","37","102924","1683148928984","0.0-4.0-0.3","0","",""
"1088","","","","","","","","symmetry-judgement-task-demo","39","105073","1683148931133","0.0-4.0-0.4","1","",""
"37660","","","","","","","","symmetry-judgement-task-demo","43","147361","1683148973421","0.0-6.0-0.0-1.0","1","",""
"50125","","","","","","","","symmetry-judgement-task-demo","46","198551","1683149024611","0.0-6.0-0.0-1.1","1","",""
"3154","14_15","10_8","2:2_2:0","0","2","","","spatial-span-recall-demo","48","201709","1683149027769","0.0-6.0-1.0","","",""
"49402","","","","","","","","symmetry-judgement-task-demo","51","253613","1683149079673","0.0-6.0-0.1-1.2","1","",""
"75","","","","","","","","symmetry-judgement-task-demo","54","254751","1683149080811","0.0-6.0-0.1-1.3","1","",""
"18","","","","","","","","symmetry-judgement-task-demo","57","255831","1683149081891","0.0-6.0-0.1-1.4","0","",""
"3129","14_15","14_1_0","3:2_0:1_0:0","1","3","","","spatial-span-recall-demo","59","258962","1683149085022","0.0-6.0-1.1","","",""
"2169","","","","","","","","symmetry-judgement-task-demo","62","263335","1683149089395","0.0-6.0-0.2-1.5","1","",""
"92","","","","","","","","symmetry-judgement-task-demo","65","264492","1683149090552","0.0-6.0-0.2-1.6","1","",""
"5","","","","","","","","symmetry-judgement-task-demo","68","265564","1683149091624","0.0-6.0-0.2-1.7","1","",""
"1490","","","","","","","","symmetry-judgement-task-demo","71","268119","1683149094179","0.0-6.0-0.2-1.8","1","",""
"4617","15_11_7_3","12_13_11_3","3:0_3:1_2:3_0:3","1","4","","","spatial-span-recall-demo","73","272739","1683149098799","0.0-6.0-1.2","","",""
"1071","","","","","","","","symmetry-judgement-task-demo","76","275780","1683149101840","0.0-6.0-0.3-1.9","0","",""
"121","","","","","","","","symmetry-judgement-task-demo","79","276963","1683149103023","0.0-6.0-0.3-1.10","0","",""
"28","","","","","","","","symmetry-judgement-task-demo","82","278050","1683149104110","0.0-6.0-0.3-1.11","1","",""
"585","","","","","","","","symmetry-judgement-task-demo","85","279695","1683149105755","0.0-6.0-0.3-1.12","1","",""
"1248","","","","","","","","symmetry-judgement-task-demo","88","282006","1683149108066","0.0-6.0-0.3-1.13","1","",""
"5303","10_7_15_12_13","9_6_3_10_12","2:1_1:2_0:3_2:2_3:0","0","5","","","spatial-span-recall-demo","90","287313","1683149113373","0.0-6.0-1.3","","",""
"4413","","","","","","","","symmetry-judgement-task","94","295485","1683149121545","0.0-8.0-0.0-1.0","","1",""
"78","","","","","","","","symmetry-judgement-task","97","296625","1683149122685","0.0-8.0-0.0-1.1","","0",""
"139","","","","","","","","symmetry-judgement-task","100","297826","1683149123886","0.0-8.0-0.0-1.2","","1",""
"2629","14_15_11","6_7_12","1:2_1:3_3:0","","3","","","spatial-span-recall","102","300459","1683149126519","0.0-8.0-1.0","","","0"
"1154","","","","","","","","symmetry-judgement-task","105","304597","1683149130657","0.0-8.0-0.1-1.3","","0",""
"664","","","","","","","","symmetry-judgement-task","108","306321","1683149132381","0.0-8.0-0.1-1.4","","1",""
"3304","14_15","8_13","2:0_3:1","","2","","","spatial-span-recall","110","309630","1683149135690","0.0-8.0-1.1","","","0"
"null","","","","","","","","symmetry-judgement-task","113","317936","1683149143996","0.0-8.0-0.2-1.5","","",""
