"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"2363","1_9_15","1_9_15","0:1_2:1_3:3","3","3","KwGKfa7fb97T2Vl","spatial-span-recall-demo","8","46926","1679013697114","0.0-2.0-1.0","","",""
"1895","10_3_11_13","10_3_11_13","2:2_0:3_2:3_3:1","4","4","","spatial-span-recall-demo","18","53887","1679013704075","0.0-2.0-1.1","","",""
"2029","8_11_12_6","8_11_12_6","2:0_2:3_3:0_1:2","4","4","","spatial-span-recall-demo","28","61066","1679013711254","0.0-2.0-1.2","","",""
"1820","","","","","","","symmetry-judgement-task-demo","31","77063","1679013727251","0.0-4.0-0.0","1","",""
"1108","","","","","","","symmetry-judgement-task-demo","33","79342","1679013729530","0.0-4.0-0.1","1","",""
"956","","","","","","","symmetry-judgement-task-demo","35","81490","1679013731678","0.0-4.0-0.2","1","",""
"1536","","","","","","","symmetry-judgement-task-demo","37","84190","1679013734378","0.0-4.0-0.3","1","",""
"1317","","","","","","","symmetry-judgement-task-demo","39","86696","1679013736884","0.0-4.0-0.4","1","",""
"1363","","","","","","","symmetry-judgement-task-demo","43","106993","1679013757181","0.0-6.0-0.0-1.0","1","",""
"825","","","","","","","symmetry-judgement-task-demo","46","108985","1679013759173","0.0-6.0-0.0-1.1","1","",""
"1747","9_4","9_4","2:1_1:0","2","2","","spatial-span-recall-demo","48","110745","1679013760933","0.0-6.0-1.0","","",""
"1516","","","","","","","symmetry-judgement-task-demo","51","114316","1679013764504","0.0-6.0-0.1-1.2","1","",""
"825","","","","","","","symmetry-judgement-task-demo","54","116326","1679013766514","0.0-6.0-0.1-1.3","1","",""
"1498","","","","","","","symmetry-judgement-task-demo","57","118996","1679013769184","0.0-6.0-0.1-1.4","1","",""
"1708","14_11_8","14_11_8","3:2_2:3_2:0","3","3","","spatial-span-recall-demo","59","120715","1679013770903","0.0-6.0-1.1","","",""
"1101","","","","","","","symmetry-judgement-task-demo","62","123730","1679013773918","0.0-6.0-0.2-1.5","1","",""
"937","","","","","","","symmetry-judgement-task-demo","65","125845","1679013776033","0.0-6.0-0.2-1.6","1","",""
"1017","","","","","","","symmetry-judgement-task-demo","68","128070","1679013778258","0.0-6.0-0.2-1.7","1","",""
"1059","","","","","","","symmetry-judgement-task-demo","71","130320","1679013780508","0.0-6.0-0.2-1.8","1","",""
"1996","6_1_9_5","6_1_9_5","1:2_0:1_2:1_1:1","4","4","","spatial-span-recall-demo","73","132325","1679013782513","0.0-6.0-1.2","","",""
"1042","","","","","","","symmetry-judgement-task-demo","76","135673","1679013785861","0.0-6.0-0.3-1.9","1","",""
"756","","","","","","","symmetry-judgement-task-demo","79","137624","1679013787812","0.0-6.0-0.3-1.10","1","",""
"1079","","","","","","","symmetry-judgement-task-demo","82","139884","1679013790072","0.0-6.0-0.3-1.11","1","",""
"921","","","","","","","symmetry-judgement-task-demo","85","141987","1679013792175","0.0-6.0-0.3-1.12","1","",""
"968","","","","","","","symmetry-judgement-task-demo","88","144122","1679013794310","0.0-6.0-0.3-1.13","1","",""
"2524","15_8_14_3_12","15_8_14_3_12","3:3_2:0_3:2_0:3_3:0","5","5","","spatial-span-recall-demo","90","146654","1679013796842","0.0-6.0-1.3","","",""
"863","","","","","","","symmetry-judgement-task","94","153515","1679013803703","0.0-8.0-0.0-1.0","","1",""
"790","","","","","","","symmetry-judgement-task","97","155499","1679013805687","0.0-8.0-0.0-1.1","","1",""
"896","","","","","","","symmetry-judgement-task","100","157579","1679013807767","0.0-8.0-0.0-1.2","","1",""
"1857","6_2_13","6_2_13","1:2_0:2_3:1","","3","","spatial-span-recall","102","159445","1679013809633","0.0-8.0-1.0","","","3"
"913","","","","","","","symmetry-judgement-task","105","162429","1679013812617","0.0-8.0-0.1-1.3","","1",""
"881","","","","","","","symmetry-judgement-task","108","164508","1679013814696","0.0-8.0-0.1-1.4","","1",""
"1368","6_10","6_10","1:2_2:2","","2","","spatial-span-recall","110","165883","1679013816071","0.0-8.0-1.1","","","2"
"864","","","","","","","symmetry-judgement-task","113","168994","1679013819181","0.0-8.0-0.2-1.5","","1",""
"857","","","","","","","symmetry-judgement-task","116","171036","1679013821224","0.0-8.0-0.2-1.6","","1",""
"1641","12_8","12_8","3:0_2:0","","2","","spatial-span-recall","118","172687","1679013822875","0.0-8.0-1.2","","","2"
"1074","","","","","","","symmetry-judgement-task","121","176179","1679013826367","0.0-8.0-0.3-1.7","","1",""
"849","","","","","","","symmetry-judgement-task","124","178209","1679013828397","0.0-8.0-0.3-1.8","","1",""
"651","","","","","","","symmetry-judgement-task","127","180036","1679013830224","0.0-8.0-0.3-1.9","","1",""
"1902","8_6_9","8_6_9","2:0_1:2_2:1","","3","","spatial-span-recall","129","181949","1679013832137","0.0-8.0-1.3","","","3"
"847","","","","","","","symmetry-judgement-task","132","184740","1679013834928","0.0-8.0-0.4-1.10","","1",""
"810","","","","","","","symmetry-judgement-task","135","186731","1679013836919","0.0-8.0-0.4-1.11","","1",""
"953","","","","","","","symmetry-judgement-task","138","188863","1679013839051","0.0-8.0-0.4-1.12","","1",""
"1705","6_5_7","6_5_7","1:2_1:1_1:3","","3","","spatial-span-recall","140","190578","1679013840766","0.0-8.0-1.4","","","3"
"2526","","","","","","","symmetry-judgement-task","143","195990","1679013846178","0.0-8.0-0.5-1.13","","1",""
"879","","","","","","","symmetry-judgement-task","146","198091","1679013848279","0.0-8.0-0.5-1.14","","1",""
"1154","","","","","","","symmetry-judgement-task","149","200594","1679013850782","0.0-8.0-0.5-1.15","","1",""
