"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"2166","13_9_7","13_9_7","3:1_2:1_1:3","3","3","NNVpGeGfmvLdKEo","Firefox version 111.0","spatial-span-recall-demo","8","14313","1681330669600","0.0-2.0-1.0","","",""
"4691","11_15_3_9","11_15_3_9","2:3_3:3_0:3_2:1","4","4","","","spatial-span-recall-demo","18","23632","1681330678919","0.0-2.0-1.1","","",""
"2088","10_12_9_8","10_12_9_8","2:2_3:0_2:1_2:0","4","4","","","spatial-span-recall-demo","28","30359","1681330685646","0.0-2.0-1.2","","",""
"708","","","","","","","","symmetry-judgement-task-demo","31","32354","1681330687641","0.0-4.0-0.0","1","",""
"1044","","","","","","","","symmetry-judgement-task-demo","33","34463","1681330689750","0.0-4.0-0.1","1","",""
"761","","","","","","","","symmetry-judgement-task-demo","35","36289","1681330691576","0.0-4.0-0.2","1","",""
"606","","","","","","","","symmetry-judgement-task-demo","37","37958","1681330693245","0.0-4.0-0.3","1","",""
"695","","","","","","","","symmetry-judgement-task-demo","39","39711","1681330694998","0.0-4.0-0.4","1","",""
"null","","","","","","","","symmetry-judgement-task-demo","43","55124","1681330710411","0.0-6.0-0.0-1.0","","",""
"982","","","","","","","","symmetry-judgement-task-demo","46","57176","1681330712463","0.0-6.0-0.0-1.1","1","",""
"2000","5_1","4_1","1:0_0:1","1","2","","","spatial-span-recall-demo","48","59180","1681330714467","0.0-6.0-1.0","","",""
"992","","","","","","","","symmetry-judgement-task-demo","51","61704","1681330716991","0.0-6.0-0.1-1.2","1","",""
"575","","","","","","","","symmetry-judgement-task-demo","54","63344","1681330718631","0.0-6.0-0.1-1.3","1","",""
"753","","","","","","","","symmetry-judgement-task-demo","57","65158","1681330720445","0.0-6.0-0.1-1.4","1","",""
"1983","3_1_0","3_1_0","0:3_0:1_0:0","3","3","","","spatial-span-recall-demo","59","67144","1681330722431","0.0-6.0-1.1","","",""
"null","","","","","","","","symmetry-judgement-task-demo","62","74651","1681330729938","0.0-6.0-0.2-1.5","","",""
"1018","","","","","","","","symmetry-judgement-task-demo","65","76737","1681330732024","0.0-6.0-0.2-1.6","1","",""
"1177","","","","","","","","symmetry-judgement-task-demo","68","78982","1681330734269","0.0-6.0-0.2-1.7","1","",""
"916","","","","","","","","symmetry-judgement-task-demo","71","80967","1681330736254","0.0-6.0-0.2-1.8","1","",""
"2523","3_5_12_11","8_12_5_11","2:0_3:0_1:1_2:3","1","4","","","spatial-span-recall-demo","73","83495","1681330738782","0.0-6.0-1.2","","",""
"750","","","","","","","","symmetry-judgement-task-demo","76","85871","1681330741158","0.0-6.0-0.3-1.9","1","",""
"1048","","","","","","","","symmetry-judgement-task-demo","79","87983","1681330743270","0.0-6.0-0.3-1.10","1","",""
"627","","","","","","","","symmetry-judgement-task-demo","82","89672","1681330744959","0.0-6.0-0.3-1.11","1","",""
"938","","","","","","","","symmetry-judgement-task-demo","85","91672","1681330746959","0.0-6.0-0.3-1.12","1","",""
"836","","","","","","","","symmetry-judgement-task-demo","88","93575","1681330748862","0.0-6.0-0.3-1.13","1","",""
"2204","10_9_3_13_12","10_9_3_6_12","2:2_2:1_0:3_1:2_3:0","4","5","","","spatial-span-recall-demo","90","95783","1681330751070","0.0-6.0-1.3","","",""
"680","","","","","","","","symmetry-judgement-task","94","102473","1681330757760","0.0-8.0-0.0-1.0","","1",""
"805","","","","","","","","symmetry-judgement-task","97","104342","1681330759629","0.0-8.0-0.0-1.1","","1",""
