"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4240","14_13_1","14_13_1","3:2_3:1_0:1","3","3","OlIvZLXrsaYag8U","Safari version 604.1","spatial-span-recall-demo","8","85086","1681358589578","0.0-2.0-1.0","","",""
"8956","11_9_5_8_7","11_5_8_7","2:3_1:1_2:0_1:3","1","4","","","spatial-span-recall-demo","18","100405","1681358604897","0.0-2.0-1.1","","",""
"4988","8_6_15_10","8_6_15_9","2:0_1:2_3:3_2:1","3","4","","","spatial-span-recall-demo","28","111519","1681358616011","0.0-2.0-1.2","","",""
"4054","","","","","","","","symmetry-judgement-task-demo","31","129153","1681358633645","0.0-4.0-0.0","1","",""
"3059","","","","","","","","symmetry-judgement-task-demo","33","133358","1681358637850","0.0-4.0-0.1","1","",""
"5169","","","","","","","","symmetry-judgement-task-demo","35","139776","1681358644268","0.0-4.0-0.2","1","",""
"2428","","","","","","","","symmetry-judgement-task-demo","37","143464","1681358647956","0.0-4.0-0.3","1","",""
"null","","","","","","","","symmetry-judgement-task-demo","39","150838","1681358655330","0.0-4.0-0.4","","",""
"null","","","","","","","","symmetry-judgement-task-demo","43","181541","1681358686033","0.0-6.0-0.0-1.0","","",""
"3784","","","","","","","","symmetry-judgement-task-demo","46","186694","1681358691186","0.0-6.0-0.0-1.1","1","",""
"4586","13","7_13","1:3_3:1","0","2","","","spatial-span-recall-demo","48","191286","1681358695778","0.0-6.0-1.0","","",""
"2012","","","","","","","","symmetry-judgement-task-demo","51","201357","1681358705849","0.0-6.0-0.1-1.2","0","",""
"2324","","","","","","","","symmetry-judgement-task-demo","54","204934","1681358709426","0.0-6.0-0.1-1.3","1","",""
"4827","","","","","","","","symmetry-judgement-task-demo","57","211121","1681358715613","0.0-6.0-0.1-1.4","1","",""
"3337","5","1_2_12","0:1_0:2_3:0","0","3","","","spatial-span-recall-demo","59","214463","1681358718955","0.0-6.0-1.1","","",""
"1486","","","","","","","","symmetry-judgement-task-demo","62","221558","1681358726050","0.0-6.0-0.2-1.5","1","",""
"2383","","","","","","","","symmetry-judgement-task-demo","65","225186","1681358729678","0.0-6.0-0.2-1.6","1","",""
"2785","","","","","","","","symmetry-judgement-task-demo","68","229329","1681358733821","0.0-6.0-0.2-1.7","1","",""
"2401","","","","","","","","symmetry-judgement-task-demo","71","233096","1681358737588","0.0-6.0-0.2-1.8","1","",""
"2734","0","0_6_13_8","0:0_1:2_3:1_2:0","1","4","","","spatial-span-recall-demo","73","235835","1681358740327","0.0-6.0-1.2","","",""
"1941","","","","","","","","symmetry-judgement-task-demo","76","246405","1681358750897","0.0-6.0-0.3-1.9","1","",""
"3729","","","","","","","","symmetry-judgement-task-demo","79","251381","1681358755873","0.0-6.0-0.3-1.10","1","",""
"3401","","","","","","","","symmetry-judgement-task-demo","82","256122","1681358760614","0.0-6.0-0.3-1.11","1","",""
"3954","","","","","","","","symmetry-judgement-task-demo","85","261335","1681358765827","0.0-6.0-0.3-1.12","1","",""
"2494","","","","","","","","symmetry-judgement-task-demo","88","265078","1681358769570","0.0-6.0-0.3-1.13","1","",""
"14172","","8_5_12_0_2","2:0_1:1_3:0_0:0_0:2","0","5","","","spatial-span-recall-demo","90","279258","1681358783750","0.0-6.0-1.3","","",""
"2737","","","","","","","","symmetry-judgement-task","94","294637","1681358799129","0.0-8.0-0.0-1.0","","1",""
"1714","","","","","","","","symmetry-judgement-task","97","297699","1681358802191","0.0-8.0-0.0-1.1","","1",""
"1517","","","","","","","","symmetry-judgement-task","100","300466","1681358804958","0.0-8.0-0.0-1.2","","1",""
"2979","","4_6_1","1:0_1:2_0:1","","3","","","spatial-span-recall","102","303450","1681358807942","0.0-8.0-1.0","","","0"
"null","","","","","","","","symmetry-judgement-task","105","312166","1681358816658","0.0-8.0-0.1-1.3","","",""
"2904","","","","","","","","symmetry-judgement-task","108","316342","1681358820834","0.0-8.0-0.1-1.4","","1",""
"3375","","5_3","1:1_0:3","","2","","","spatial-span-recall","110","319725","1681358824217","0.0-8.0-1.1","","","0"
"1887","","","","","","","","symmetry-judgement-task","113","324421","1681358828913","0.0-8.0-0.2-1.5","","1",""
"2125","","","","","","","","symmetry-judgement-task","116","327805","1681358832297","0.0-8.0-0.2-1.6","","1",""
"3585","15_10","15_10","3:3_2:2","","2","","","spatial-span-recall","118","331396","1681358835888","0.0-8.0-1.2","","","2"
"1953","","","","","","","","symmetry-judgement-task","121","336172","1681358840664","0.0-8.0-0.3-1.7","","1",""
"2986","","","","","","","","symmetry-judgement-task","124","340700","1681358845192","0.0-8.0-0.3-1.8","","0",""
"null","","","","","","","","symmetry-judgement-task","127","348278","1681358852770","0.0-8.0-0.3-1.9","","",""
"8613","15_7_6","2_11_7","0:2_2:3_1:3","","3","","","spatial-span-recall","129","356900","1681358861392","0.0-8.0-1.3","","","0"
"1883","","","","","","","","symmetry-judgement-task","132","361752","1681358866244","0.0-8.0-0.4-1.10","","1",""
"1931","","","","","","","","symmetry-judgement-task","135","364927","1681358869419","0.0-8.0-0.4-1.11","","1",""
"1928","","","","","","","","symmetry-judgement-task","138","368211","1681358872703","0.0-8.0-0.4-1.12","","1",""
"10725","0_5_13","0_5_13","0:0_1:1_3:1","","3","","","spatial-span-recall","140","378942","1681358883434","0.0-8.0-1.4","","","3"
"1953","","","","","","","","symmetry-judgement-task","143","383626","1681358888118","0.0-8.0-0.5-1.13","","1",""
"1830","","","","","","","","symmetry-judgement-task","146","386690","1681358891182","0.0-8.0-0.5-1.14","","1",""
"1660","","","","","","","","symmetry-judgement-task","149","389696","1681358894188","0.0-8.0-0.5-1.15","","1",""
"2576","","","","","","","","symmetry-judgement-task","152","393768","1681358898260","0.0-8.0-0.5-1.16","","1",""
"9109","0_5_14_11","5_10_11_9","1:1_2:2_2:3_2:1","","4","","","spatial-span-recall","154","402891","1681358907383","0.0-8.0-1.5","","","0"
"2244","","","","","","","","symmetry-judgement-task","157","408687","1681358913179","0.0-8.0-0.6-1.17","","1",""
"2519","","","","","","","","symmetry-judgement-task","160","412453","1681358916945","0.0-8.0-0.6-1.18","","1",""
"1717","","","","","","","","symmetry-judgement-task","163","415532","1681358920024","0.0-8.0-0.6-1.19","","1",""
"1605","","","","","","","","symmetry-judgement-task","166","418654","1681358923146","0.0-8.0-0.6-1.20","","1",""
"1669","","","","","","","","symmetry-judgement-task","169","421891","1681358926383","0.0-8.0-0.6-1.21","","1",""
"6332","14_10_7_12","14_10_7_12_0","3:2_2:2_1:3_3:0_0:0","","5","","","spatial-span-recall","171","428239","1681358932731","0.0-8.0-1.6","","","4"
"2018","","","","","","","","symmetry-judgement-task","174","433685","1681358938177","0.0-8.0-0.7-1.22","","1",""
"1768","","","","","","","","symmetry-judgement-task","177","436729","1681358941221","0.0-8.0-0.7-1.23","","1",""
"1518","","","","","","","","symmetry-judgement-task","180","439405","1681358943897","0.0-8.0-0.7-1.24","","1",""
"2088","","","","","","","","symmetry-judgement-task","183","442739","1681358947231","0.0-8.0-0.7-1.25","","1",""
"1693","","9_14_3_6","2:1_3:2_0:3_1:2","","4","","","spatial-span-recall","185","444439","1681358948931","0.0-8.0-1.7","","","0"
"2081","","","","","","","","symmetry-judgement-task","188","449327","1681358953818","0.0-8.0-0.8-1.26","","1",""
"1884","","","","","","","","symmetry-judgement-task","191","452452","1681358956944","0.0-8.0-0.8-1.27","","1",""
"7427","13_8_15","9_1","2:1_0:1","","2","","","spatial-span-recall","193","459886","1681358964378","0.0-8.0-1.8","","","0"
"1618","","","","","","","","symmetry-judgement-task","196","467444","1681358971936","0.0-8.0-0.9-1.28","","1",""
"2197","","","","","","","","symmetry-judgement-task","199","471097","1681358975589","0.0-8.0-0.9-1.29","","1",""
"1907","","","","","","","","symmetry-judgement-task","202","474462","1681358978954","0.0-8.0-0.9-1.30","","1",""
"2603","","","","","","","","symmetry-judgement-task","205","478545","1681358983037","0.0-8.0-0.9-1.31","","1",""
"null","","","","","","","","symmetry-judgement-task","208","485733","1681358990225","0.0-8.0-0.9-1.32","","",""
"15810","2_6_8","2_4_6_9_8","0:2_1:0_1:2_2:1_2:0","","5","","","spatial-span-recall","210","501558","1681359006049","0.0-8.0-1.9","","","1"
"2405","","","","","","","","symmetry-judgement-task","213","506501","1681359010993","0.0-8.0-0.10-1.33","","1",""
"2046","","","","","","","","symmetry-judgement-task","216","509817","1681359014309","0.0-8.0-0.10-1.34","","1",""
"2066","","","","","","","","symmetry-judgement-task","219","513156","1681359017648","0.0-8.0-0.10-1.35","","1",""
"1372","","","","","","","","symmetry-judgement-task","222","515829","1681359020321","0.0-8.0-0.10-1.36","","0",""
"4713","","9_4_0_1","2:1_1:0_0:0_0:1","","4","","","spatial-span-recall","224","520548","1681359025040","0.0-8.0-1.10","","","0"
"1990","","","","","","","","symmetry-judgement-task","227","525309","1681359029801","0.0-8.0-0.11-1.37","","1",""
"2167","","","","","","","","symmetry-judgement-task","230","528720","1681359033212","0.0-8.0-0.11-1.38","","1",""
"2998","","","","","","","","symmetry-judgement-task","233","533079","1681359037571","0.0-8.0-0.11-1.39","","1",""
"3493","","","","","","","","symmetry-judgement-task","236","538040","1681359042532","0.0-8.0-0.11-1.40","","0",""
"2609","","","","","","","","symmetry-judgement-task","239","542082","1681359046574","0.0-8.0-0.11-1.41","","1",""
"3192","","13_5_14_3_8","3:1_1:1_3:2_0:3_2:0","","5","","","spatial-span-recall","241","545279","1681359049771","0.0-8.0-1.11","","","0"
