"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"3131","1_7_6","1_7_6","0:1_1:3_1:2","3","3","Qp9jOZhJfHjANYE","Firefox version 112.0","spatial-span-recall-demo","8","25903","1682707968633","0.0-2.0-1.0","","",""
"3110","10_12_6_13","10_12_6_13","2:2_3:0_1:2_3:1","4","4","","","spatial-span-recall-demo","18","34689","1682707977419","0.0-2.0-1.1","","",""
"3148","1_15_9_3","1_15_9_3","0:1_3:3_2:1_0:3","4","4","","","spatial-span-recall-demo","28","43381","1682707986111","0.0-2.0-1.2","","",""
"13478","","","","","","","","symmetry-judgement-task-demo","31","61776","1682708004506","0.0-4.0-0.0","1","",""
"10520","","","","","","","","symmetry-judgement-task-demo","33","73416","1682708016146","0.0-4.0-0.1","1","",""
"1199","","","","","","","","symmetry-judgement-task-demo","35","75733","1682708018463","0.0-4.0-0.2","0","",""
"898","","","","","","","","symmetry-judgement-task-demo","37","77738","1682708020468","0.0-4.0-0.3","0","",""
"829","","","","","","","","symmetry-judgement-task-demo","39","79694","1682708022424","0.0-4.0-0.4","0","",""
"18745","","","","","","","","symmetry-judgement-task-demo","43","106030","1682708048759","0.0-6.0-0.0-1.0","1","",""
"2470","","","","","","","","symmetry-judgement-task-demo","46","109631","1682708052361","0.0-6.0-0.0-1.1","0","",""
"6403","10_2","15_2","3:3_0:2","1","2","","","spatial-span-recall-demo","48","116038","1682708058768","0.0-6.0-1.0","","",""
"1216","","","","","","","","symmetry-judgement-task-demo","51","120205","1682708062935","0.0-6.0-0.1-1.2","1","",""
"1149","","","","","","","","symmetry-judgement-task-demo","54","122466","1682708065196","0.0-6.0-0.1-1.3","1","",""
"1301","","","","","","","","symmetry-judgement-task-demo","57","124873","1682708067603","0.0-6.0-0.1-1.4","1","",""
"3032","0_8_14","0_8_14","0:0_2:0_3:2","3","3","","","spatial-span-recall-demo","59","127910","1682708070639","0.0-6.0-1.1","","",""
"1341","","","","","","","","symmetry-judgement-task-demo","62","132276","1682708075006","0.0-6.0-0.2-1.5","1","",""
"1963","","","","","","","","symmetry-judgement-task-demo","65","135338","1682708078068","0.0-6.0-0.2-1.6","1","",""
"2051","","","","","","","","symmetry-judgement-task-demo","68","138526","1682708081256","0.0-6.0-0.2-1.7","1","",""
"2754","","","","","","","","symmetry-judgement-task-demo","71","142404","1682708085134","0.0-6.0-0.2-1.8","1","",""
"8461","5_6_2_13","5_6_1_9","1:1_1:2_0:1_2:1","2","4","","","spatial-span-recall-demo","73","150875","1682708093605","0.0-6.0-1.2","","",""
"1427","","","","","","","","symmetry-judgement-task-demo","76","155245","1682708097975","0.0-6.0-0.3-1.9","1","",""
"1149","","","","","","","","symmetry-judgement-task-demo","79","157500","1682708100230","0.0-6.0-0.3-1.10","1","",""
"1196","","","","","","","","symmetry-judgement-task-demo","82","159831","1682708102561","0.0-6.0-0.3-1.11","1","",""
"1161","","","","","","","","symmetry-judgement-task-demo","85","162129","1682708104859","0.0-6.0-0.3-1.12","1","",""
"1609","","","","","","","","symmetry-judgement-task-demo","88","164877","1682708107607","0.0-6.0-0.3-1.13","1","",""
"3906","5_9_13_4_0","5_9_13_4_0","1:1_2:1_3:1_1:0_0:0","5","5","","","spatial-span-recall-demo","90","168788","1682708111518","0.0-6.0-1.3","","",""
"2098","","","","","","","","symmetry-judgement-task","94","190561","1682708133291","0.0-8.0-0.0-1.0","","1",""
"1070","","","","","","","","symmetry-judgement-task","97","192746","1682708135476","0.0-8.0-0.0-1.1","","1",""
"1512","","","","","","","","symmetry-judgement-task","100","195424","1682708138154","0.0-8.0-0.0-1.2","","1",""
"2771","15_5_12","15_5_12","3:3_1:1_3:0","","3","","","spatial-span-recall","102","198203","1682708140933","0.0-8.0-1.0","","","3"
"891","","","","","","","","symmetry-judgement-task","105","201464","1682708144194","0.0-8.0-0.1-1.3","","1",""
"1366","","","","","","","","symmetry-judgement-task","108","203954","1682708146684","0.0-8.0-0.1-1.4","","1",""
"3236","10_8","10_8","2:2_2:0","","2","","","spatial-span-recall","110","207196","1682708149926","0.0-8.0-1.1","","","2"
"1135","","","","","","","","symmetry-judgement-task","113","210576","1682708153306","0.0-8.0-0.2-1.5","","1",""
"1046","","","","","","","","symmetry-judgement-task","116","212746","1682708155476","0.0-8.0-0.2-1.6","","1",""
"2853","5_13","5_13","1:1_3:1","","2","","","spatial-span-recall","118","215603","1682708158333","0.0-8.0-1.2","","","2"
"1079","","","","","","","","symmetry-judgement-task","121","218807","1682708161537","0.0-8.0-0.3-1.7","","1",""
"1352","","","","","","","","symmetry-judgement-task","124","221279","1682708164009","0.0-8.0-0.3-1.8","","1",""
"null","","","","","","","","symmetry-judgement-task","127","228393","1682708171123","0.0-8.0-0.3-1.9","","",""
"5214","8_3","8_15_3","2:0_3:3_0:3","","3","","","spatial-span-recall","129","233620","1682708176350","0.0-8.0-1.3","","","1"
"null","","","","","","","","symmetry-judgement-task","132","242531","1682708185261","0.0-8.0-0.4-1.10","","",""
"752","","","","","","","","symmetry-judgement-task","135","244421","1682708187151","0.0-8.0-0.4-1.11","","1",""
"1109","","","","","","","","symmetry-judgement-task","138","246657","1682708189387","0.0-8.0-0.4-1.12","","1",""
"8053","3_6_2_5_1_7_4_0_8_9_10_11_15_14_13_12","4_3_12","1:0_0:3_3:0","","3","","","spatial-span-recall","140","254715","1682708197445","0.0-8.0-1.4","","","0"
"846","","","","","","","","symmetry-judgement-task","143","258171","1682708200901","0.0-8.0-0.5-1.13","","1",""
"401","","","","","","","","symmetry-judgement-task","146","259683","1682708202413","0.0-8.0-0.5-1.14","","1",""
"399","","","","","","","","symmetry-judgement-task","149","261211","1682708203941","0.0-8.0-0.5-1.15","","1",""
"529","","","","","","","","symmetry-judgement-task","152","262833","1682708205563","0.0-8.0-0.5-1.16","","0",""
"2398","15_14_10","12_11_13_1","3:0_2:3_3:1_0:1","","4","","","spatial-span-recall","154","265235","1682708207965","0.0-8.0-1.5","","","0"
"695","","","","","","","","symmetry-judgement-task","157","267978","1682708210708","0.0-8.0-0.6-1.17","","0",""
"483","","","","","","","","symmetry-judgement-task","160","269600","1682708212330","0.0-8.0-0.6-1.18","","0",""
"383","","","","","","","","symmetry-judgement-task","163","271106","1682708213836","0.0-8.0-0.6-1.19","","0",""
"415","","","","","","","","symmetry-judgement-task","166","272664","1682708215394","0.0-8.0-0.6-1.20","","1",""
"410","","","","","","","","symmetry-judgement-task","169","274184","1682708216914","0.0-8.0-0.6-1.21","","0",""
"1756","14_15","9_7_12_1_15","2:1_1:3_3:0_0:1_3:3","","5","","","spatial-span-recall","171","275944","1682708218674","0.0-8.0-1.6","","","0"
"1163","","","","","","","","symmetry-judgement-task","174","279454","1682708222184","0.0-8.0-0.7-1.22","","0",""
"441","","","","","","","","symmetry-judgement-task","177","281012","1682708223742","0.0-8.0-0.7-1.23","","0",""
"344","","","","","","","","symmetry-judgement-task","180","282484","1682708225214","0.0-8.0-0.7-1.24","","1",""
"391","","","","","","","","symmetry-judgement-task","183","283994","1682708226724","0.0-8.0-0.7-1.25","","0",""
"2182","13_9_10","6_13_2_12","1:2_3:1_0:2_3:0","","4","","","spatial-span-recall","185","286179","1682708228909","0.0-8.0-1.7","","","0"
"667","","","","","","","","symmetry-judgement-task","188","289280","1682708232010","0.0-8.0-0.8-1.26","","1",""
"365","","","","","","","","symmetry-judgement-task","191","290750","1682708233480","0.0-8.0-0.8-1.27","","1",""
"2423","13_9","13_15","3:1_3:3","","2","","","spatial-span-recall","193","293177","1682708235907","0.0-8.0-1.8","","","1"
"1194","","","","","","","","symmetry-judgement-task","196","296581","1682708239311","0.0-8.0-0.9-1.28","","1",""
"421","","","","","","","","symmetry-judgement-task","199","298119","1682708240849","0.0-8.0-0.9-1.29","","1",""
"365","","","","","","","","symmetry-judgement-task","202","299598","1682708242328","0.0-8.0-0.9-1.30","","1",""
"684","","","","","","","","symmetry-judgement-task","205","301407","1682708244137","0.0-8.0-0.9-1.31","","1",""
"413","","","","","","","","symmetry-judgement-task","208","302950","1682708245680","0.0-8.0-0.9-1.32","","0",""
"2368","13_10_14","12_0_13_7_8","3:0_0:0_3:1_1:3_2:0","","5","","","spatial-span-recall","210","305322","1682708248052","0.0-8.0-1.9","","","0"
"894","","","","","","","","symmetry-judgement-task","213","308316","1682708251046","0.0-8.0-0.10-1.33","","0",""
"423","","","","","","","","symmetry-judgement-task","216","309835","1682708252565","0.0-8.0-0.10-1.34","","0",""
"490","","","","","","","","symmetry-judgement-task","219","311438","1682708254168","0.0-8.0-0.10-1.35","","0",""
