"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"3700","12_4_10","12_4_10","3:0_1:0_2:2","3","3","SV9Qg48GzOkBraI","Firefox version 111.0","spatial-span-recall-demo","8","11664","1680631224318","0.0-2.0-1.0","","",""
"3952","8_15_10_7","8_15_10_7","2:0_3:3_2:2_1:3","4","4","","","spatial-span-recall-demo","18","20537","1680631233191","0.0-2.0-1.1","","",""
"4510","8_7_9_6","8_7_9_6","2:0_1:3_2:1_1:2","4","4","","","spatial-span-recall-demo","28","29966","1680631242620","0.0-2.0-1.2","","",""
"1188","","","","","","","","symmetry-judgement-task-demo","31","33481","1680631246135","0.0-4.0-0.0","1","",""
"1399","","","","","","","","symmetry-judgement-task-demo","33","35942","1680631248596","0.0-4.0-0.1","1","",""
"1025","","","","","","","","symmetry-judgement-task-demo","35","38026","1680631250680","0.0-4.0-0.2","1","",""
"1216","","","","","","","","symmetry-judgement-task-demo","37","40306","1680631252960","0.0-4.0-0.3","1","",""
"1116","","","","","","","","symmetry-judgement-task-demo","39","42484","1680631255138","0.0-4.0-0.4","1","",""
"1910","","","","","","","","symmetry-judgement-task-demo","43","49925","1680631262579","0.0-6.0-0.0-1.0","1","",""
"996","","","","","","","","symmetry-judgement-task-demo","46","51988","1680631264642","0.0-6.0-0.0-1.1","1","",""
"4096","4_11","4_11","1:0_2:3","2","2","","","spatial-span-recall-demo","48","56088","1680631268742","0.0-6.0-1.0","","",""
"1205","","","","","","","","symmetry-judgement-task-demo","51","59459","1680631272113","0.0-6.0-0.1-1.2","1","",""
"1099","","","","","","","","symmetry-judgement-task-demo","54","61615","1680631274269","0.0-6.0-0.1-1.3","1","",""
"1425","","","","","","","","symmetry-judgement-task-demo","57","64101","1680631276755","0.0-6.0-0.1-1.4","1","",""
