"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_fulldemo_accuracy","symm_accuracy","spatial_accuracy"
"6049","3_10_6","3_10_6","0:3_2:2_1:2","3","3","SlIIAmWB8cxnAVy","Safari version 604.1","spatial-span-recall-demo","8","67038","1684686181407","0.0-2.0-1.0","","","",""
"7525","7_8_14_3","7_8_14_3","1:3_2:0_3:2_0:3","4","4","","","spatial-span-recall-demo","18","81981","1684686196350","0.0-2.0-1.1","","","",""
"6546","3_6_0_13","3_6_0_13","0:3_1:2_0:0_3:1","4","4","","","spatial-span-recall-demo","28","96212","1684686210581","0.0-2.0-1.2","","","",""
"6215","","","","","","","","symmetry-judgement-task-demo","31","131687","1684686246056","0.0-4.0-0.0","1","","",""
"4116","","","","","","","","symmetry-judgement-task-demo","33","136897","1684686251266","0.0-4.0-0.1","1","","",""
"6918","","","","","","","","symmetry-judgement-task-demo","35","144906","1684686259275","0.0-4.0-0.2","1","","",""
"3535","","","","","","","","symmetry-judgement-task-demo","37","149480","1684686263849","0.0-4.0-0.3","1","","",""
"3078","","","","","","","","symmetry-judgement-task-demo","39","153650","1684686268019","0.0-4.0-0.4","1","","",""
"null","","","","","","","","symmetry-judgement-task-fulldemo","43","186494","1684686300863","0.0-6.0-0.0-1.0","","","",""
"null","","","","","","","","symmetry-judgement-task-fulldemo","46","193601","1684686307970","0.0-6.0-0.0-1.1","","","",""
"9540","","5_14","1:1_3:2","0","2","","","spatial-span-recall-demo","48","203156","1684686317525","0.0-6.0-1.0","","","",""
"null","","","","","","","","symmetry-judgement-task-fulldemo","51","220314","1684686334683","0.0-6.0-0.1-1.2","","","",""
"3489","","","","","","","","symmetry-judgement-task-fulldemo","54","224906","1684686339275","0.0-6.0-0.1-1.3","","1","",""
"3996","","","","","","","","symmetry-judgement-task-fulldemo","57","229995","1684686344364","0.0-6.0-0.1-1.4","","0","",""
"7995","15_3_9","15_7_9","3:3_1:3_2:1","2","3","","","spatial-span-recall-demo","59","237995","1684686352364","0.0-6.0-1.1","","","",""
