"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"2897","8_9_12","8_9_12","2:0_2:1_3:0","3","3","VBEt61SOjTjwLDn","Firefox version 112.0","spatial-span-recall-demo","8","114133","1682100053611","0.0-2.0-1.0","","",""
"5857","9_2_11_4","9_2_13_11","2:1_0:2_3:1_2:3","2","4","","","spatial-span-recall-demo","18","125779","1682100065257","0.0-2.0-1.1","","",""
"4555","2_1_3_7_11","2_1_3_7","0:2_0:1_0:3_1:3","4","4","","","spatial-span-recall-demo","28","136051","1682100075529","0.0-2.0-1.2","","",""
"null","","","","","","","","symmetry-judgement-task-demo","31","203736","1682100143214","0.0-4.0-0.0","","",""
"2874","","","","","","","","symmetry-judgement-task-demo","33","207734","1682100147212","0.0-4.0-0.1","1","",""
"4646","","","","","","","","symmetry-judgement-task-demo","35","213530","1682100153008","0.0-4.0-0.2","1","",""
"1915","","","","","","","","symmetry-judgement-task-demo","37","216572","1682100156050","0.0-4.0-0.3","0","",""
"1482","","","","","","","","symmetry-judgement-task-demo","39","219174","1682100158652","0.0-4.0-0.4","1","",""
"2048","","","","","","","","symmetry-judgement-task-demo","43","321704","1682100261182","0.0-6.0-0.0-1.0","1","",""
"1785","","","","","","","","symmetry-judgement-task-demo","46","324588","1682100264066","0.0-6.0-0.0-1.1","0","",""
"3156","8_1","8_1","2:0_0:1","2","2","","","spatial-span-recall-demo","48","327749","1682100267227","0.0-6.0-1.0","","",""
"1838","","","","","","","","symmetry-judgement-task-demo","51","334283","1682100273761","0.0-6.0-0.1-1.2","1","",""
"1132","","","","","","","","symmetry-judgement-task-demo","54","336542","1682100276020","0.0-6.0-0.1-1.3","1","",""
"1052","","","","","","","","symmetry-judgement-task-demo","57","338727","1682100278205","0.0-6.0-0.1-1.4","1","",""
"4045","10_4_0","10_4_0","2:2_1:0_0:0","3","3","","","spatial-span-recall-demo","59","342775","1682100282253","0.0-6.0-1.1","","",""
"1664","","","","","","","","symmetry-judgement-task-demo","62","350115","1682100289593","0.0-6.0-0.2-1.5","0","",""
"1392","","","","","","","","symmetry-judgement-task-demo","65","352644","1682100292122","0.0-6.0-0.2-1.6","1","",""
"1664","","","","","","","","symmetry-judgement-task-demo","68","356322","1682100295800","0.0-6.0-0.2-1.7","1","",""
"1337","","","","","","","","symmetry-judgement-task-demo","71","358768","1682100298246","0.0-6.0-0.2-1.8","1","",""
"4256","7_6_8_0","7_6_8_0","1:3_1:2_2:0_0:0","4","4","","","spatial-span-recall-demo","73","363027","1682100302505","0.0-6.0-1.2","","",""
"4912","","","","","","","","symmetry-judgement-task-demo","76","381632","1682100321110","0.0-6.0-0.3-1.9","1","",""
"1370","","","","","","","","symmetry-judgement-task-demo","79","384139","1682100323617","0.0-6.0-0.3-1.10","1","",""
"1325","","","","","","","","symmetry-judgement-task-demo","82","386585","1682100326063","0.0-6.0-0.3-1.11","1","",""
"2369","","","","","","","","symmetry-judgement-task-demo","85","390124","1682100329602","0.0-6.0-0.3-1.12","1","",""
