"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"3543","2_12_5","2_12_5","0:2_3:0_1:1","3","3","YQo6tjUL5s0BqNj","spatial-span-recall-demo","8","59442","1679011506821","0.0-2.0-1.0","","",""
"2019","15_14_6_3","15_14_6_3","3:3_3:2_1:2_0:3","4","4","","spatial-span-recall-demo","18","66858","1679011514237","0.0-2.0-1.1","","",""
"2097","4_6_10_11","4_6_10_11","1:0_1:2_2:2_2:3","4","4","","spatial-span-recall-demo","28","75037","1679011522416","0.0-2.0-1.2","","",""
"2218","","","","","","","symmetry-judgement-task-demo","31","91910","1679011539289","0.0-4.0-0.0","1","",""
"1204","","","","","","","symmetry-judgement-task-demo","33","94277","1679011541656","0.0-4.0-0.1","1","",""
"874","","","","","","","symmetry-judgement-task-demo","35","96307","1679011543686","0.0-4.0-0.2","1","",""
"948","","","","","","","symmetry-judgement-task-demo","37","98441","1679011545820","0.0-4.0-0.3","1","",""
"1592","","","","","","","symmetry-judgement-task-demo","39","101214","1679011548593","0.0-4.0-0.4","1","",""
"2099","","","","","","","symmetry-judgement-task-demo","43","121196","1679011568575","0.0-6.0-0.0-1.0","1","",""
"1623","","","","","","","symmetry-judgement-task-demo","46","123873","1679011571252","0.0-6.0-0.0-1.1","1","",""
"1583","13_6","13_6","3:1_1:2","2","2","","spatial-span-recall-demo","48","125465","1679011572844","0.0-6.0-1.0","","",""
"1535","","","","","","","symmetry-judgement-task-demo","51","129379","1679011576758","0.0-6.0-0.1-1.2","1","",""
"1181","","","","","","","symmetry-judgement-task-demo","54","131766","1679011579145","0.0-6.0-0.1-1.3","1","",""
"897","","","","","","","symmetry-judgement-task-demo","57","133832","1679011581211","0.0-6.0-0.1-1.4","1","",""
"1751","14_8_11","14_8_11","3:2_2:0_2:3","3","3","","spatial-span-recall-demo","59","135589","1679011582968","0.0-6.0-1.1","","",""
"1033","","","","","","","symmetry-judgement-task-demo","62","138552","1679011585931","0.0-6.0-0.2-1.5","1","",""
"761","","","","","","","symmetry-judgement-task-demo","65","140494","1679011587873","0.0-6.0-0.2-1.6","1","",""
"794","","","","","","","symmetry-judgement-task-demo","68","142461","1679011589840","0.0-6.0-0.2-1.7","1","",""
"934","","","","","","","symmetry-judgement-task-demo","71","144564","1679011591943","0.0-6.0-0.2-1.8","1","",""
"1933","9_14_6_0","9_14_6_0","2:1_3:2_1:2_0:0","4","4","","spatial-span-recall-demo","73","146502","1679011593881","0.0-6.0-1.2","","",""
"896","","","","","","","symmetry-judgement-task-demo","76","149648","1679011597027","0.0-6.0-0.3-1.9","1","",""
"834","","","","","","","symmetry-judgement-task-demo","79","151650","1679011599029","0.0-6.0-0.3-1.10","1","",""
"922","","","","","","","symmetry-judgement-task-demo","82","153734","1679011601113","0.0-6.0-0.3-1.11","1","",""
"831","","","","","","","symmetry-judgement-task-demo","85","155720","1679011603099","0.0-6.0-0.3-1.12","1","",""
"968","","","","","","","symmetry-judgement-task-demo","88","157847","1679011605226","0.0-6.0-0.3-1.13","1","",""
"2118","6_5_4_12_11","6_5_4_12_11","1:2_1:1_1:0_3:0_2:3","5","5","","spatial-span-recall-demo","90","159972","1679011607351","0.0-6.0-1.3","","",""
"1060","","","","","","","symmetry-judgement-task","94","169275","1679011616654","0.0-8.0-0.0-1.0","","1",""
"977","","","","","","","symmetry-judgement-task","97","171462","1679011618841","0.0-8.0-0.0-1.1","","1",""
"765","","","","","","","symmetry-judgement-task","100","173396","1679011620775","0.0-8.0-0.0-1.2","","1",""
"1575","5_13_6","5_13_6","1:1_3:1_1:2","","3","","spatial-span-recall","102","174978","1679011622357","0.0-8.0-1.0","","","3"
"1100","","","","","","","symmetry-judgement-task","105","178037","1679011625416","0.0-8.0-0.1-1.3","","1",""
"951","","","","","","","symmetry-judgement-task","108","180180","1679011627559","0.0-8.0-0.1-1.4","","1",""
"1668","3_10","3_10","0:3_2:2","","2","","spatial-span-recall","110","181859","1679011629238","0.0-8.0-1.1","","","2"
"1117","","","","","","","symmetry-judgement-task","113","184901","1679011632280","0.0-8.0-0.2-1.5","","1",""
"1081","","","","","","","symmetry-judgement-task","116","187153","1679011634532","0.0-8.0-0.2-1.6","","0",""
"5620","2_10","2_10","0:2_2:2","","2","","spatial-span-recall","118","192784","1679011640163","0.0-8.0-1.2","","","2"
"1005","","","","","","","symmetry-judgement-task","121","196963","1679011644342","0.0-8.0-0.3-1.7","","1",""
"1514","","","","","","","symmetry-judgement-task","124","199699","1679011647078","0.0-8.0-0.3-1.8","","1",""
"1299","","","","","","","symmetry-judgement-task","127","202181","1679011649560","0.0-8.0-0.3-1.9","","1",""
"1690","14_11_7","14_11_7","3:2_2:3_1:3","","3","","spatial-span-recall","129","203879","1679011651258","0.0-8.0-1.3","","","3"
"1656","","","","","","","symmetry-judgement-task","132","207466","1679011654845","0.0-8.0-0.4-1.10","","1",""
"731","","","","","","","symmetry-judgement-task","135","209364","1679011656743","0.0-8.0-0.4-1.11","","1",""
"863","","","","","","","symmetry-judgement-task","138","211396","1679011658775","0.0-8.0-0.4-1.12","","1",""
"1653","0_6_2","0_6_2","0:0_1:2_0:2","","3","","spatial-span-recall","140","213061","1679011660440","0.0-8.0-1.4","","","3"
