"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_fulldemo_accuracy","symm_accuracy","spatial_accuracy"
"11602","4","0_8_3","0:0_2:0_0:3","0","3","aaJ554urpO6DXqX","Safari version 605.1.15","spatial-span-recall-demo","8","132504","1684686563441","0.0-2.0-1.0","","","",""
"5650","8_9_0_15","8_9_0_15","2:0_2:1_0:0_3:3","4","4","","","spatial-span-recall-demo","18","147230","1684686578167","0.0-2.0-1.1","","","",""
"4806","10_9_4_0","10_9_4_0","2:2_2:1_1:0_0:0","4","4","","","spatial-span-recall-demo","28","158615","1684686589552","0.0-2.0-1.2","","","",""
"3245","","","","","","","","symmetry-judgement-task-demo","31","228345","1684686659282","0.0-4.0-0.0","1","","",""
"2726","","","","","","","","symmetry-judgement-task-demo","33","232191","1684686663128","0.0-4.0-0.1","1","","",""
"4703","","","","","","","","symmetry-judgement-task-demo","35","238019","1684686668956","0.0-4.0-0.2","1","","",""
"1278","","","","","","","","symmetry-judgement-task-demo","37","240416","1684686671353","0.0-4.0-0.3","1","","",""
"1784","","","","","","","","symmetry-judgement-task-demo","39","243317","1684686674254","0.0-4.0-0.4","1","","",""
"null","","","","","","","","symmetry-judgement-task-fulldemo","43","281711","1684686712648","0.0-6.0-0.0-1.0","","","",""
"3766","","","","","","","","symmetry-judgement-task-fulldemo","46","286598","1684686717535","0.0-6.0-0.0-1.1","","1","",""
"3715","11","11_15","2:3_3:3","1","2","","","spatial-span-recall-demo","48","290319","1684686721256","0.0-6.0-1.0","","","",""
"2794","","","","","","","","symmetry-judgement-task-fulldemo","51","297903","1684686728840","0.0-6.0-0.1-1.2","","1","",""
"3018","","","","","","","","symmetry-judgement-task-fulldemo","54","302043","1684686732980","0.0-6.0-0.1-1.3","","1","",""
"3414","","","","","","","","symmetry-judgement-task-fulldemo","57","306577","1684686737514","0.0-6.0-0.1-1.4","","1","",""
"3818","10_5_13","10_8_13","2:2_2:0_3:1","2","3","","","spatial-span-recall-demo","59","310401","1684686741338","0.0-6.0-1.1","","","",""
"2612","","","","","","","","symmetry-judgement-task-fulldemo","62","316465","1684686747402","0.0-6.0-0.2-1.5","","1","",""
"1676","","","","","","","","symmetry-judgement-task-fulldemo","65","319266","1684686750203","0.0-6.0-0.2-1.6","","1","",""
"2044","","","","","","","","symmetry-judgement-task-fulldemo","68","322439","1684686753376","0.0-6.0-0.2-1.7","","1","",""
"2048","","","","","","","","symmetry-judgement-task-fulldemo","71","325612","1684686756549","0.0-6.0-0.2-1.8","","1","",""
"4561","13_10_5_4","9_4_11_6","2:1_1:0_2:3_1:2","0","4","","","spatial-span-recall-demo","73","330179","1684686761116","0.0-6.0-1.2","","","",""
"null","","","","","","","","symmetry-judgement-task-fulldemo","76","338840","1684686769777","0.0-6.0-0.3-1.9","","","",""
