"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4180","3_0_15","3_0_15","0:3_0:0_3:3","3","3","dzSVoqEZU2I3coF","Chrome version 107.0.0.0","spatial-span-recall-demo","8","67550","1681360887739","0.0-2.0-1.0","","",""
"3956","9_12_6_3","9_12_6_3","2:1_3:0_1:2_0:3","4","4","","","spatial-span-recall-demo","18","77017","1681360897206","0.0-2.0-1.1","","",""
"6041","0_7_8_5","0_7_8_5","0:0_1:3_2:0_1:1","4","4","","","spatial-span-recall-demo","28","88413","1681360908602","0.0-2.0-1.2","","",""
"2098","","","","","","","","symmetry-judgement-task-demo","31","103081","1681360923270","0.0-4.0-0.0","1","",""
"1266","","","","","","","","symmetry-judgement-task-demo","33","105580","1681360925769","0.0-4.0-0.1","1","",""
"1370","","","","","","","","symmetry-judgement-task-demo","35","108251","1681360928440","0.0-4.0-0.2","1","",""
"1189","","","","","","","","symmetry-judgement-task-demo","37","110663","1681360930852","0.0-4.0-0.3","1","",""
"1175","","","","","","","","symmetry-judgement-task-demo","39","113103","1681360933292","0.0-4.0-0.4","1","",""
"2884","","","","","","","","symmetry-judgement-task-demo","43","137360","1681360957549","0.0-6.0-0.0-1.0","1","",""
"1722","","","","","","","","symmetry-judgement-task-demo","46","140379","1681360960568","0.0-6.0-0.0-1.1","1","",""
"3452","14_3","14_3","3:2_0:3","2","2","","","spatial-span-recall-demo","48","143842","1681360964031","0.0-6.0-1.0","","",""
"1939","","","","","","","","symmetry-judgement-task-demo","51","148230","1681360968419","0.0-6.0-0.1-1.2","1","",""
"1252","","","","","","","","symmetry-judgement-task-demo","54","150817","1681360971006","0.0-6.0-0.1-1.3","1","",""
"1242","","","","","","","","symmetry-judgement-task-demo","57","153358","1681360973547","0.0-6.0-0.1-1.4","1","",""
"3523","9_6_14","5_6_14","1:1_1:2_3:2","2","3","","","spatial-span-recall-demo","59","156888","1681360977077","0.0-6.0-1.1","","",""
"1247","","","","","","","","symmetry-judgement-task-demo","62","163098","1681360983287","0.0-6.0-0.2-1.5","1","",""
"2388","","","","","","","","symmetry-judgement-task-demo","65","166797","1681360986986","0.0-6.0-0.2-1.6","1","",""
"1224","","","","","","","","symmetry-judgement-task-demo","68","169265","1681360989454","0.0-6.0-0.2-1.7","1","",""
"1698","","","","","","","","symmetry-judgement-task-demo","71","172016","1681360992205","0.0-6.0-0.2-1.8","1","",""
"5477","0_6_3_14","0_6_3_14","0:0_1:2_0:3_3:2","4","4","","","spatial-span-recall-demo","73","177502","1681360997691","0.0-6.0-1.2","","",""
"1466","","","","","","","","symmetry-judgement-task-demo","76","184006","1681361004195","0.0-6.0-0.3-1.9","1","",""
"1430","","","","","","","","symmetry-judgement-task-demo","79","186682","1681361006871","0.0-6.0-0.3-1.10","1","",""
"1174","","","","","","","","symmetry-judgement-task-demo","82","189097","1681361009286","0.0-6.0-0.3-1.11","1","",""
"1534","","","","","","","","symmetry-judgement-task-demo","85","191868","1681361012057","0.0-6.0-0.3-1.12","1","",""
"1153","","","","","","","","symmetry-judgement-task-demo","88","194256","1681361014445","0.0-6.0-0.3-1.13","1","",""
"5858","15_4_2_10_6","15_4_10_2_6","3:3_1:0_2:2_0:2_1:2","3","5","","","spatial-span-recall-demo","90","200122","1681361020311","0.0-6.0-1.3","","",""
"1786","","","","","","","","symmetry-judgement-task","94","221108","1681361041297","0.0-8.0-0.0-1.0","","1",""
"1503","","","","","","","","symmetry-judgement-task","97","223959","1681361044148","0.0-8.0-0.0-1.1","","1",""
"1330","","","","","","","","symmetry-judgement-task","100","226543","1681361046732","0.0-8.0-0.0-1.2","","1",""
"4783","5_1_9","5_1_9","1:1_0:1_2:1","","3","","","spatial-span-recall","102","231334","1681361051523","0.0-8.0-1.0","","","3"
"1394","","","","","","","","symmetry-judgement-task","105","236874","1681361057063","0.0-8.0-0.1-1.3","","1",""
"1444","","","","","","","","symmetry-judgement-task","108","239686","1681361059875","0.0-8.0-0.1-1.4","","1",""
"3351","11_6","11_6","2:3_1:2","","2","","","spatial-span-recall","110","243045","1681361063234","0.0-8.0-1.1","","","2"
"1365","","","","","","","","symmetry-judgement-task","113","246946","1681361067135","0.0-8.0-0.2-1.5","","1",""
"1391","","","","","","","","symmetry-judgement-task","116","249589","1681361069778","0.0-8.0-0.2-1.6","","1",""
"3803","7_13","7_13","1:3_3:1","","2","","","spatial-span-recall","118","253400","1681361073589","0.0-8.0-1.2","","","2"
"1561","","","","","","","","symmetry-judgement-task","121","258827","1681361079016","0.0-8.0-0.3-1.7","","1",""
"1211","","","","","","","","symmetry-judgement-task","124","261303","1681361081492","0.0-8.0-0.3-1.8","","1",""
"1274","","","","","","","","symmetry-judgement-task","127","263808","1681361083997","0.0-8.0-0.3-1.9","","1",""
"3922","3_2_1","3_2_1","0:3_0:2_0:1","","3","","","spatial-span-recall","129","267738","1681361087927","0.0-8.0-1.3","","","3"
"1394","","","","","","","","symmetry-judgement-task","132","271726","1681361091915","0.0-8.0-0.4-1.10","","1",""
"1155","","","","","","","","symmetry-judgement-task","135","274170","1681361094359","0.0-8.0-0.4-1.11","","1",""
"1153","","","","","","","","symmetry-judgement-task","138","276563","1681361096752","0.0-8.0-0.4-1.12","","1",""
"3659","13_7_6","13_7_6","3:1_1:3_1:2","","3","","","spatial-span-recall","140","280231","1681361100420","0.0-8.0-1.4","","","3"
"1548","","","","","","","","symmetry-judgement-task","143","284611","1681361104800","0.0-8.0-0.5-1.13","","1",""
"1428","","","","","","","","symmetry-judgement-task","146","287311","1681361107500","0.0-8.0-0.5-1.14","","1",""
"1470","","","","","","","","symmetry-judgement-task","149","290011","1681361110200","0.0-8.0-0.5-1.15","","1",""
"1872","","","","","","","","symmetry-judgement-task","152","293130","1681361113319","0.0-8.0-0.5-1.16","","1",""
"5768","13_2_15_5","13_2_15_5","3:1_0:2_3:3_1:1","","4","","","spatial-span-recall","154","298906","1681361119095","0.0-8.0-1.5","","","4"
"1647","","","","","","","","symmetry-judgement-task","157","307657","1681361127846","0.0-8.0-0.6-1.17","","1",""
"1275","","","","","","","","symmetry-judgement-task","160","310166","1681361130355","0.0-8.0-0.6-1.18","","1",""
"1203","","","","","","","","symmetry-judgement-task","163","312613","1681361132802","0.0-8.0-0.6-1.19","","1",""
"1454","","","","","","","","symmetry-judgement-task","166","315345","1681361135534","0.0-8.0-0.6-1.20","","1",""
"1054","","","","","","","","symmetry-judgement-task","169","317653","1681361137842","0.0-8.0-0.6-1.21","","1",""
"6170","6_2_15_8_10","6_2_15_8_10","1:2_0:2_3:3_2:0_2:2","","5","","","spatial-span-recall","171","323832","1681361144021","0.0-8.0-1.6","","","5"
"1356","","","","","","","","symmetry-judgement-task","174","330245","1681361150434","0.0-8.0-0.7-1.22","","1",""
"1410","","","","","","","","symmetry-judgement-task","177","332717","1681361152906","0.0-8.0-0.7-1.23","","1",""
"1320","","","","","","","","symmetry-judgement-task","180","335304","1681361155493","0.0-8.0-0.7-1.24","","1",""
"1523","","","","","","","","symmetry-judgement-task","183","338065","1681361158254","0.0-8.0-0.7-1.25","","1",""
"5142","6_4_14_12","6_4_14_12","1:2_1:0_3:2_3:0","","4","","","spatial-span-recall","185","343215","1681361163404","0.0-8.0-1.7","","","4"
"1151","","","","","","","","symmetry-judgement-task","188","346723","1681361166912","0.0-8.0-0.8-1.26","","1",""
"1343","","","","","","","","symmetry-judgement-task","191","349130","1681361169319","0.0-8.0-0.8-1.27","","1",""
"3067","10_14","10_14","2:2_3:2","","2","","","spatial-span-recall","193","352205","1681361172394","0.0-8.0-1.8","","","2"
"1604","","","","","","","","symmetry-judgement-task","196","359329","1681361179518","0.0-8.0-0.9-1.28","","1",""
"1378","","","","","","","","symmetry-judgement-task","199","361968","1681361182157","0.0-8.0-0.9-1.29","","1",""
"1395","","","","","","","","symmetry-judgement-task","202","364604","1681361184793","0.0-8.0-0.9-1.30","","1",""
"1417","","","","","","","","symmetry-judgement-task","205","367251","1681361187440","0.0-8.0-0.9-1.31","","1",""
"1547","","","","","","","","symmetry-judgement-task","208","370103","1681361190292","0.0-8.0-0.9-1.32","","1",""
"5735","2_15_4_13_9","2_15_0_13_9","0:2_3:3_0:0_3:1_2:1","","5","","","spatial-span-recall","210","375846","1681361196035","0.0-8.0-1.9","","","4"
"1786","","","","","","","","symmetry-judgement-task","213","380571","1681361200760","0.0-8.0-0.10-1.33","","1",""
"1375","","","","","","","","symmetry-judgement-task","216","383250","1681361203439","0.0-8.0-0.10-1.34","","1",""
"1306","","","","","","","","symmetry-judgement-task","219","385846","1681361206035","0.0-8.0-0.10-1.35","","1",""
"1326","","","","","","","","symmetry-judgement-task","222","388415","1681361208604","0.0-8.0-0.10-1.36","","1",""
"5126","8_10_2_7","8_10_2_7","2:0_2:2_0:2_1:3","","4","","","spatial-span-recall","224","393550","1681361213738","0.0-8.0-1.10","","","4"
"1575","","","","","","","","symmetry-judgement-task","227","397985","1681361218174","0.0-8.0-0.11-1.37","","1",""
"1915","","","","","","","","symmetry-judgement-task","230","401181","1681361221370","0.0-8.0-0.11-1.38","","1",""
"1712","","","","","","","","symmetry-judgement-task","233","404141","1681361224330","0.0-8.0-0.11-1.39","","1",""
"1185","","","","","","","","symmetry-judgement-task","236","406568","1681361226757","0.0-8.0-0.11-1.40","","1",""
"1107","","","","","","","","symmetry-judgement-task","239","408976","1681361229164","0.0-8.0-0.11-1.41","","1",""
"12382","13_15_2_3_7","15_13_2_3_7","3:3_3:1_0:2_0:3_1:3","","5","","","spatial-span-recall","241","421369","1681361241558","0.0-8.0-1.11","","","3"
