"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4757","2_11_6","2_15_11","0:2_3:3_2:3","1","3","fiwjLKKbkDbaK6U","Chrome version 112.0.0.0","spatial-span-recall-demo","8","26475","1682093784821","0.0-2.0-1.0","","",""
"6693","2_14_1_6","2_14_6_1","0:2_3:2_1:2_0:1","2","4","","","spatial-span-recall-demo","18","38815","1682093797161","0.0-2.0-1.1","","",""
"4420","9_15_11_8","9_15_11_8","2:1_3:3_2:3_2:0","4","4","","","spatial-span-recall-demo","28","49922","1682093808268","0.0-2.0-1.2","","",""
"3289","","","","","","","","symmetry-judgement-task-demo","31","58516","1682093816862","0.0-4.0-0.0","1","",""
"1545","","","","","","","","symmetry-judgement-task-demo","33","61271","1682093819617","0.0-4.0-0.1","1","",""
"1828","","","","","","","","symmetry-judgement-task-demo","35","64295","1682093822641","0.0-4.0-0.2","1","",""
"1298","","","","","","","","symmetry-judgement-task-demo","37","66802","1682093825148","0.0-4.0-0.3","1","",""
"1644","","","","","","","","symmetry-judgement-task-demo","39","69680","1682093828026","0.0-4.0-0.4","1","",""
"5792","","","","","","","","symmetry-judgement-task-demo","43","80160","1682093838506","0.0-6.0-0.0-1.0","1","",""
"3463","","","","","","","","symmetry-judgement-task-demo","46","84840","1682093843186","0.0-6.0-0.0-1.1","1","",""
"4903","1_4","12_1","3:0_0:1","0","2","","","spatial-span-recall-demo","48","89749","1682093848095","0.0-6.0-1.0","","",""
"1611","","","","","","","","symmetry-judgement-task-demo","51","94581","1682093852927","0.0-6.0-0.1-1.2","1","",""
"1285","","","","","","","","symmetry-judgement-task-demo","54","97115","1682093855461","0.0-6.0-0.1-1.3","1","",""
"103","","","","","","","","symmetry-judgement-task-demo","57","98436","1682093856782","0.0-6.0-0.1-1.4","0","",""
"4187","1_5_9","7_4_15","1:3_1:0_3:3","0","3","","","spatial-span-recall-demo","59","102641","1682093860987","0.0-6.0-1.1","","",""
"1758","","","","","","","","symmetry-judgement-task-demo","62","108871","1682093867217","0.0-6.0-0.2-1.5","1","",""
"648","","","","","","","","symmetry-judgement-task-demo","65","110755","1682093869101","0.0-6.0-0.2-1.6","1","",""
"488","","","","","","","","symmetry-judgement-task-demo","68","112475","1682093870821","0.0-6.0-0.2-1.7","1","",""
"580","","","","","","","","symmetry-judgement-task-demo","71","114352","1682093872698","0.0-6.0-0.2-1.8","1","",""
"4178","0_1_2_3","0_13_2_15","0:0_3:1_0:2_3:3","2","4","","","spatial-span-recall-demo","73","118536","1682093876882","0.0-6.0-1.2","","",""
"2091","","","","","","","","symmetry-judgement-task-demo","76","126723","1682093885069","0.0-6.0-0.3-1.9","0","",""
"665","","","","","","","","symmetry-judgement-task-demo","79","128592","1682093886938","0.0-6.0-0.3-1.10","1","",""
"675","","","","","","","","symmetry-judgement-task-demo","82","130506","1682093888852","0.0-6.0-0.3-1.11","1","",""
"739","","","","","","","","symmetry-judgement-task-demo","85","132445","1682093890791","0.0-6.0-0.3-1.12","0","",""
"738","","","","","","","","symmetry-judgement-task-demo","88","134395","1682093892741","0.0-6.0-0.3-1.13","0","",""
"4103","0_2_10","9_1_11_4_12","2:1_0:1_2:3_1:0_3:0","0","5","","","spatial-span-recall-demo","90","138505","1682093896851","0.0-6.0-1.3","","",""
"1761","","","","","","","","symmetry-judgement-task","94","149428","1682093907774","0.0-8.0-0.0-1.0","","0",""
"927","","","","","","","","symmetry-judgement-task","97","151587","1682093909933","0.0-8.0-0.0-1.1","","0",""
"776","","","","","","","","symmetry-judgement-task","100","153567","1682093911913","0.0-8.0-0.0-1.2","","1",""
"8513","1_3_7_15_14_13_12","9_11_14","2:1_2:3_3:2","","3","","","spatial-span-recall","102","162086","1682093920432","0.0-8.0-1.0","","","0"
"4057","","","","","","","","symmetry-judgement-task","105","171640","1682093929986","0.0-8.0-0.1-1.3","","1",""
"805","","","","","","","","symmetry-judgement-task","108","173631","1682093931977","0.0-8.0-0.1-1.4","","0",""
"9057","13_15_8_6","6_0","1:2_0:0","","2","","","spatial-span-recall","110","182693","1682093941039","0.0-8.0-1.1","","","0"
