"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_fulldemo_accuracy","symm_accuracy","spatial_accuracy"
"4412","5_13_12","5_13_12","1:1_3:1_3:0","3","3","ocJLdoiAzQVyiyG","Safari version 604.1","spatial-span-recall-demo","8","45445","1685068168644","0.0-2.0-1.0","","","",""
"5854","4_6_10_11","4_6_10_11","1:0_1:2_2:2_2:3","4","4","","","spatial-span-recall-demo","18","57710","1685068180909","0.0-2.0-1.1","","","",""
"17349","13_10_5_3","13_9_11_4","3:1_2:1_2:3_1:0","1","4","","","spatial-span-recall-demo","28","81247","1685068204446","0.0-2.0-1.2","","","",""
"6829","","","","","","","","symmetry-judgement-task-demo","31","115839","1685068239038","0.0-4.0-0.0","1","","",""
"2794","","","","","","","","symmetry-judgement-task-demo","33","119740","1685068242939","0.0-4.0-0.1","1","","",""
"4500","","","","","","","","symmetry-judgement-task-demo","35","125348","1685068248547","0.0-4.0-0.2","1","","",""
"4815","","","","","","","","symmetry-judgement-task-demo","37","131270","1685068254468","0.0-4.0-0.3","1","","",""
"5583","","","","","","","","symmetry-judgement-task-demo","39","137961","1685068261160","0.0-4.0-0.4","1","","",""
"3392","","","","","","","","symmetry-judgement-task-fulldemo","43","160101","1685068283300","0.0-6.0-0.0-1.0","","1","",""
"2746","","","","","","","","symmetry-judgement-task-fulldemo","46","163959","1685068287158","0.0-6.0-0.0-1.1","","1","",""
"4427","1_2","1_2","0:1_0:2","2","2","","","spatial-span-recall-demo","48","168396","1685068291595","0.0-6.0-1.0","","","",""
"2773","","","","","","","","symmetry-judgement-task-fulldemo","51","175215","1685068298414","0.0-6.0-0.1-1.2","","1","",""
"2087","","","","","","","","symmetry-judgement-task-fulldemo","54","178440","1685068301639","0.0-6.0-0.1-1.3","","1","",""
"3237","","","","","","","","symmetry-judgement-task-fulldemo","57","182804","1685068306003","0.0-6.0-0.1-1.4","","1","",""
"6204","4_1_10","8_1_10","2:0_0:1_2:2","2","3","","","spatial-span-recall-demo","59","189016","1685068312215","0.0-6.0-1.1","","","",""
"2035","","","","","","","","symmetry-judgement-task-fulldemo","62","194622","1685068317821","0.0-6.0-0.2-1.5","","1","",""
"3605","","","","","","","","symmetry-judgement-task-fulldemo","65","199341","1685068322540","0.0-6.0-0.2-1.6","","1","",""
"4641","","","","","","","","symmetry-judgement-task-fulldemo","68","205093","1685068328292","0.0-6.0-0.2-1.7","","1","",""
"1781","","","","","","","","symmetry-judgement-task-fulldemo","71","207996","1685068331195","0.0-6.0-0.2-1.8","","1","",""
"7895","2_4_5_10","10_5_8_6","2:2_1:1_2:0_1:2","0","4","","","spatial-span-recall-demo","73","215915","1685068339114","0.0-6.0-1.2","","","",""
"2000","","","","","","","","symmetry-judgement-task-fulldemo","76","221196","1685068344395","0.0-6.0-0.3-1.9","","1","",""
"2184","","","","","","","","symmetry-judgement-task-fulldemo","79","224509","1685068347708","0.0-6.0-0.3-1.10","","1","",""
"2024","","","","","","","","symmetry-judgement-task-fulldemo","82","227654","1685068350853","0.0-6.0-0.3-1.11","","1","",""
"2324","","","","","","","","symmetry-judgement-task-fulldemo","85","231090","1685068354289","0.0-6.0-0.3-1.12","","1","",""
"1729","","","","","","","","symmetry-judgement-task-fulldemo","88","233940","1685068357139","0.0-6.0-0.3-1.13","","1","",""
"14300","11_4_6_3_9","10_8_3_5_9","2:2_2:0_0:3_1:1_2:1","1","5","","","spatial-span-recall-demo","90","248264","1685068371463","0.0-6.0-1.3","","","",""
"3335","","","","","","","","symmetry-judgement-task","94","260931","1685068384130","0.0-8.0-0.0-1.0","","","1",""
"2675","","","","","","","","symmetry-judgement-task","97","264713","1685068387912","0.0-8.0-0.0-1.1","","","0",""
"3858","","","","","","","","symmetry-judgement-task","100","269697","1685068392896","0.0-8.0-0.0-1.2","","","1",""
"4768","0_5_8","0_9_4","0:0_2:1_1:0","","3","","","spatial-span-recall","102","274491","1685068397690","0.0-8.0-1.0","","","","1"
"4146","","","","","","","","symmetry-judgement-task","105","281542","1685068404741","0.0-8.0-0.1-1.3","","","1",""
"3936","","","","","","","","symmetry-judgement-task","108","286589","1685068409788","0.0-8.0-0.1-1.4","","","1",""
"3694","13_2","13_2","3:1_0:2","","2","","","spatial-span-recall","110","290293","1685068413492","0.0-8.0-1.1","","","","2"
"1981","","","","","","","","symmetry-judgement-task","113","294943","1685068418142","0.0-8.0-0.2-1.5","","","1",""
"1764","","","","","","","","symmetry-judgement-task","116","297852","1685068421050","0.0-8.0-0.2-1.6","","","1",""
"4123","5_1","5_1","1:1_0:1","","2","","","spatial-span-recall","118","301997","1685068425196","0.0-8.0-1.2","","","","2"
"2388","","","","","","","","symmetry-judgement-task","121","307014","1685068430213","0.0-8.0-0.3-1.7","","","1",""
"1906","","","","","","","","symmetry-judgement-task","124","310035","1685068433234","0.0-8.0-0.3-1.8","","","1",""
"2103","","","","","","","","symmetry-judgement-task","127","313264","1685068436463","0.0-8.0-0.3-1.9","","","1",""
"4951","1_10_8","5_10_8","1:1_2:2_2:0","","3","","","spatial-span-recall","129","318241","1685068441440","0.0-8.0-1.3","","","","2"
"1426","","","","","","","","symmetry-judgement-task","132","322757","1685068445956","0.0-8.0-0.4-1.10","","","1",""
"1797","","","","","","","","symmetry-judgement-task","135","325662","1685068448861","0.0-8.0-0.4-1.11","","","1",""
"1936","","","","","","","","symmetry-judgement-task","138","328734","1685068451933","0.0-8.0-0.4-1.12","","","1",""
"7815","1_9_0","5_9_0","1:1_2:1_0:0","","3","","","spatial-span-recall","140","336574","1685068459773","0.0-8.0-1.4","","","","2"
"1284","","","","","","","","symmetry-judgement-task","143","340397","1685068463596","0.0-8.0-0.5-1.13","","","1",""
"1680","","","","","","","","symmetry-judgement-task","146","343191","1685068466390","0.0-8.0-0.5-1.14","","","1",""
"1742","","","","","","","","symmetry-judgement-task","149","346062","1685068469261","0.0-8.0-0.5-1.15","","","1",""
"2701","","","","","","","","symmetry-judgement-task","152","349889","1685068473088","0.0-8.0-0.5-1.16","","","1",""
"7217","1_14_13_8","14_13_4_12","3:2_3:1_1:0_3:0","","4","","","spatial-span-recall","154","357123","1685068480322","0.0-8.0-1.5","","","","0"
"1887","","","","","","","","symmetry-judgement-task","157","362188","1685068485387","0.0-8.0-0.6-1.17","","","1",""
"1721","","","","","","","","symmetry-judgement-task","160","365051","1685068488250","0.0-8.0-0.6-1.18","","","1",""
"2439","","","","","","","","symmetry-judgement-task","163","368605","1685068491804","0.0-8.0-0.6-1.19","","","1",""
"3460","","","","","","","","symmetry-judgement-task","166","373195","1685068496394","0.0-8.0-0.6-1.20","","","1",""
"1744","","","","","","","","symmetry-judgement-task","169","376062","1685068499261","0.0-8.0-0.6-1.21","","","1",""
"14639","6_14_8_4_2","6_0_1_8_2","1:2_0:0_0:1_2:0_0:2","","5","","","spatial-span-recall","171","390711","1685068513910","0.0-8.0-1.6","","","","2"
"2475","","","","","","","","symmetry-judgement-task","174","396273","1685068519472","0.0-8.0-0.7-1.22","","","1",""
"1703","","","","","","","","symmetry-judgement-task","177","399094","1685068522293","0.0-8.0-0.7-1.23","","","1",""
"1719","","","","","","","","symmetry-judgement-task","180","401953","1685068525152","0.0-8.0-0.7-1.24","","","1",""
"2080","","","","","","","","symmetry-judgement-task","183","405168","1685068528367","0.0-8.0-0.7-1.25","","","1",""
"20264","2_10_4_9_0","8_10_0_5","2:0_2:2_0:0_1:1","","4","","","spatial-span-recall","185","425468","1685068548667","0.0-8.0-1.7","","","","1"
"1940","","","","","","","","symmetry-judgement-task","188","430145","1685068553344","0.0-8.0-0.8-1.26","","","1",""
"1764","","","","","","","","symmetry-judgement-task","191","433020","1685068556219","0.0-8.0-0.8-1.27","","","1",""
"3570","14_5","10_5","2:2_1:1","","2","","","spatial-span-recall","193","436615","1685068559814","0.0-8.0-1.8","","","","1"
"2909","","","","","","","","symmetry-judgement-task","196","442025","1685068565224","0.0-8.0-0.9-1.28","","","1",""
"1680","","","","","","","","symmetry-judgement-task","199","444844","1685068568043","0.0-8.0-0.9-1.29","","","1",""
"1634","","","","","","","","symmetry-judgement-task","202","447600","1685068570798","0.0-8.0-0.9-1.30","","","1",""
"1492","","","","","","","","symmetry-judgement-task","205","450202","1685068573401","0.0-8.0-0.9-1.31","","","1",""
"1475","","","","","","","","symmetry-judgement-task","208","452809","1685068576008","0.0-8.0-0.9-1.32","","","1",""
"7435","6_3_12_14","6_3_12_15_10","1:2_0:3_3:0_3:3_2:2","","5","","","spatial-span-recall","210","460269","1685068583468","0.0-8.0-1.9","","","","3"
"1591","","","","","","","","symmetry-judgement-task","213","464675","1685068587874","0.0-8.0-0.10-1.33","","","1",""
"2354","","","","","","","","symmetry-judgement-task","216","468138","1685068591337","0.0-8.0-0.10-1.34","","","1",""
"2171","","","","","","","","symmetry-judgement-task","219","471447","1685068594646","0.0-8.0-0.10-1.35","","","1",""
"1917","","","","","","","","symmetry-judgement-task","222","474526","1685068597725","0.0-8.0-0.10-1.36","","","0",""
"13447","2_13_8_7_3","8_7_13_2","2:0_1:3_3:1_0:2","","4","","","spatial-span-recall","224","487982","1685068611181","0.0-8.0-1.10","","","","0"
"2149","","","","","","","","symmetry-judgement-task","227","492921","1685068616120","0.0-8.0-0.11-1.37","","","1",""
"1690","","","","","","","","symmetry-judgement-task","230","495751","1685068618950","0.0-8.0-0.11-1.38","","","1",""
"1783","","","","","","","","symmetry-judgement-task","233","498662","1685068621861","0.0-8.0-0.11-1.39","","","1",""
"1690","","","","","","","","symmetry-judgement-task","236","501475","1685068624674","0.0-8.0-0.11-1.40","","","1",""
"1617","","","","","","","","symmetry-judgement-task","239","504240","1685068627439","0.0-8.0-0.11-1.41","","","1",""
"8070","12_6_2_15_9","8_5_6_15_2","2:0_1:1_1:2_3:3_0:2","","5","","","spatial-span-recall","241","512335","1685068635534","0.0-8.0-1.11","","","","1"
