"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"460","","2_6_14","0:2_1:2_3:2","0","3","p2FPvH44lWdCdaN","spatial-span-recall-demo","8","37532","1678818042822","0.0-2.0-1.0","","",""
"1624","11_15_12","3_7_15_12","0:3_1:3_3:3_3:0","0","4","","spatial-span-recall-demo","18","43978","1678818049268","0.0-2.0-1.1","","",""
"2755","6_11_15_14","10_7_5_13","2:2_1:3_1:1_3:1","0","4","","spatial-span-recall-demo","28","51220","1678818056510","0.0-2.0-1.2","","",""
"1300","","","","","","","symmetry-judgement-task-demo","31","54553","1678818059843","0.0-4.0-0.0","1","",""
"939","","","","","","","symmetry-judgement-task-demo","33","56551","1678818061841","0.0-4.0-0.1","1","",""
"1169","","","","","","","symmetry-judgement-task-demo","35","58783","1678818064073","0.0-4.0-0.2","1","",""
"1519","","","","","","","symmetry-judgement-task-demo","37","61359","1678818066649","0.0-4.0-0.3","1","",""
"1856","","","","","","","symmetry-judgement-task-demo","39","64280","1678818069570","0.0-4.0-0.4","1","",""
"1563","","","","","","","symmetry-judgement-task-demo","43","69879","1678818075169","0.0-6.0-0.0-1.0","1","",""
"527","","","","","","","symmetry-judgement-task-demo","46","71461","1678818076751","0.0-6.0-0.0-1.1","0","",""
"997","13_14","2_8","0:2_2:0","0","2","","spatial-span-recall-demo","48","72463","1678818077753","0.0-6.0-1.0","","",""
"1233","","","","","","","symmetry-judgement-task-demo","51","75257","1678818080547","0.0-6.0-0.1-1.2","1","",""
"684","","","","","","","symmetry-judgement-task-demo","54","77012","1678818082302","0.0-6.0-0.1-1.3","1","",""
"496","","","","","","","symmetry-judgement-task-demo","57","78568","1678818083858","0.0-6.0-0.1-1.4","0","",""
"1508","10_14_15","4_6_15","1:0_1:2_3:3","1","3","","spatial-span-recall-demo","59","80081","1678818085371","0.0-6.0-1.1","","",""
"1765","","","","","","","symmetry-judgement-task-demo","62","83357","1678818088647","0.0-6.0-0.2-1.5","0","",""
"714","","","","","","","symmetry-judgement-task-demo","65","85119","1678818090409","0.0-6.0-0.2-1.6","1","",""
"788","","","","","","","symmetry-judgement-task-demo","68","86967","1678818092257","0.0-6.0-0.2-1.7","1","",""
"752","","","","","","","symmetry-judgement-task-demo","71","88783","1678818094073","0.0-6.0-0.2-1.8","1","",""
"2441","5_0_8_9","1_0_8_9","0:1_0:0_2:0_2:1","3","4","","spatial-span-recall-demo","73","91229","1678818096519","0.0-6.0-1.2","","",""
"1555","","","","","","","symmetry-judgement-task-demo","76","94181","1678818099471","0.0-6.0-0.3-1.9","1","",""
"712","","","","","","","symmetry-judgement-task-demo","79","95961","1678818101251","0.0-6.0-0.3-1.10","1","",""
"1326","","","","","","","symmetry-judgement-task-demo","82","98350","1678818103640","0.0-6.0-0.3-1.11","1","",""
"864","","","","","","","symmetry-judgement-task-demo","85","100281","1678818105571","0.0-6.0-0.3-1.12","1","",""
"994","","","","","","","symmetry-judgement-task-demo","88","102336","1678818107626","0.0-6.0-0.3-1.13","1","",""
"3117","6_10_3_9_0","2_10_3_9_4","0:2_2:2_0:3_2:1_1:0","3","5","","spatial-span-recall-demo","90","105458","1678818110748","0.0-6.0-1.3","","",""
"871","","","","","","","symmetry-judgement-task","94","108752","1678818114042","0.0-8.0-0.0-1.0","","1",""
"1105","","","","","","","symmetry-judgement-task","97","110919","1678818116209","0.0-8.0-0.0-1.1","","0",""
"602","","","","","","","symmetry-judgement-task","100","112584","1678818117874","0.0-8.0-0.0-1.2","","1",""
"2074","9_5_2","13_5_2","3:1_1:1_0:2","","3","","spatial-span-recall","102","114665","1678818119955","0.0-8.0-1.0","","","2"
"824","","","","","","","symmetry-judgement-task","105","117296","1678818122586","0.0-8.0-0.1-1.3","","1",""
"556","","","","","","","symmetry-judgement-task","108","118915","1678818124205","0.0-8.0-0.1-1.4","","1",""
"1895","8_1","12_1","3:0_0:1","","2","","spatial-span-recall","110","120815","1678818126105","0.0-8.0-1.1","","","1"
"875","","","","","","","symmetry-judgement-task","113","123184","1678818128474","0.0-8.0-0.2-1.5","","1",""
"1013","","","","","","","symmetry-judgement-task","116","125259","1678818130549","0.0-8.0-0.2-1.6","","1",""
"1921","7_8","7_8","1:3_2:0","","2","","spatial-span-recall","118","127183","1678818132473","0.0-8.0-1.2","","","2"
"874","","","","","","","symmetry-judgement-task","121","129594","1678818134884","0.0-8.0-0.3-1.7","","1",""
"1510","","","","","","","symmetry-judgement-task","124","132161","1678818137451","0.0-8.0-0.3-1.8","","1",""
"917","","","","","","","symmetry-judgement-task","127","134136","1678818139426","0.0-8.0-0.3-1.9","","1",""
"2054","8_6_9","8_6_9","2:0_1:2_2:1","","3","","spatial-span-recall","129","136195","1678818141485","0.0-8.0-1.3","","","3"
"3192","","","","","","","symmetry-judgement-task","132","141197","1678818146487","0.0-8.0-0.4-1.10","","1",""
"838","","","","","","","symmetry-judgement-task","135","143097","1678818148387","0.0-8.0-0.4-1.11","","1",""
"2573","","","","","","","symmetry-judgement-task","138","146731","1678818152021","0.0-8.0-0.4-1.12","","1",""
"1894","9_5_2","9_5_2","2:1_1:1_0:2","","3","","spatial-span-recall","140","148627","1678818153917","0.0-8.0-1.4","","","3"
"836","","","","","","","symmetry-judgement-task","143","150969","1678818156259","0.0-8.0-0.5-1.13","","1",""
"1037","","","","","","","symmetry-judgement-task","146","153067","1678818158357","0.0-8.0-0.5-1.14","","1",""
"1300","","","","","","","symmetry-judgement-task","149","155433","1678818160723","0.0-8.0-0.5-1.15","","1",""
"1067","","","","","","","symmetry-judgement-task","152","157569","1678818162859","0.0-8.0-0.5-1.16","","1",""
"4912","7_8_12_6","7_12_8_6","1:3_3:0_2:0_1:2","","4","","spatial-span-recall","154","162487","1678818167777","0.0-8.0-1.5","","","2"
"1539","","","","","","","symmetry-judgement-task","157","165889","1678818171179","0.0-8.0-0.6-1.17","","1",""
"742","","","","","","","symmetry-judgement-task","160","167698","1678818172988","0.0-8.0-0.6-1.18","","1",""
"1076","","","","","","","symmetry-judgement-task","163","169841","1678818175131","0.0-8.0-0.6-1.19","","0",""
"1230","","","","","","","symmetry-judgement-task","166","172133","1678818177423","0.0-8.0-0.6-1.20","","1",""
"1011","","","","","","","symmetry-judgement-task","169","174210","1678818179500","0.0-8.0-0.6-1.21","","1",""
"6119","14_10_5_2_6","14_10_5_1_6","3:2_2:2_1:1_0:1_1:2","","5","","spatial-span-recall","171","180334","1678818185624","0.0-8.0-1.6","","","4"
"1039","","","","","","","symmetry-judgement-task","174","182988","1678818188278","0.0-8.0-0.7-1.22","","1",""
"799","","","","","","","symmetry-judgement-task","177","184852","1678818190142","0.0-8.0-0.7-1.23","","1",""
"537","","","","","","","symmetry-judgement-task","180","186453","1678818191743","0.0-8.0-0.7-1.24","","1",""
"631","","","","","","","symmetry-judgement-task","183","188147","1678818193437","0.0-8.0-0.7-1.25","","1",""
"2737","12_5_10_14","12_5_10_14","3:0_1:1_2:2_3:2","","4","","spatial-span-recall","185","190889","1678818196179","0.0-8.0-1.7","","","4"
"837","","","","","","","symmetry-judgement-task","188","193554","1678818198843","0.0-8.0-0.8-1.26","","1",""
"835","","","","","","","symmetry-judgement-task","191","195454","1678818200744","0.0-8.0-0.8-1.27","","1",""
"1829","5_11","5_11","1:1_2:3","","2","","spatial-span-recall","193","197288","1678818202578","0.0-8.0-1.8","","","2"
"952","","","","","","","symmetry-judgement-task","196","199769","1678818205059","0.0-8.0-0.9-1.28","","1",""
"799","","","","","","","symmetry-judgement-task","199","201634","1678818206924","0.0-8.0-0.9-1.29","","1",""
"766","","","","","","","symmetry-judgement-task","202","203465","1678818208755","0.0-8.0-0.9-1.30","","1",""
"791","","","","","","","symmetry-judgement-task","205","205320","1678818210610","0.0-8.0-0.9-1.31","","1",""
"614","","","","","","","symmetry-judgement-task","208","206998","1678818212288","0.0-8.0-0.9-1.32","","1",""
"2177","7_10_14_9","7_10_14_9_13","1:3_2:2_3:2_2:1_3:1","","5","","spatial-span-recall","210","209179","1678818214469","0.0-8.0-1.9","","","4"
"1027","","","","","","","symmetry-judgement-task","213","211721","1678818217011","0.0-8.0-0.10-1.33","","1",""
"783","","","","","","","symmetry-judgement-task","216","213557","1678818218847","0.0-8.0-0.10-1.34","","1",""
"805","","","","","","","symmetry-judgement-task","219","215425","1678818220715","0.0-8.0-0.10-1.35","","1",""
"706","","","","","","","symmetry-judgement-task","222","217195","1678818222485","0.0-8.0-0.10-1.36","","1",""
"1915","12_14_13_10","12_14_6_13","3:0_3:2_1:2_3:1","","4","","spatial-span-recall","224","219115","1678818224405","0.0-8.0-1.10","","","2"
"785","","","","","","","symmetry-judgement-task","227","221338","1678818226628","0.0-8.0-0.11-1.37","","1",""
"703","","","","","","","symmetry-judgement-task","230","223105","1678818228395","0.0-8.0-0.11-1.38","","1",""
"684","","","","","","","symmetry-judgement-task","233","224855","1678818230145","0.0-8.0-0.11-1.39","","1",""
"939","","","","","","","symmetry-judgement-task","236","226857","1678818232147","0.0-8.0-0.11-1.40","","1",""
"732","","","","","","","symmetry-judgement-task","239","228653","1678818233943","0.0-8.0-0.11-1.41","","1",""
"2315","9_1_6_11_10","9_1_6_11_5","2:1_0:1_1:2_2:3_1:1","","5","","spatial-span-recall","241","230972","1678818236262","0.0-8.0-1.11","","","4"
