"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"4815","2_5_15","2_5_11","0:2_1:1_2:3","2","3","upsRfhIaMrMSCRu","Chrome version 110.0.0.0","spatial-span-recall-demo","8","74023","1680807383916","0.0-2.0-1.0","","",""
"8451","3_8_7_14","3_8_7_14","0:3_2:0_1:3_3:2","4","4","","","spatial-span-recall-demo","18","88504","1680807398397","0.0-2.0-1.1","","",""
"4118","1_14_6_13","1_14_6_13","0:1_3:2_1:2_3:1","4","4","","","spatial-span-recall-demo","28","99211","1680807409104","0.0-2.0-1.2","","",""
"3556","","","","","","","","symmetry-judgement-task-demo","31","125522","1680807435415","0.0-4.0-0.0","1","",""
"1379","","","","","","","","symmetry-judgement-task-demo","33","128112","1680807438005","0.0-4.0-0.1","1","",""
"1404","","","","","","","","symmetry-judgement-task-demo","35","130742","1680807440635","0.0-4.0-0.2","1","",""
"876","","","","","","","","symmetry-judgement-task-demo","37","132912","1680807442805","0.0-4.0-0.3","1","",""
"2008","","","","","","","","symmetry-judgement-task-demo","39","136165","1680807446058","0.0-4.0-0.4","1","",""
"2782","","","","","","","","symmetry-judgement-task-demo","43","151478","1680807461371","0.0-6.0-0.0-1.0","1","",""
"2201","","","","","","","","symmetry-judgement-task-demo","46","154888","1680807464781","0.0-6.0-0.0-1.1","1","",""
"4002","8_4","12_4","3:0_1:0","1","2","","","spatial-span-recall-demo","48","158893","1680807468786","0.0-6.0-1.0","","",""
"5793","","","","","","","","symmetry-judgement-task-demo","51","173319","1680807483212","0.0-6.0-0.1-1.2","1","",""
"2258","","","","","","","","symmetry-judgement-task-demo","54","176795","1680807486688","0.0-6.0-0.1-1.3","1","",""
"1710","","","","","","","","symmetry-judgement-task-demo","57","179718","1680807489611","0.0-6.0-0.1-1.4","1","",""
"4695","14_0_10","14_0_10","3:2_0:0_2:2","3","3","","","spatial-span-recall-demo","59","184418","1680807494311","0.0-6.0-1.1","","",""
"1743","","","","","","","","symmetry-judgement-task-demo","62","194265","1680807504158","0.0-6.0-0.2-1.5","1","",""
"1847","","","","","","","","symmetry-judgement-task-demo","65","197330","1680807507223","0.0-6.0-0.2-1.6","1","",""
"1410","","","","","","","","symmetry-judgement-task-demo","68","199976","1680807509869","0.0-6.0-0.2-1.7","1","",""
"2221","","","","","","","","symmetry-judgement-task-demo","71","203395","1680807513288","0.0-6.0-0.2-1.8","1","",""
"5400","7_6_8_12","7_5_8_12","1:3_1:1_2:0_3:0","3","4","","","spatial-span-recall-demo","73","208799","1680807518692","0.0-6.0-1.2","","",""
"1371","","","","","","","","symmetry-judgement-task-demo","76","214064","1680807523957","0.0-6.0-0.3-1.9","1","",""
"1809","","","","","","","","symmetry-judgement-task-demo","79","217069","1680807526962","0.0-6.0-0.3-1.10","1","",""
"1181","","","","","","","","symmetry-judgement-task-demo","82","219478","1680807529371","0.0-6.0-0.3-1.11","1","",""
"2421","","","","","","","","symmetry-judgement-task-demo","85","223113","1680807533006","0.0-6.0-0.3-1.12","1","",""
"1819","","","","","","","","symmetry-judgement-task-demo","88","226144","1680807536037","0.0-6.0-0.3-1.13","1","",""
"6955","12_1_9_2_15","12_1_11_9_2","3:0_0:1_2:3_2:1_0:2","2","5","","","spatial-span-recall-demo","90","233111","1680807543004","0.0-6.0-1.3","","",""
"3525","","","","","","","","symmetry-judgement-task","94","306847","1680807616740","0.0-8.0-0.0-1.0","","1",""
"1902","","","","","","","","symmetry-judgement-task","97","309950","1680807619843","0.0-8.0-0.0-1.1","","1",""
"1887","","","","","","","","symmetry-judgement-task","100","313038","1680807622931","0.0-8.0-0.0-1.2","","1",""
"3145","6_11_10","6_11_10","1:2_2:3_2:2","","3","","","spatial-span-recall","102","316199","1680807626092","0.0-8.0-1.0","","","3"
"1500","","","","","","","","symmetry-judgement-task","105","321420","1680807631313","0.0-8.0-0.1-1.3","","1",""
"1678","","","","","","","","symmetry-judgement-task","108","324294","1680807634187","0.0-8.0-0.1-1.4","","1",""
