"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"6383","9_12_6","9_12_6","2:1_3:0_1:2","3","3","wzcgEBogLGoDLLC","Chrome version 111.0.0.0","spatial-span-recall-demo","8","95048","1680751876902","0.0-2.0-1.0","","",""
"5309","1_14_8_3","1_14_4_3","0:1_3:2_1:0_0:3","3","4","","","spatial-span-recall-demo","18","106080","1680751887933","0.0-2.0-1.1","","",""
"4264","5_1_10_6","5_1_10_6","1:1_0:1_2:2_1:2","4","4","","","spatial-span-recall-demo","28","115960","1680751897814","0.0-2.0-1.2","","",""
"2379","","","","","","","","symmetry-judgement-task-demo","31","129568","1680751911422","0.0-4.0-0.0","1","",""
"1917","","","","","","","","symmetry-judgement-task-demo","33","132661","1680751914515","0.0-4.0-0.1","1","",""
"1866","","","","","","","","symmetry-judgement-task-demo","35","135690","1680751917544","0.0-4.0-0.2","1","",""
"1419","","","","","","","","symmetry-judgement-task-demo","37","138307","1680751920161","0.0-4.0-0.3","1","",""
"1434","","","","","","","","symmetry-judgement-task-demo","39","140915","1680751922769","0.0-4.0-0.4","1","",""
"2940","","","","","","","","symmetry-judgement-task-demo","43","169491","1680751951345","0.0-6.0-0.0-1.0","1","",""
"2845","","","","","","","","symmetry-judgement-task-demo","46","173489","1680751955343","0.0-6.0-0.0-1.1","1","",""
"3788","10_4","10_4","2:2_1:0","2","2","","","spatial-span-recall-demo","48","177285","1680751959139","0.0-6.0-1.0","","",""
"2037","","","","","","","","symmetry-judgement-task-demo","51","186356","1680751968210","0.0-6.0-0.1-1.2","1","",""
"1900","","","","","","","","symmetry-judgement-task-demo","54","189424","1680751971278","0.0-6.0-0.1-1.3","1","",""
"2134","","","","","","","","symmetry-judgement-task-demo","57","192613","1680751974467","0.0-6.0-0.1-1.4","1","",""
"4916","0_7_2","0_7_1","0:0_1:3_0:1","2","3","","","spatial-span-recall-demo","59","197537","1680751979391","0.0-6.0-1.1","","",""
"2634","","","","","","","","symmetry-judgement-task-demo","62","204095","1680751985949","0.0-6.0-0.2-1.5","1","",""
"3717","","","","","","","","symmetry-judgement-task-demo","65","209003","1680751990857","0.0-6.0-0.2-1.6","0","",""
"2171","","","","","","","","symmetry-judgement-task-demo","68","212333","1680751994187","0.0-6.0-0.2-1.7","1","",""
"1711","","","","","","","","symmetry-judgement-task-demo","71","215207","1680751997061","0.0-6.0-0.2-1.8","1","",""
"5686","1_4_6","1_9_4_6","0:1_2:1_1:0_1:2","1","4","","","spatial-span-recall-demo","73","220911","1680752002765","0.0-6.0-1.2","","",""
"2543","","","","","","","","symmetry-judgement-task-demo","76","227259","1680752009113","0.0-6.0-0.3-1.9","1","",""
"1481","","","","","","","","symmetry-judgement-task-demo","79","229924","1680752011778","0.0-6.0-0.3-1.10","1","",""
"1563","","","","","","","","symmetry-judgement-task-demo","82","232665","1680752014519","0.0-6.0-0.3-1.11","1","",""
"1709","","","","","","","","symmetry-judgement-task-demo","85","235421","1680752017275","0.0-6.0-0.3-1.12","1","",""
"1800","","","","","","","","symmetry-judgement-task-demo","88","238287","1680752020141","0.0-6.0-0.3-1.13","1","",""
"5167","1_4_13_7","1_4_13_8_7","0:1_1:0_3:1_2:0_1:3","3","5","","","spatial-span-recall-demo","90","243472","1680752025326","0.0-6.0-1.3","","",""
"2524","","","","","","","","symmetry-judgement-task","94","256093","1680752037947","0.0-8.0-0.0-1.0","","1",""
"1664","","","","","","","","symmetry-judgement-task","97","258925","1680752040779","0.0-8.0-0.0-1.1","","1",""
"1337","","","","","","","","symmetry-judgement-task","100","261422","1680752043276","0.0-8.0-0.0-1.2","","1",""
"5416","12_1_4","12_1_4","3:0_0:1_1:0","","3","","","spatial-span-recall","102","266852","1680752048706","0.0-8.0-1.0","","","3"
"1966","","","","","","","","symmetry-judgement-task","105","272593","1680752054447","0.0-8.0-0.1-1.3","","1",""
"1409","","","","","","","","symmetry-judgement-task","108","275167","1680752057021","0.0-8.0-0.1-1.4","","1",""
"3425","12_15","12_15","3:0_3:3","","2","","","spatial-span-recall","110","278607","1680752060461","0.0-8.0-1.1","","","2"
"2006","","","","","","","","symmetry-judgement-task","113","283222","1680752065076","0.0-8.0-0.2-1.5","","1",""
"1568","","","","","","","","symmetry-judgement-task","116","285952","1680752067806","0.0-8.0-0.2-1.6","","1",""
"3297","4_6","4_6","1:0_1:2","","2","","","spatial-span-recall","118","289266","1680752071120","0.0-8.0-1.2","","","2"
"2461","","","","","","","","symmetry-judgement-task","121","294106","1680752075960","0.0-8.0-0.3-1.7","","1",""
"1661","","","","","","","","symmetry-judgement-task","124","296958","1680752078812","0.0-8.0-0.3-1.8","","1",""
"2167","","","","","","","","symmetry-judgement-task","127","300302","1680752082156","0.0-8.0-0.3-1.9","","1",""
"3977","12_8_10","12_8_10","3:0_2:0_2:2","","3","","","spatial-span-recall","129","304293","1680752086147","0.0-8.0-1.3","","","3"
"1754","","","","","","","","symmetry-judgement-task","132","308775","1680752090629","0.0-8.0-0.4-1.10","","1",""
"1458","","","","","","","","symmetry-judgement-task","135","311422","1680752093276","0.0-8.0-0.4-1.11","","1",""
"1475","","","","","","","","symmetry-judgement-task","138","314070","1680752095924","0.0-8.0-0.4-1.12","","1",""
"4307","12_10_4","10_12_4","2:2_3:0_1:0","","3","","","spatial-span-recall","140","318392","1680752100246","0.0-8.0-1.4","","","1"
"2331","","","","","","","","symmetry-judgement-task","143","325046","1680752106900","0.0-8.0-0.5-1.13","","1",""
"1625","","","","","","","","symmetry-judgement-task","146","327848","1680752109702","0.0-8.0-0.5-1.14","","1",""
"2751","","","","","","","","symmetry-judgement-task","149","331772","1680752113626","0.0-8.0-0.5-1.15","","1",""
"2236","","","","","","","","symmetry-judgement-task","152","335183","1680752117037","0.0-8.0-0.5-1.16","","1",""
"7730","12_15_10_1","3_14_6_1","0:3_3:2_1:2_0:1","","4","","","spatial-span-recall","154","342927","1680752124781","0.0-8.0-1.5","","","1"
"1864","","","","","","","","symmetry-judgement-task","157","362528","1680752144382","0.0-8.0-0.6-1.17","","1",""
"1740","","","","","","","","symmetry-judgement-task","160","365432","1680752147286","0.0-8.0-0.6-1.18","","1",""
"1700","","","","","","","","symmetry-judgement-task","163","368297","1680752150151","0.0-8.0-0.6-1.19","","1",""
"2549","","","","","","","","symmetry-judgement-task","166","371902","1680752153756","0.0-8.0-0.6-1.20","","1",""
"2342","","","","","","","","symmetry-judgement-task","169","375417","1680752157271","0.0-8.0-0.6-1.21","","1",""
"4652","11_14_8_2","11_13_8_7_1","2:3_3:1_2:0_1:3_0:1","","5","","","spatial-span-recall","171","380084","1680752161938","0.0-8.0-1.6","","","2"
"2294","","","","","","","","symmetry-judgement-task","174","388489","1680752170343","0.0-8.0-0.7-1.22","","1",""
