browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,Chrome,111.0.0.0,Windows,en-US,2023-03-16_23:56:21,2023-03-16_16:56:21,2023-03-14_19:02:32,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=YQo6tjUL5s0BqNj,460.359
Chrome,111.0.0.0,Windows,en-US,2023-03-16_23:56:21,2023-03-16_16:56:21,2023-03-14_19:02:32,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=YQo6tjUL5s0BqNj,460.359

rowNo,type,stim1,stimFormat,key,label,ITI,keyboard,feedback,responseWindow,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
4,test,C,word,,2p1,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,54425,timeout,1991,
5,test,E,word,,2p2,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,57224,timeout,1997,
6,test,D,word,,2p3,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,60022,timeout,1994,
7,test,E,word,m,2p4,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.64,62820,timeout,1995,0
8,test,G,word,,2p5,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,65617,timeout,1994,
9,test,F,word,,2p6,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,68417,timeout,1994,
10,test,H,word,,2p7,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,71216,timeout,1994,
11,test,J,word,,2p8,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,74015,timeout,1995,
12,test,I,word,,2p9,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,76812,timeout,1996,
13,test,K,word,,2p10,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,79611,timeout,1993,
14,test,I,word,m,2p11,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,82409,timeout,1995,0
15,test,K,word,m,2p12,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,85208,timeout,1995,0
16,test,G,word,,2p13,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,88006,timeout,1994,
17,test,F,word,,2p14,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,90805,timeout,1995,
18,test,E,word,,2p15,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,93603,timeout,1994,
19,test,F,word,m,2p16,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,96402,timeout,1995,0
20,test,G,word,,2p17,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,99200,timeout,1993,
21,test,A,word,,2p18,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,101999,timeout,1987,
22,test,G,word,m,2p19,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,104797,timeout,1995,0
23,test,Z,word,,2p20,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,107596,timeout,1994,
24,test,R,word,,2p21,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,110394,timeout,1993,
25,test,Z,word,m,2p22,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,113192,timeout,1995,0
27,test,D,word,,3p1,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,138012,timeout,1995,
28,test,S,word,,3p2,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,140811,timeout,1993,
29,test,F,word,,3p3,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,143609,timeout,1993,
30,test,D,word,m,3p4,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,144878,m,465,1
31,test,I,word,,3p5,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,149272,timeout,1996,
32,test,G,word,,3p6,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,152071,timeout,1995,
33,test,J,word,,3p7,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,154869,timeout,1995,
34,test,I,word,m,3p8,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,156106,m,433,1
35,test,G,word,m,3p9,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,159784,timeout,1998,0
36,test,K,word,,3p10,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.66,162581,timeout,1994,
37,test,Q,word,,3p11,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,165381,timeout,1994,
38,test,G,word,m,3p12,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,166872,m,688,1
39,test,Y,word,,3p13,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,170428,timeout,1994,
40,test,A,word,,3p14,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,173226,timeout,1994,
41,test,T,word,,3p15,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,176024,timeout,1995,
42,test,L,word,,3p16,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,178822,timeout,1994,
43,test,J,word,,3p17,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,181622,timeout,1995,
44,test,O,word,,3p18,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,184419,timeout,1993,
45,test,X,word,,3p19,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.68,187219,timeout,1995,
46,test,J,word,m,3p20,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,799,48,16.65,188705,m,683,1
47,test,J,word,,3p21,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,192400,timeout,1995,
48,test,X,word,m,3p22,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.67,195196,timeout,1993,0
49,test,A,word,,3p23,800,m,correct: This is correct!; incorrect: This is incorrect!,2000,800,48,16.66,197996,timeout,1995,
51,test,Z,word,,2t1-1,800,m,,2000,800,48,16.68,218318,timeout,1995,
52,test,A,word,,2t2-1,800,m,,2000,799,48,16.65,221117,timeout,1995,
53,test,Q,word,,2t3-1,800,m,,2000,799,48,16.64,223914,timeout,1995,
54,test,A,word,m,2t4-1,800,m,,2000,800,48,16.67,225073,m,355,1
55,test,Q,word,m,2t5-1,800,m,,2000,800,48,16.67,227863,timeout,1994,0
56,test,B,word,,2t6-1,800,m,,2000,800,48,16.66,230660,timeout,1993,
57,test,C,word,,2t7-1,800,m,,2000,800,48,16.67,233460,timeout,1995,
58,test,I,word,,2t8-1,800,m,,2000,800,48,16.66,236257,timeout,1993,
59,test,C,word,m,2t9-1,800,m,,2000,800,48,16.67,237544,m,482,1
60,test,J,word,,2t10-1,800,m,,2000,799,48,16.65,240339,timeout,1996,
61,test,C,word,m,2t11-1,800,m,,2000,801,48,16.68,243138,timeout,1995,0
62,test,T,word,,2t12-1,800,m,,2000,799,48,16.65,245936,timeout,1995,
63,test,T,word,,2t13-1,800,m,,2000,799,48,16.65,247260,m,519,
64,test,A,word,,2t14-1,800,m,,2000,800,48,16.66,250050,timeout,1993,
65,test,Z,word,,2t15-1,800,m,,2000,800,48,16.66,252849,timeout,1995,
66,test,U,word,,2t16-1,800,m,,2000,800,48,16.67,255647,timeout,1994,
67,test,I,word,,2t17-1,800,m,,2000,800,48,16.66,258446,timeout,1996,
68,test,P,word,,2t18-1,800,m,,2000,799,48,16.65,261244,timeout,1995,
